pair,mode,subject,window_ms,accuracy,n_test
EPS/SAA,cwt,1,4000,55.55555555555556,90
EPS/SAA,cwt,2,4000,61.25000000000001,80
EPS/SAA,cwt,3,4000,71.25,80
EPS/SAA,cwt,4,4000,58.75,80
EPS/SAA,cwt,5,4000,71.25,80
EPS/SAA,cwt,6,4000,63.74999999999999,80
EPS/SAA,cwt,7,4000,73.75,80
EPS/SAA,cwt,8,4000,43.75,80
EPS/SAA,cwt,9,4000,46.25,80
EPS/SAA,cwt,10,4000,50.0,80
EPS/SAA,cwt,11,4000,68.75,80
EPS/SAA,cwt,12,4000,53.75,80
EPS/SAA,cwt,13,4000,61.25000000000001,80
EPS/SAA,cwt,14,4000,47.5,80
EPS/SAA,cwt,15,4000,62.5,80
EPS/SAA,cwt,16,4000,58.75,80
EPS/SAA,cwt,17,4000,61.25000000000001,80
EPS/SAA,cwt,18,4000,88.75,80
