pair,mode,subject,window_ms,accuracy,n_test
HOC/SAA,cwt,1,4000,54.44444444444444,90
HOC/SAA,cwt,2,4000,82.5,80
HOC/SAA,cwt,3,4000,52.5,80
HOC/SAA,cwt,4,4000,70.0,80
HOC/SAA,cwt,5,4000,68.75,80
HOC/SAA,cwt,6,4000,56.25,80
HOC/SAA,cwt,7,4000,70.0,80
HOC/SAA,cwt,8,4000,63.74999999999999,80
HOC/SAA,cwt,9,4000,68.75,80
HOC/SAA,cwt,10,4000,72.5,80
HOC/SAA,cwt,11,4000,73.75,80
HOC/SAA,cwt,12,4000,71.25,80
HOC/SAA,cwt,13,4000,61.25000000000001,80
HOC/SAA,cwt,14,4000,58.75,80
HOC/SAA,cwt,15,4000,73.75,80
HOC/SAA,cwt,16,4000,72.5,80
HOC/SAA,cwt,17,4000,42.5,80
HOC/SAA,cwt,18,4000,100.0,80
