pair,mode,subject,window_ms,accuracy,n_test
HOC/WAA,cwt,1,4000,55.55555555555556,90
HOC/WAA,cwt,2,4000,71.25,80
HOC/WAA,cwt,3,4000,58.75,80
HOC/WAA,cwt,4,4000,65.0,80
HOC/WAA,cwt,5,4000,73.75,80
HOC/WAA,cwt,6,4000,63.74999999999999,80
HOC/WAA,cwt,7,4000,57.49999999999999,80
HOC/WAA,cwt,8,4000,61.25000000000001,80
HOC/WAA,cwt,9,4000,73.75,80
HOC/WAA,cwt,10,4000,57.49999999999999,80
HOC/WAA,cwt,11,4000,70.0,80
HOC/WAA,cwt,12,4000,60.0,80
HOC/WAA,cwt,13,4000,42.5,80
HOC/WAA,cwt,14,4000,56.25,80
HOC/WAA,cwt,15,4000,48.75,80
HOC/WAA,cwt,16,4000,87.5,80
HOC/WAA,cwt,17,4000,51.24999999999999,80
HOC/WAA,cwt,18,4000,92.5,80
