pair,mode,subject,window_ms,accuracy,n_test
WAA/SAA,cwt,1,4000,57.77777777777777,90
WAA/SAA,cwt,2,4000,63.74999999999999,80
WAA/SAA,cwt,3,4000,58.75,80
WAA/SAA,cwt,4,4000,61.25000000000001,80
WAA/SAA,cwt,5,4000,77.5,80
WAA/SAA,cwt,6,4000,68.75,80
WAA/SAA,cwt,7,4000,75.0,80
WAA/SAA,cwt,8,4000,58.75,80
WAA/SAA,cwt,9,4000,42.5,80
WAA/SAA,cwt,10,4000,60.0,80
WAA/SAA,cwt,11,4000,66.25,80
WAA/SAA,cwt,12,4000,63.74999999999999,80
WAA/SAA,cwt,13,4000,62.5,80
WAA/SAA,cwt,14,4000,56.25,80
WAA/SAA,cwt,15,4000,72.5,80
WAA/SAA,cwt,16,4000,72.5,80
WAA/SAA,cwt,17,4000,62.5,80
WAA/SAA,cwt,18,4000,77.5,80
