pair,mode,subject,window_ms,fold,accuracy,val_accuracy,n_test
WFE/EPS,cwt,1,4000,1,61.111111111111114,77.77777777777777,18
WFE/EPS,cwt,1,4000,2,50.0,72.22222222222223,18
WFE/EPS,cwt,1,4000,3,50.0,72.22222222222223,18
WFE/EPS,cwt,1,4000,4,50.0,88.88888888888889,18
WFE/EPS,cwt,1,4000,5,55.55555555555556,77.77777777777777,18
WFE/EPS,cwt,2,4000,1,68.75,68.75,16
WFE/EPS,cwt,2,4000,2,56.25,68.75,16
WFE/EPS,cwt,2,4000,3,68.75,81.25,16
WFE/EPS,cwt,2,4000,4,62.5,68.75,16
WFE/EPS,cwt,2,4000,5,56.25,68.75,16
WFE/EPS,cwt,3,4000,1,56.25,68.75,16
WFE/EPS,cwt,3,4000,2,43.75,68.75,16
WFE/EPS,cwt,3,4000,3,81.25,68.75,16
WFE/EPS,cwt,3,4000,4,56.25,68.75,16
WFE/EPS,cwt,3,4000,5,68.75,68.75,16
WFE/EPS,cwt,4,4000,1,75.0,68.75,16
WFE/EPS,cwt,4,4000,2,81.25,62.5,16
WFE/EPS,cwt,4,4000,3,56.25,75.0,16
WFE/EPS,cwt,4,4000,4,75.0,75.0,16
WFE/EPS,cwt,4,4000,5,62.5,87.5,16
WFE/EPS,cwt,5,4000,1,50.0,68.75,16
WFE/EPS,cwt,5,4000,2,68.75,68.75,16
WFE/EPS,cwt,5,4000,3,75.0,62.5,16
WFE/EPS,cwt,5,4000,4,37.5,75.0,16
WFE/EPS,cwt,5,4000,5,50.0,81.25,16
WFE/EPS,cwt,6,4000,1,68.75,68.75,16
WFE/EPS,cwt,6,4000,2,50.0,75.0,16
WFE/EPS,cwt,6,4000,3,68.75,68.75,16
WFE/EPS,cwt,6,4000,4,62.5,68.75,16
WFE/EPS,cwt,6,4000,5,50.0,75.0,16
WFE/EPS,cwt,7,4000,1,75.0,75.0,16
WFE/EPS,cwt,7,4000,2,68.75,81.25,16
WFE/EPS,cwt,7,4000,3,75.0,81.25,16
WFE/EPS,cwt,7,4000,4,81.25,75.0,16
WFE/EPS,cwt,7,4000,5,87.5,100.0,16
WFE/EPS,cwt,8,4000,1,50.0,50.0,16
WFE/EPS,cwt,8,4000,2,50.0,68.75,16
WFE/EPS,cwt,8,4000,3,37.5,62.5,16
WFE/EPS,cwt,8,4000,4,50.0,56.25,16
WFE/EPS,cwt,8,4000,5,62.5,50.0,16
WFE/EPS,cwt,9,4000,1,50.0,68.75,16
WFE/EPS,cwt,9,4000,2,62.5,68.75,16
WFE/EPS,cwt,9,4000,3,37.5,50.0,16
WFE/EPS,cwt,9,4000,4,50.0,62.5,16
WFE/EPS,cwt,9,4000,5,50.0,62.5,16
WFE/EPS,cwt,10,4000,1,50.0,56.25,16
WFE/EPS,cwt,10,4000,2,50.0,56.25,16
WFE/EPS,cwt,10,4000,3,43.75,56.25,16
WFE/EPS,cwt,10,4000,4,56.25,68.75,16
WFE/EPS,cwt,10,4000,5,75.0,62.5,16
WFE/EPS,cwt,11,4000,1,37.5,81.25,16
WFE/EPS,cwt,11,4000,2,62.5,68.75,16
WFE/EPS,cwt,11,4000,3,43.75,68.75,16
WFE/EPS,cwt,11,4000,4,62.5,68.75,16
WFE/EPS,cwt,11,4000,5,68.75,62.5,16
WFE/EPS,cwt,12,4000,1,50.0,81.25,16
WFE/EPS,cwt,12,4000,2,62.5,62.5,16
WFE/EPS,cwt,12,4000,3,62.5,75.0,16
WFE/EPS,cwt,12,4000,4,68.75,75.0,16
WFE/EPS,cwt,12,4000,5,87.5,68.75,16
WFE/EPS,cwt,13,4000,1,50.0,68.75,16
WFE/EPS,cwt,13,4000,2,68.75,81.25,16
WFE/EPS,cwt,13,4000,3,37.5,68.75,16
WFE/EPS,cwt,13,4000,4,31.25,68.75,16
WFE/EPS,cwt,13,4000,5,43.75,68.75,16
WFE/EPS,cwt,14,4000,1,68.75,68.75,16
WFE/EPS,cwt,14,4000,2,62.5,75.0,16
WFE/EPS,cwt,14,4000,3,56.25,68.75,16
WFE/EPS,cwt,14,4000,4,68.75,68.75,16
WFE/EPS,cwt,14,4000,5,56.25,81.25,16
WFE/EPS,cwt,15,4000,1,37.5,62.5,16
WFE/EPS,cwt,15,4000,2,50.0,62.5,16
WFE/EPS,cwt,15,4000,3,43.75,75.0,16
WFE/EPS,cwt,15,4000,4,68.75,56.25,16
WFE/EPS,cwt,15,4000,5,50.0,56.25,16
WFE/EPS,cwt,16,4000,1,43.75,68.75,16
WFE/EPS,cwt,16,4000,2,43.75,68.75,16
WFE/EPS,cwt,16,4000,3,43.75,62.5,16
WFE/EPS,cwt,16,4000,4,50.0,68.75,16
WFE/EPS,cwt,16,4000,5,50.0,62.5,16
WFE/EPS,cwt,17,4000,1,50.0,62.5,16
WFE/EPS,cwt,17,4000,2,31.25,56.25,16
WFE/EPS,cwt,17,4000,3,56.25,56.25,16
WFE/EPS,cwt,17,4000,4,37.5,62.5,16
WFE/EPS,cwt,17,4000,5,56.25,62.5,16
WFE/EPS,cwt,18,4000,1,81.25,75.0,16
WFE/EPS,cwt,18,4000,2,75.0,81.25,16
WFE/EPS,cwt,18,4000,3,56.25,68.75,16
WFE/EPS,cwt,18,4000,4,75.0,87.5,16
WFE/EPS,cwt,18,4000,5,75.0,87.5,16
