pair,mode,subject,window_ms,accuracy,n_test
WFE/SAA,cwt,1,4000,57.77777777777777,90
WFE/SAA,cwt,2,4000,57.49999999999999,80
WFE/SAA,cwt,3,4000,58.75,80
WFE/SAA,cwt,4,4000,70.0,80
WFE/SAA,cwt,5,4000,62.5,80
WFE/SAA,cwt,6,4000,62.5,80
WFE/SAA,cwt,7,4000,71.25,80
WFE/SAA,cwt,8,4000,67.5,80
WFE/SAA,cwt,9,4000,65.0,80
WFE/SAA,cwt,10,4000,72.5,80
WFE/SAA,cwt,11,4000,71.25,80
WFE/SAA,cwt,12,4000,70.0,80
WFE/SAA,cwt,13,4000,53.75,80
WFE/SAA,cwt,14,4000,62.5,80
WFE/SAA,cwt,15,4000,58.75,80
WFE/SAA,cwt,16,4000,62.5,80
WFE/SAA,cwt,17,4000,52.5,80
WFE/SAA,cwt,18,4000,93.75,80
