pair,mode,subject,window_ms,fold,accuracy,val_accuracy,n_test
WFE/WAA,cwt,1,4000,1,66.66666666666667,77.77777777777777,18
WFE/WAA,cwt,1,4000,2,66.66666666666667,66.66666666666667,18
WFE/WAA,cwt,1,4000,3,50.0,94.44444444444444,18
WFE/WAA,cwt,1,4000,4,77.77777777777777,66.66666666666667,18
WFE/WAA,cwt,1,4000,5,55.55555555555556,77.77777777777777,18
WFE/WAA,cwt,2,4000,1,75.0,81.25,16
WFE/WAA,cwt,2,4000,2,68.75,75.0,16
WFE/WAA,cwt,2,4000,3,75.0,87.5,16
WFE/WAA,cwt,2,4000,4,62.5,93.75,16
WFE/WAA,cwt,2,4000,5,43.75,81.25,16
WFE/WAA,cwt,3,4000,1,56.25,68.75,16
WFE/WAA,cwt,3,4000,2,50.0,68.75,16
WFE/WAA,cwt,3,4000,3,62.5,75.0,16
WFE/WAA,cwt,3,4000,4,62.5,75.0,16
WFE/WAA,cwt,3,4000,5,62.5,56.25,16
WFE/WAA,cwt,4,4000,1,62.5,87.5,16
WFE/WAA,cwt,4,4000,2,75.0,81.25,16
WFE/WAA,cwt,4,4000,3,68.75,75.0,16
WFE/WAA,cwt,4,4000,4,75.0,87.5,16
WFE/WAA,cwt,4,4000,5,75.0,75.0,16
WFE/WAA,cwt,5,4000,1,50.0,62.5,16
WFE/WAA,cwt,5,4000,2,56.25,68.75,16
WFE/WAA,cwt,5,4000,3,50.0,50.0,16
WFE/WAA,cwt,5,4000,4,81.25,50.0,16
WFE/WAA,cwt,5,4000,5,50.0,56.25,16
WFE/WAA,cwt,6,4000,1,56.25,62.5,16
WFE/WAA,cwt,6,4000,2,68.75,62.5,16
WFE/WAA,cwt,6,4000,3,56.25,68.75,16
WFE/WAA,cwt,6,4000,4,50.0,68.75,16
WFE/WAA,cwt,6,4000,5,75.0,56.25,16
WFE/WAA,cwt,7,4000,1,81.25,75.0,16
WFE/WAA,cwt,7,4000,2,62.5,81.25,16
WFE/WAA,cwt,7,4000,3,62.5,81.25,16
WFE/WAA,cwt,7,4000,4,56.25,68.75,16
WFE/WAA,cwt,7,4000,5,68.75,87.5,16
WFE/WAA,cwt,8,4000,1,75.0,68.75,16
WFE/WAA,cwt,8,4000,2,62.5,68.75,16
WFE/WAA,cwt,8,4000,3,62.5,62.5,16
WFE/WAA,cwt,8,4000,4,68.75,50.0,16
WFE/WAA,cwt,8,4000,5,62.5,75.0,16
WFE/WAA,cwt,9,4000,1,75.0,81.25,16
WFE/WAA,cwt,9,4000,2,62.5,87.5,16
WFE/WAA,cwt,9,4000,3,50.0,68.75,16
WFE/WAA,cwt,9,4000,4,81.25,87.5,16
WFE/WAA,cwt,9,4000,5,62.5,87.5,16
WFE/WAA,cwt,10,4000,1,62.5,68.75,16
WFE/WAA,cwt,10,4000,2,56.25,68.75,16
WFE/WAA,cwt,10,4000,3,75.0,62.5,16
WFE/WAA,cwt,10,4000,4,68.75,56.25,16
WFE/WAA,cwt,10,4000,5,62.5,56.25,16
WFE/WAA,cwt,11,4000,1,75.0,100.0,16
WFE/WAA,cwt,11,4000,2,62.5,87.5,16
WFE/WAA,cwt,11,4000,3,93.75,75.0,16
WFE/WAA,cwt,11,4000,4,68.75,68.75,16
WFE/WAA,cwt,11,4000,5,75.0,81.25,16
WFE/WAA,cwt,12,4000,1,50.0,68.75,16
WFE/WAA,cwt,12,4000,2,62.5,68.75,16
WFE/WAA,cwt,12,4000,3,62.5,87.5,16
WFE/WAA,cwt,12,4000,4,62.5,87.5,16
WFE/WAA,cwt,12,4000,5,75.0,87.5,16
WFE/WAA,cwt,13,4000,1,50.0,75.0,16
WFE/WAA,cwt,13,4000,2,62.5,87.5,16
WFE/WAA,cwt,13,4000,3,62.5,75.0,16
WFE/WAA,cwt,13,4000,4,56.25,75.0,16
WFE/WAA,cwt,13,4000,5,68.75,68.75,16
WFE/WAA,cwt,14,4000,1,81.25,50.0,16
WFE/WAA,cwt,14,4000,2,50.0,68.75,16
WFE/WAA,cwt,14,4000,3,56.25,56.25,16
WFE/WAA,cwt,14,4000,4,37.5,75.0,16
WFE/WAA,cwt,14,4000,5,43.75,68.75,16
WFE/WAA,cwt,15,4000,1,87.5,93.75,16
WFE/WAA,cwt,15,4000,2,56.25,75.0,16
WFE/WAA,cwt,15,4000,3,56.25,68.75,16
WFE/WAA,cwt,15,4000,4,56.25,87.5,16
WFE/WAA,cwt,15,4000,5,56.25,75.0,16
WFE/WAA,cwt,16,4000,1,56.25,62.5,16
WFE/WAA,cwt,16,4000,2,56.25,50.0,16
WFE/WAA,cwt,16,4000,3,81.25,62.5,16
WFE/WAA,cwt,16,4000,4,43.75,68.75,16
WFE/WAA,cwt,16,4000,5,50.0,62.5,16
WFE/WAA,cwt,17,4000,1,62.5,56.25,16
WFE/WAA,cwt,17,4000,2,56.25,62.5,16
WFE/WAA,cwt,17,4000,3,62.5,56.25,16
WFE/WAA,cwt,17,4000,4,43.75,68.75,16
WFE/WAA,cwt,17,4000,5,50.0,56.25,16
WFE/WAA,cwt,18,4000,1,93.75,87.5,16
WFE/WAA,cwt,18,4000,2,93.75,87.5,16
WFE/WAA,cwt,18,4000,3,87.5,87.5,16
WFE/WAA,cwt,18,4000,4,81.25,100.0,16
WFE/WAA,cwt,18,4000,5,75.0,93.75,16
