pair,mode,subject,window_ms,accuracy,n_test
WFE/WAA,cwt,1,4000,63.33333333333333,90
WFE/WAA,cwt,2,4000,65.0,80
WFE/WAA,cwt,3,4000,58.75,80
WFE/WAA,cwt,4,4000,71.25,80
WFE/WAA,cwt,5,4000,57.49999999999999,80
WFE/WAA,cwt,6,4000,61.25000000000001,80
WFE/WAA,cwt,7,4000,66.25,80
WFE/WAA,cwt,8,4000,66.25,80
WFE/WAA,cwt,9,4000,66.25,80
WFE/WAA,cwt,10,4000,65.0,80
WFE/WAA,cwt,11,4000,75.0,80
WFE/WAA,cwt,12,4000,62.5,80
WFE/WAA,cwt,13,4000,60.0,80
WFE/WAA,cwt,14,4000,53.75,80
WFE/WAA,cwt,15,4000,62.5,80
WFE/WAA,cwt,16,4000,57.49999999999999,80
WFE/WAA,cwt,17,4000,55.00000000000001,80
WFE/WAA,cwt,18,4000,86.25,80
