pair,proximity,mode,subject,accuracy_pooled,kappa,f1_macro,sensitivity,specificity,tp,tn,fp,fn,n,accuracy_foldmean
EPS/SPS,adjacent,cwt,1,57.7778,0.1556,57.7778,57.7778,57.7778,26.0,26.0,19.0,19.0,90.0,57.7778
EPS/SPS,adjacent,cwt,2,66.25,0.325,66.2447,67.5,65.0,27.0,26.0,14.0,13.0,80.0,66.25
EPS/SPS,adjacent,cwt,3,55.0,0.1,54.8872,50.0,60.0,20.0,24.0,16.0,20.0,80.0,55.0
EPS/SPS,adjacent,cwt,4,80.0,0.6,80.0,80.0,80.0,32.0,32.0,8.0,8.0,80.0,80.0
EPS/SPS,adjacent,cwt,5,70.0,0.4,69.9812,67.5,72.5,27.0,29.0,11.0,13.0,80.0,70.0
EPS/SPS,adjacent,cwt,6,65.0,0.3,64.9123,70.0,60.0,28.0,24.0,16.0,12.0,80.0,65.0
EPS/SPS,adjacent,cwt,7,71.25,0.425,71.2455,70.0,72.5,28.0,29.0,11.0,12.0,80.0,71.25
EPS/SPS,adjacent,cwt,8,50.0,0.0,49.9687,47.5,52.5,19.0,21.0,19.0,21.0,80.0,50.0
EPS/SPS,adjacent,cwt,9,48.75,-0.025,48.742,47.5,50.0,19.0,20.0,20.0,21.0,80.0,48.75
EPS/SPS,adjacent,cwt,10,67.5,0.35,67.4185,62.5,72.5,25.0,29.0,11.0,15.0,80.0,67.5
EPS/SPS,adjacent,cwt,11,72.5,0.45,72.4828,70.0,75.0,28.0,30.0,10.0,12.0,80.0,72.5
EPS/SPS,adjacent,cwt,12,55.0,0.1,54.9719,52.5,57.5,21.0,23.0,17.0,19.0,80.0,55.0
EPS/SPS,adjacent,cwt,13,66.25,0.325,66.1176,72.5,60.0,29.0,24.0,16.0,11.0,80.0,66.25
EPS/SPS,adjacent,cwt,14,63.75,0.275,63.699,67.5,60.0,27.0,24.0,16.0,13.0,80.0,63.75
EPS/SPS,adjacent,cwt,15,72.5,0.45,72.5,72.5,72.5,29.0,29.0,11.0,11.0,80.0,72.5
EPS/SPS,adjacent,cwt,16,48.75,-0.025,48.742,47.5,50.0,19.0,20.0,20.0,21.0,80.0,48.75
EPS/SPS,adjacent,cwt,17,60.0,0.2,59.8997,55.0,65.0,22.0,26.0,14.0,18.0,80.0,60.0
EPS/SPS,adjacent,cwt,18,80.0,0.6,79.9499,85.0,75.0,34.0,30.0,10.0,6.0,80.0,80.0
HOC/SPS,distant,cwt,1,52.2222,0.0444,52.2163,51.1111,53.3333,23.0,24.0,21.0,22.0,90.0,52.2222
HOC/SPS,distant,cwt,2,76.25,0.525,76.1569,70.0,82.5,28.0,33.0,7.0,12.0,80.0,76.25
HOC/SPS,distant,cwt,3,52.5,0.05,52.0202,42.5,62.5,17.0,25.0,15.0,23.0,80.0,52.5
HOC/SPS,distant,cwt,4,72.5,0.45,72.4311,77.5,67.5,31.0,27.0,13.0,9.0,80.0,72.5
HOC/SPS,distant,cwt,5,68.75,0.375,68.7451,70.0,67.5,28.0,27.0,13.0,12.0,80.0,68.75
HOC/SPS,distant,cwt,6,58.75,0.175,58.5882,52.5,65.0,21.0,26.0,14.0,19.0,80.0,58.75
HOC/SPS,distant,cwt,7,68.75,0.375,68.5089,77.5,60.0,31.0,24.0,16.0,9.0,80.0,68.75
HOC/SPS,distant,cwt,8,65.0,0.3,64.4444,77.5,52.5,31.0,21.0,19.0,9.0,80.0,65.0
HOC/SPS,distant,cwt,9,57.5,0.15,57.3935,52.5,62.5,21.0,25.0,15.0,19.0,80.0,57.5
HOC/SPS,distant,cwt,10,75.0,0.5,74.8586,67.5,82.5,27.0,33.0,7.0,13.0,80.0,75.0
HOC/SPS,distant,cwt,11,73.75,0.475,73.7459,72.5,75.0,29.0,30.0,10.0,11.0,80.0,73.75
