pair,mode,subject,window_ms,accuracy,n_test
EFE/SAA,raw,1,4000,63.33333333333333,90
EFE/SAA,raw,2,4000,72.5,80
EFE/SAA,raw,3,4000,90.0,80
EFE/SAA,raw,4,4000,86.25,80
EFE/SAA,raw,5,4000,81.25,80
EFE/SAA,raw,6,4000,61.25000000000001,80
EFE/SAA,raw,7,4000,88.75,80
EFE/SAA,raw,8,4000,60.0,80
EFE/SAA,raw,9,4000,65.0,80
EFE/SAA,raw,10,4000,72.5,80
EFE/SAA,raw,11,4000,75.0,80
EFE/SAA,raw,12,4000,66.25,80
EFE/SAA,raw,13,4000,60.0,80
EFE/SAA,raw,14,4000,52.5,80
EFE/SAA,raw,15,4000,52.5,80
EFE/SAA,raw,16,4000,57.49999999999999,80
EFE/SAA,raw,17,4000,73.75,80
EFE/SAA,raw,18,4000,96.25,80
