pair,mode,subject,window_ms,accuracy,n_test
EFE/SPS,raw,1,4000,70.0,90
EFE/SPS,raw,2,4000,71.25,80
EFE/SPS,raw,3,4000,67.5,80
EFE/SPS,raw,4,4000,86.25,80
EFE/SPS,raw,5,4000,73.75,80
EFE/SPS,raw,6,4000,53.75,80
EFE/SPS,raw,7,4000,80.0,80
EFE/SPS,raw,8,4000,55.00000000000001,80
EFE/SPS,raw,9,4000,62.5,80
EFE/SPS,raw,10,4000,83.75,80
EFE/SPS,raw,11,4000,71.25,80
EFE/SPS,raw,12,4000,57.49999999999999,80
EFE/SPS,raw,13,4000,58.75,80
EFE/SPS,raw,14,4000,67.5,80
EFE/SPS,raw,15,4000,71.25,80
EFE/SPS,raw,16,4000,56.25,80
EFE/SPS,raw,17,4000,65.0,80
EFE/SPS,raw,18,4000,91.25,80
