pair,mode,subject,window_ms,accuracy,n_test
EPS/EFE,raw,1,4000,64.44444444444444,90
EPS/EFE,raw,2,4000,65.0,80
EPS/EFE,raw,3,4000,83.75,80
EPS/EFE,raw,4,4000,63.74999999999999,80
EPS/EFE,raw,5,4000,61.25000000000001,80
EPS/EFE,raw,6,4000,67.5,80
EPS/EFE,raw,7,4000,63.74999999999999,80
EPS/EFE,raw,8,4000,60.0,80
EPS/EFE,raw,9,4000,66.25,80
EPS/EFE,raw,10,4000,47.5,80
EPS/EFE,raw,11,4000,63.74999999999999,80
EPS/EFE,raw,12,4000,63.74999999999999,80
EPS/EFE,raw,13,4000,63.74999999999999,80
EPS/EFE,raw,14,4000,57.49999999999999,80
EPS/EFE,raw,15,4000,56.25,80
EPS/EFE,raw,16,4000,55.00000000000001,80
EPS/EFE,raw,17,4000,48.75,80
EPS/EFE,raw,18,4000,85.0,80
