pair,mode,subject,window_ms,fold,accuracy,val_accuracy,n_test
HOC/EPS,raw,1,4000,1,55.55555555555556,72.22222222222223,18
HOC/EPS,raw,1,4000,2,38.888888888888886,72.22222222222223,18
HOC/EPS,raw,1,4000,3,66.66666666666667,72.22222222222223,18
HOC/EPS,raw,1,4000,4,66.66666666666667,83.33333333333333,18
HOC/EPS,raw,1,4000,5,72.22222222222223,66.66666666666667,18
HOC/EPS,raw,2,4000,1,75.0,62.5,16
HOC/EPS,raw,2,4000,2,50.0,68.75,16
HOC/EPS,raw,2,4000,3,37.5,68.75,16
HOC/EPS,raw,2,4000,4,50.0,50.0,16
HOC/EPS,raw,2,4000,5,37.5,50.0,16
HOC/EPS,raw,3,4000,1,62.5,62.5,16
HOC/EPS,raw,3,4000,2,75.0,62.5,16
HOC/EPS,raw,3,4000,3,75.0,62.5,16
HOC/EPS,raw,3,4000,4,87.5,68.75,16
HOC/EPS,raw,3,4000,5,68.75,81.25,16
HOC/EPS,raw,4,4000,1,81.25,75.0,16
HOC/EPS,raw,4,4000,2,93.75,75.0,16
HOC/EPS,raw,4,4000,3,62.5,75.0,16
HOC/EPS,raw,4,4000,4,68.75,87.5,16
HOC/EPS,raw,4,4000,5,75.0,68.75,16
HOC/EPS,raw,5,4000,1,56.25,68.75,16
HOC/EPS,raw,5,4000,2,50.0,56.25,16
HOC/EPS,raw,5,4000,3,50.0,68.75,16
HOC/EPS,raw,5,4000,4,62.5,56.25,16
HOC/EPS,raw,5,4000,5,62.5,75.0,16
HOC/EPS,raw,6,4000,1,75.0,75.0,16
HOC/EPS,raw,6,4000,2,50.0,68.75,16
HOC/EPS,raw,6,4000,3,62.5,75.0,16
HOC/EPS,raw,6,4000,4,56.25,68.75,16
HOC/EPS,raw,6,4000,5,50.0,50.0,16
HOC/EPS,raw,7,4000,1,50.0,93.75,16
HOC/EPS,raw,7,4000,2,56.25,75.0,16
HOC/EPS,raw,7,4000,3,62.5,62.5,16
HOC/EPS,raw,7,4000,4,75.0,81.25,16
HOC/EPS,raw,7,4000,5,50.0,75.0,16
HOC/EPS,raw,8,4000,1,62.5,62.5,16
HOC/EPS,raw,8,4000,2,87.5,68.75,16
HOC/EPS,raw,8,4000,3,75.0,75.0,16
HOC/EPS,raw,8,4000,4,56.25,62.5,16
HOC/EPS,raw,8,4000,5,37.5,68.75,16
HOC/EPS,raw,9,4000,1,50.0,56.25,16
HOC/EPS,raw,9,4000,2,62.5,68.75,16
HOC/EPS,raw,9,4000,3,50.0,68.75,16
HOC/EPS,raw,9,4000,4,62.5,56.25,16
HOC/EPS,raw,9,4000,5,68.75,75.0,16
HOC/EPS,raw,10,4000,1,81.25,81.25,16
HOC/EPS,raw,10,4000,2,87.5,81.25,16
HOC/EPS,raw,10,4000,3,50.0,75.0,16
HOC/EPS,raw,10,4000,4,68.75,75.0,16
HOC/EPS,raw,10,4000,5,75.0,75.0,16
HOC/EPS,raw,11,4000,1,56.25,62.5,16
HOC/EPS,raw,11,4000,2,43.75,75.0,16
HOC/EPS,raw,11,4000,3,62.5,68.75,16
HOC/EPS,raw,11,4000,4,56.25,68.75,16
HOC/EPS,raw,11,4000,5,68.75,81.25,16
HOC/EPS,raw,12,4000,1,75.0,75.0,16
HOC/EPS,raw,12,4000,2,68.75,68.75,16
HOC/EPS,raw,12,4000,3,75.0,68.75,16
HOC/EPS,raw,12,4000,4,75.0,62.5,16
HOC/EPS,raw,12,4000,5,62.5,62.5,16
HOC/EPS,raw,13,4000,1,50.0,68.75,16
HOC/EPS,raw,13,4000,2,62.5,50.0,16
HOC/EPS,raw,13,4000,3,50.0,62.5,16
HOC/EPS,raw,13,4000,4,68.75,56.25,16
HOC/EPS,raw,13,4000,5,62.5,56.25,16
HOC/EPS,raw,14,4000,1,50.0,75.0,16
HOC/EPS,raw,14,4000,2,75.0,75.0,16
HOC/EPS,raw,14,4000,3,37.5,75.0,16
HOC/EPS,raw,14,4000,4,62.5,62.5,16
HOC/EPS,raw,14,4000,5,75.0,75.0,16
HOC/EPS,raw,15,4000,1,75.0,68.75,16
HOC/EPS,raw,15,4000,2,68.75,75.0,16
HOC/EPS,raw,15,4000,3,50.0,81.25,16
HOC/EPS,raw,15,4000,4,75.0,81.25,16
HOC/EPS,raw,15,4000,5,75.0,87.5,16
HOC/EPS,raw,16,4000,1,62.5,75.0,16
HOC/EPS,raw,16,4000,2,68.75,68.75,16
HOC/EPS,raw,16,4000,3,50.0,75.0,16
HOC/EPS,raw,16,4000,4,62.5,81.25,16
HOC/EPS,raw,16,4000,5,75.0,75.0,16
HOC/EPS,raw,17,4000,1,56.25,68.75,16
HOC/EPS,raw,17,4000,2,56.25,68.75,16
HOC/EPS,raw,17,4000,3,62.5,62.5,16
HOC/EPS,raw,17,4000,4,62.5,75.0,16
HOC/EPS,raw,17,4000,5,56.25,68.75,16
HOC/EPS,raw,18,4000,1,56.25,93.75,16
HOC/EPS,raw,18,4000,2,87.5,81.25,16
HOC/EPS,raw,18,4000,3,62.5,62.5,16
HOC/EPS,raw,18,4000,4,81.25,87.5,16
HOC/EPS,raw,18,4000,5,56.25,75.0,16
