pair,mode,subject,window_ms,accuracy,n_test
HOC/WAA,raw,1,4000,65.55555555555556,90
HOC/WAA,raw,2,4000,77.5,80
HOC/WAA,raw,3,4000,66.25,80
HOC/WAA,raw,4,4000,60.0,80
HOC/WAA,raw,5,4000,61.25000000000001,80
HOC/WAA,raw,6,4000,72.5,80
HOC/WAA,raw,7,4000,72.5,80
HOC/WAA,raw,8,4000,58.75,80
HOC/WAA,raw,9,4000,63.74999999999999,80
HOC/WAA,raw,10,4000,65.0,80
HOC/WAA,raw,11,4000,66.25,80
HOC/WAA,raw,12,4000,70.0,80
HOC/WAA,raw,13,4000,75.0,80
HOC/WAA,raw,14,4000,67.5,80
HOC/WAA,raw,15,4000,58.75,80
HOC/WAA,raw,16,4000,70.0,80
HOC/WAA,raw,17,4000,67.5,80
HOC/WAA,raw,18,4000,72.5,80
