pair,mode,subject,window_ms,accuracy,n_test
SPS/SAA,raw,1,4000,47.77777777777778,90
SPS/SAA,raw,2,4000,73.75,80
SPS/SAA,raw,3,4000,85.0,80
SPS/SAA,raw,4,4000,86.25,80
SPS/SAA,raw,5,4000,77.5,80
SPS/SAA,raw,6,4000,53.75,80
SPS/SAA,raw,7,4000,83.75,80
SPS/SAA,raw,8,4000,56.25,80
SPS/SAA,raw,9,4000,63.74999999999999,80
SPS/SAA,raw,10,4000,70.0,80
SPS/SAA,raw,11,4000,82.5,80
SPS/SAA,raw,12,4000,63.74999999999999,80
SPS/SAA,raw,13,4000,55.00000000000001,80
SPS/SAA,raw,14,4000,62.5,80
SPS/SAA,raw,15,4000,65.0,80
SPS/SAA,raw,16,4000,57.49999999999999,80
SPS/SAA,raw,17,4000,56.25,80
SPS/SAA,raw,18,4000,75.0,80
