pair,mode,subject,window_ms,accuracy,n_test
SPS/SFE,raw,1,4000,52.22222222222223,90
SPS/SFE,raw,2,4000,65.0,80
SPS/SFE,raw,3,4000,82.5,80
SPS/SFE,raw,4,4000,88.75,80
SPS/SFE,raw,5,4000,79.01234567901234,81
SPS/SFE,raw,6,4000,58.75,80
SPS/SFE,raw,7,4000,77.5,80
SPS/SFE,raw,8,4000,51.24999999999999,80
SPS/SFE,raw,9,4000,62.5,80
SPS/SFE,raw,10,4000,85.0,80
SPS/SFE,raw,11,4000,77.5,80
SPS/SFE,raw,12,4000,63.74999999999999,80
SPS/SFE,raw,13,4000,62.5,80
SPS/SFE,raw,14,4000,71.25,80
SPS/SFE,raw,15,4000,65.0,80
SPS/SFE,raw,16,4000,57.49999999999999,80
SPS/SFE,raw,17,4000,60.0,80
SPS/SFE,raw,18,4000,81.25,80
