pair,mode,subject,window_ms,accuracy,n_test
WFE/SAA,raw,1,4000,57.77777777777777,90
WFE/SAA,raw,2,4000,65.0,80
WFE/SAA,raw,3,4000,82.5,80
WFE/SAA,raw,4,4000,83.75,80
WFE/SAA,raw,5,4000,82.5,80
WFE/SAA,raw,6,4000,72.5,80
WFE/SAA,raw,7,4000,81.25,80
WFE/SAA,raw,8,4000,48.75,80
WFE/SAA,raw,9,4000,63.74999999999999,80
WFE/SAA,raw,10,4000,72.5,80
WFE/SAA,raw,11,4000,78.75,80
WFE/SAA,raw,12,4000,81.25,80
WFE/SAA,raw,13,4000,67.5,80
WFE/SAA,raw,14,4000,72.5,80
WFE/SAA,raw,15,4000,60.0,80
WFE/SAA,raw,16,4000,48.75,80
WFE/SAA,raw,17,4000,58.75,80
WFE/SAA,raw,18,4000,90.0,80
