pair,mode,subject,window_ms,accuracy,n_test
WFE/SFE,raw,1,4000,63.33333333333333,90
WFE/SFE,raw,2,4000,57.49999999999999,80
WFE/SFE,raw,3,4000,78.75,80
WFE/SFE,raw,4,4000,77.5,80
WFE/SFE,raw,5,4000,80.24691358024691,81
WFE/SFE,raw,6,4000,68.75,80
WFE/SFE,raw,7,4000,71.25,80
WFE/SFE,raw,8,4000,40.0,80
WFE/SFE,raw,9,4000,61.25000000000001,80
WFE/SFE,raw,10,4000,66.25,80
WFE/SFE,raw,11,4000,63.74999999999999,80
WFE/SFE,raw,12,4000,66.25,80
WFE/SFE,raw,13,4000,66.25,80
WFE/SFE,raw,14,4000,76.25,80
WFE/SFE,raw,15,4000,60.0,80
WFE/SFE,raw,16,4000,43.75,80
WFE/SFE,raw,17,4000,61.25000000000001,80
WFE/SFE,raw,18,4000,97.5,80
