pair,mode,subject,window_ms,accuracy,n_test
WFE/SPS,raw,1,4000,70.0,90
WFE/SPS,raw,2,4000,63.74999999999999,80
WFE/SPS,raw,3,4000,75.0,80
WFE/SPS,raw,4,4000,97.5,80
WFE/SPS,raw,5,4000,87.5,80
WFE/SPS,raw,6,4000,63.74999999999999,80
WFE/SPS,raw,7,4000,81.25,80
WFE/SPS,raw,8,4000,55.00000000000001,80
WFE/SPS,raw,9,4000,65.0,80
WFE/SPS,raw,10,4000,82.5,80
WFE/SPS,raw,11,4000,67.5,80
WFE/SPS,raw,12,4000,76.25,80
WFE/SPS,raw,13,4000,58.75,80
WFE/SPS,raw,14,4000,82.5,80
WFE/SPS,raw,15,4000,68.75,80
WFE/SPS,raw,16,4000,43.75,80
WFE/SPS,raw,17,4000,51.24999999999999,80
WFE/SPS,raw,18,4000,80.0,80
