pair,mode,subject,window_ms,accuracy,n_test
WFE/WAA,raw,1,4000,74.44444444444444,90
WFE/WAA,raw,2,4000,60.0,80
WFE/WAA,raw,3,4000,75.0,80
WFE/WAA,raw,4,4000,71.25,80
WFE/WAA,raw,5,4000,61.25000000000001,80
WFE/WAA,raw,6,4000,67.5,80
WFE/WAA,raw,7,4000,65.0,80
WFE/WAA,raw,8,4000,63.74999999999999,80
WFE/WAA,raw,9,4000,66.25,80
WFE/WAA,raw,10,4000,63.74999999999999,80
WFE/WAA,raw,11,4000,72.5,80
WFE/WAA,raw,12,4000,73.75,80
WFE/WAA,raw,13,4000,61.25000000000001,80
WFE/WAA,raw,14,4000,53.75,80
WFE/WAA,raw,15,4000,78.75,80
WFE/WAA,raw,16,4000,56.25,80
WFE/WAA,raw,17,4000,63.74999999999999,80
WFE/WAA,raw,18,4000,80.0,80
