pair,proximity,mode,subject,accuracy_pooled,kappa,f1_macro,sensitivity,specificity,tp,tn,fp,fn,n,accuracy_foldmean
EPS/SPS,adjacent,cwt,1,61.1111,0.2222,60.9907,66.6667,55.5556,30.0,25.0,20.0,15.0,90.0,61.1111
EPS/SPS,adjacent,cwt,2,61.25,0.225,61.1954,57.5,65.0,23.0,26.0,14.0,17.0,80.0,61.25
EPS/SPS,adjacent,cwt,3,57.5,0.15,57.4734,55.0,60.0,22.0,24.0,16.0,18.0,80.0,57.5
EPS/SPS,adjacent,cwt,4,78.75,0.575,78.7201,75.0,82.5,30.0,33.0,7.0,10.0,80.0,78.75
EPS/SPS,adjacent,cwt,5,67.5,0.35,67.4185,72.5,62.5,29.0,25.0,15.0,11.0,80.0,67.5
EPS/SPS,adjacent,cwt,6,57.5,0.15,57.4734,55.0,60.0,22.0,24.0,16.0,18.0,80.0,57.5
EPS/SPS,adjacent,cwt,7,65.0,0.3,64.802,72.5,57.5,29.0,23.0,17.0,11.0,80.0,65.0
EPS/SPS,adjacent,cwt,8,58.75,0.175,58.7436,60.0,57.5,24.0,23.0,17.0,16.0,80.0,58.75
EPS/SPS,adjacent,cwt,9,52.5,0.05,52.0202,42.5,62.5,17.0,25.0,15.0,23.0,80.0,52.5
EPS/SPS,adjacent,cwt,10,67.5,0.35,67.3162,60.0,75.0,24.0,30.0,10.0,16.0,80.0,67.5
EPS/SPS,adjacent,cwt,11,65.0,0.3,64.9123,70.0,60.0,28.0,24.0,16.0,12.0,80.0,65.0
EPS/SPS,adjacent,cwt,12,56.25,0.125,56.2432,55.0,57.5,22.0,23.0,17.0,18.0,80.0,56.25
EPS/SPS,adjacent,cwt,13,66.25,0.325,66.2025,62.5,70.0,25.0,28.0,12.0,15.0,80.0,66.25
EPS/SPS,adjacent,cwt,14,66.25,0.325,66.2447,67.5,65.0,27.0,26.0,14.0,13.0,80.0,66.25
EPS/SPS,adjacent,cwt,15,67.5,0.35,67.4797,70.0,65.0,28.0,26.0,14.0,12.0,80.0,67.5
EPS/SPS,adjacent,cwt,16,38.75,-0.225,38.7404,40.0,37.5,16.0,15.0,25.0,24.0,80.0,38.75
