pair,subject,window_ms,accuracy,n_test
SPS/SFE,1,800,44.44444444444444,90
SPS/SFE,1,1500,51.11111111111111,90
SPS/SFE,1,3000,47.77777777777778,90
SPS/SFE,1,4000,43.333333333333336,90
SPS/SFE,2,800,48.75,80
SPS/SFE,2,1500,51.24999999999999,80
SPS/SFE,2,3000,60.0,80
SPS/SFE,2,4000,53.75,80
SPS/SFE,3,800,60.0,80
SPS/SFE,3,1500,58.75,80
SPS/SFE,3,3000,55.00000000000001,80
SPS/SFE,3,4000,63.74999999999999,80
SPS/SFE,4,800,68.75,80
SPS/SFE,4,1500,63.74999999999999,80
SPS/SFE,4,3000,60.0,80
SPS/SFE,4,4000,55.00000000000001,80
SPS/SFE,5,800,58.0246913580247,81
SPS/SFE,5,1500,56.79012345679012,81
SPS/SFE,5,3000,48.148148148148145,81
SPS/SFE,5,4000,55.55555555555556,81
SPS/SFE,6,800,53.75,80
SPS/SFE,6,1500,56.25,80
SPS/SFE,6,3000,61.25000000000001,80
SPS/SFE,6,4000,65.0,80
SPS/SFE,7,800,52.5,80
SPS/SFE,7,1500,52.5,80
SPS/SFE,7,3000,46.25,80
SPS/SFE,7,4000,38.75,80
SPS/SFE,8,800,40.0,80
SPS/SFE,8,1500,48.75,80
SPS/SFE,8,3000,35.0,80
SPS/SFE,8,4000,53.75,80
SPS/SFE,9,800,52.5,80
SPS/SFE,9,1500,51.24999999999999,80
SPS/SFE,9,3000,45.0,80
SPS/SFE,9,4000,51.24999999999999,80
SPS/SFE,10,800,62.5,80
SPS/SFE,10,1500,52.5,80
SPS/SFE,10,3000,53.75,80
SPS/SFE,10,4000,53.75,80
SPS/SFE,11,800,46.25,80
SPS/SFE,11,1500,52.5,80
SPS/SFE,11,3000,60.0,80
SPS/SFE,11,4000,58.75,80
SPS/SFE,12,800,47.5,80
SPS/SFE,12,1500,48.75,80
SPS/SFE,12,3000,55.00000000000001,80
SPS/SFE,12,4000,61.25000000000001,80
SPS/SFE,13,800,61.25000000000001,80
SPS/SFE,13,1500,52.5,80
SPS/SFE,13,3000,55.00000000000001,80
SPS/SFE,13,4000,55.00000000000001,80
SPS/SFE,14,800,45.0,80
SPS/SFE,14,1500,52.5,80
SPS/SFE,14,3000,51.24999999999999,80
SPS/SFE,14,4000,53.75,80
SPS/SFE,15,800,47.5,80
SPS/SFE,15,1500,56.25,80
SPS/SFE,15,3000,46.25,80
SPS/SFE,15,4000,45.0,80
SPS/SFE,16,800,48.75,80
SPS/SFE,16,1500,43.75,80
SPS/SFE,16,3000,51.24999999999999,80
SPS/SFE,16,4000,48.75,80
SPS/SFE,17,800,53.75,80
SPS/SFE,17,1500,50.0,80
SPS/SFE,17,3000,47.5,80
SPS/SFE,17,4000,51.24999999999999,80
SPS/SFE,18,800,57.49999999999999,80
SPS/SFE,18,1500,47.5,80
SPS/SFE,18,3000,60.0,80
SPS/SFE,18,4000,61.25000000000001,80
