pair,subject,window_ms,fold,accuracy,val_accuracy,n_test
WFE/SFE,1,800,1,55.55555555555556,88.88888888888889,18
WFE/SFE,1,800,2,44.44444444444444,77.77777777777777,18
WFE/SFE,1,800,3,55.55555555555556,66.66666666666667,18
WFE/SFE,1,800,4,44.44444444444444,61.111111111111114,18
WFE/SFE,1,800,5,61.111111111111114,55.55555555555556,18
WFE/SFE,1,1500,1,27.77777777777778,88.88888888888889,18
WFE/SFE,1,1500,2,55.55555555555556,66.66666666666667,18
WFE/SFE,1,1500,3,33.333333333333336,66.66666666666667,18
WFE/SFE,1,1500,4,55.55555555555556,61.111111111111114,18
WFE/SFE,1,1500,5,55.55555555555556,72.22222222222223,18
WFE/SFE,1,3000,1,33.333333333333336,61.111111111111114,18
WFE/SFE,1,3000,2,38.888888888888886,77.77777777777777,18
WFE/SFE,1,3000,3,44.44444444444444,66.66666666666667,18
WFE/SFE,1,3000,4,44.44444444444444,72.22222222222223,18
WFE/SFE,1,3000,5,66.66666666666667,61.111111111111114,18
WFE/SFE,1,4000,1,38.888888888888886,77.77777777777777,18
WFE/SFE,1,4000,2,61.111111111111114,83.33333333333333,18
WFE/SFE,1,4000,3,55.55555555555556,72.22222222222223,18
WFE/SFE,1,4000,4,44.44444444444444,77.77777777777777,18
WFE/SFE,1,4000,5,83.33333333333333,55.55555555555556,18
WFE/SFE,2,800,1,43.75,62.5,16
WFE/SFE,2,800,2,75.0,50.0,16
WFE/SFE,2,800,3,68.75,56.25,16
WFE/SFE,2,800,4,50.0,56.25,16
WFE/SFE,2,800,5,56.25,50.0,16
WFE/SFE,2,1500,1,50.0,62.5,16
WFE/SFE,2,1500,2,50.0,62.5,16
WFE/SFE,2,1500,3,50.0,56.25,16
WFE/SFE,2,1500,4,37.5,62.5,16
WFE/SFE,2,1500,5,50.0,50.0,16
WFE/SFE,2,3000,1,43.75,68.75,16
WFE/SFE,2,3000,2,62.5,50.0,16
WFE/SFE,2,3000,3,56.25,56.25,16
WFE/SFE,2,3000,4,62.5,56.25,16
WFE/SFE,2,3000,5,56.25,62.5,16
WFE/SFE,2,4000,1,43.75,62.5,16
WFE/SFE,2,4000,2,31.25,68.75,16
WFE/SFE,2,4000,3,56.25,62.5,16
WFE/SFE,2,4000,4,50.0,68.75,16
WFE/SFE,2,4000,5,68.75,68.75,16
WFE/SFE,3,800,1,81.25,75.0,16
WFE/SFE,3,800,2,62.5,87.5,16
WFE/SFE,3,800,3,62.5,87.5,16
WFE/SFE,3,800,4,68.75,75.0,16
WFE/SFE,3,800,5,81.25,68.75,16
WFE/SFE,3,1500,1,56.25,68.75,16
WFE/SFE,3,1500,2,56.25,100.0,16
WFE/SFE,3,1500,3,50.0,75.0,16
WFE/SFE,3,1500,4,68.75,62.5,16
WFE/SFE,3,1500,5,81.25,68.75,16
WFE/SFE,3,3000,1,68.75,68.75,16
WFE/SFE,3,3000,2,81.25,75.0,16
WFE/SFE,3,3000,3,56.25,81.25,16
WFE/SFE,3,3000,4,62.5,62.5,16
WFE/SFE,3,3000,5,56.25,75.0,16
WFE/SFE,3,4000,1,68.75,87.5,16
WFE/SFE,3,4000,2,81.25,81.25,16
WFE/SFE,3,4000,3,56.25,87.5,16
WFE/SFE,3,4000,4,56.25,68.75,16
WFE/SFE,3,4000,5,62.5,81.25,16
WFE/SFE,4,800,1,81.25,75.0,16
WFE/SFE,4,800,2,75.0,93.75,16
WFE/SFE,4,800,3,62.5,87.5,16
WFE/SFE,4,800,4,81.25,87.5,16
WFE/SFE,4,800,5,75.0,75.0,16
WFE/SFE,4,1500,1,68.75,75.0,16
WFE/SFE,4,1500,2,75.0,93.75,16
WFE/SFE,4,1500,3,43.75,93.75,16
WFE/SFE,4,1500,4,81.25,81.25,16
WFE/SFE,4,1500,5,50.0,75.0,16
WFE/SFE,4,3000,1,62.5,75.0,16
WFE/SFE,4,3000,2,50.0,81.25,16
WFE/SFE,4,3000,3,81.25,81.25,16
WFE/SFE,4,3000,4,68.75,87.5,16
WFE/SFE,4,3000,5,50.0,68.75,16
WFE/SFE,4,4000,1,62.5,62.5,16
WFE/SFE,4,4000,2,68.75,68.75,16
