pair,subject,window_ms,accuracy,n_test
WFE/SFE,1,800,52.22222222222223,90
WFE/SFE,1,1500,45.55555555555556,90
WFE/SFE,1,3000,45.55555555555556,90
WFE/SFE,1,4000,56.666666666666664,90
WFE/SFE,2,800,58.75,80
WFE/SFE,2,1500,47.5,80
WFE/SFE,2,3000,56.25,80
WFE/SFE,2,4000,50.0,80
WFE/SFE,3,800,71.25,80
WFE/SFE,3,1500,62.5,80
WFE/SFE,3,3000,65.0,80
WFE/SFE,3,4000,65.0,80
WFE/SFE,4,800,75.0,80
WFE/SFE,4,1500,63.74999999999999,80
WFE/SFE,4,3000,62.5,80
WFE/SFE,4,4000,70.0,80
WFE/SFE,5,800,50.617283950617285,81
WFE/SFE,5,1500,51.85185185185185,81
WFE/SFE,5,3000,50.617283950617285,81
WFE/SFE,5,4000,48.148148148148145,81
WFE/SFE,6,800,42.5,80
WFE/SFE,6,1500,52.5,80
WFE/SFE,6,3000,57.49999999999999,80
WFE/SFE,6,4000,61.25000000000001,80
WFE/SFE,7,800,57.49999999999999,80
WFE/SFE,7,1500,58.75,80
WFE/SFE,7,3000,62.5,80
WFE/SFE,7,4000,55.00000000000001,80
WFE/SFE,8,800,43.75,80
WFE/SFE,8,1500,47.5,80
WFE/SFE,8,3000,50.0,80
WFE/SFE,8,4000,41.25,80
WFE/SFE,9,800,47.5,80
WFE/SFE,9,1500,51.24999999999999,80
WFE/SFE,9,3000,42.5,80
WFE/SFE,9,4000,52.5,80
WFE/SFE,10,800,56.25,80
WFE/SFE,10,1500,53.75,80
WFE/SFE,10,3000,65.0,80
WFE/SFE,10,4000,53.75,80
WFE/SFE,11,800,43.75,80
WFE/SFE,11,1500,51.24999999999999,80
WFE/SFE,11,3000,47.5,80
WFE/SFE,11,4000,47.5,80
WFE/SFE,12,800,56.25,80
WFE/SFE,12,1500,53.75,80
WFE/SFE,12,3000,53.75,80
WFE/SFE,12,4000,52.5,80
WFE/SFE,13,800,55.00000000000001,80
WFE/SFE,13,1500,61.25000000000001,80
WFE/SFE,13,3000,52.5,80
WFE/SFE,13,4000,60.0,80
WFE/SFE,14,800,57.49999999999999,80
WFE/SFE,14,1500,60.0,80
WFE/SFE,14,3000,50.0,80
WFE/SFE,14,4000,50.0,80
WFE/SFE,15,800,52.5,80
WFE/SFE,15,1500,48.75,80
WFE/SFE,15,3000,46.25,80
WFE/SFE,15,4000,45.0,80
WFE/SFE,16,800,48.75,80
WFE/SFE,16,1500,42.5,80
WFE/SFE,16,3000,47.5,80
WFE/SFE,16,4000,51.24999999999999,80
WFE/SFE,17,800,43.75,80
WFE/SFE,17,1500,52.5,80
WFE/SFE,17,3000,48.75,80
WFE/SFE,17,4000,51.24999999999999,80
WFE/SFE,18,800,52.5,80
WFE/SFE,18,1500,56.25,80
WFE/SFE,18,3000,58.75,80
WFE/SFE,18,4000,56.25,80
