pair,subject,window_ms,accuracy,n_test
HOC/EFE,1,800,56.666666666666664,90
HOC/EFE,1,1500,64.44444444444444,90
HOC/EFE,1,3000,73.33333333333333,90
HOC/EFE,1,4000,71.11111111111111,90
HOC/EFE,2,800,47.5,80
HOC/EFE,2,1500,55.00000000000001,80
HOC/EFE,2,3000,52.5,80
HOC/EFE,2,4000,53.75,80
HOC/EFE,3,800,62.5,80
HOC/EFE,3,1500,66.25,80
HOC/EFE,3,3000,53.75,80
HOC/EFE,3,4000,53.75,80
HOC/EFE,4,800,50.0,80
HOC/EFE,4,1500,48.75,80
HOC/EFE,4,3000,75.0,80
HOC/EFE,4,4000,75.0,80
HOC/EFE,5,800,55.00000000000001,80
HOC/EFE,5,1500,66.25,80
HOC/EFE,5,3000,60.0,80
HOC/EFE,5,4000,56.25,80
HOC/EFE,6,800,47.5,80
HOC/EFE,6,1500,51.24999999999999,80
HOC/EFE,6,3000,51.24999999999999,80
HOC/EFE,6,4000,48.75,80
HOC/EFE,7,800,58.75,80
HOC/EFE,7,1500,62.5,80
HOC/EFE,7,3000,61.25000000000001,80
HOC/EFE,7,4000,53.75,80
HOC/EFE,8,800,57.49999999999999,80
HOC/EFE,8,1500,43.75,80
HOC/EFE,8,3000,55.00000000000001,80
HOC/EFE,8,4000,51.24999999999999,80
HOC/EFE,9,800,55.00000000000001,80
HOC/EFE,9,1500,53.75,80
HOC/EFE,9,3000,57.49999999999999,80
HOC/EFE,9,4000,67.5,80
HOC/EFE,10,800,47.5,80
HOC/EFE,10,1500,60.0,80
HOC/EFE,10,3000,67.5,80
HOC/EFE,10,4000,66.25,80
HOC/EFE,11,800,55.00000000000001,80
HOC/EFE,11,1500,45.0,80
HOC/EFE,11,3000,58.75,80
HOC/EFE,11,4000,52.5,80
HOC/EFE,12,800,53.75,80
HOC/EFE,12,1500,55.00000000000001,80
HOC/EFE,12,3000,53.75,80
HOC/EFE,12,4000,47.5,80
HOC/EFE,13,800,60.0,80
HOC/EFE,13,1500,58.75,80
HOC/EFE,13,3000,53.75,80
HOC/EFE,13,4000,47.5,80
HOC/EFE,14,800,60.0,80
HOC/EFE,14,1500,61.25000000000001,80
HOC/EFE,14,3000,51.24999999999999,80
HOC/EFE,14,4000,53.75,80
HOC/EFE,15,800,55.00000000000001,80
HOC/EFE,15,1500,52.5,80
HOC/EFE,15,3000,45.0,80
HOC/EFE,15,4000,52.5,80
HOC/EFE,16,800,50.0,80
HOC/EFE,16,1500,62.5,80
HOC/EFE,16,3000,61.25000000000001,80
HOC/EFE,16,4000,50.0,80
HOC/EFE,17,800,62.5,80
HOC/EFE,17,1500,55.00000000000001,80
HOC/EFE,17,3000,53.75,80
HOC/EFE,17,4000,65.0,80
HOC/EFE,18,800,55.00000000000001,80
HOC/EFE,18,1500,62.5,80
HOC/EFE,18,3000,71.25,80
HOC/EFE,18,4000,60.0,80
