pair,subject,window_ms,fold,accuracy,val_accuracy,n_test
WAA/SAA,1,800,1,38.888888888888886,72.22222222222223,18
WAA/SAA,1,800,2,72.22222222222223,72.22222222222223,18
WAA/SAA,1,800,3,66.66666666666667,55.55555555555556,18
WAA/SAA,1,800,4,55.55555555555556,55.55555555555556,18
WAA/SAA,1,800,5,38.888888888888886,77.77777777777777,18
WAA/SAA,1,1500,1,55.55555555555556,77.77777777777777,18
WAA/SAA,1,1500,2,61.111111111111114,77.77777777777777,18
WAA/SAA,1,1500,3,55.55555555555556,83.33333333333333,18
WAA/SAA,1,1500,4,55.55555555555556,66.66666666666667,18
WAA/SAA,1,1500,5,77.77777777777777,72.22222222222223,18
WAA/SAA,1,3000,1,55.55555555555556,72.22222222222223,18
WAA/SAA,1,3000,2,61.111111111111114,66.66666666666667,18
WAA/SAA,1,3000,3,50.0,100.0,18
WAA/SAA,1,3000,4,66.66666666666667,77.77777777777777,18
WAA/SAA,1,3000,5,66.66666666666667,66.66666666666667,18
WAA/SAA,1,4000,1,55.55555555555556,83.33333333333333,18
WAA/SAA,1,4000,2,55.55555555555556,72.22222222222223,18
WAA/SAA,1,4000,3,55.55555555555556,83.33333333333333,18
WAA/SAA,1,4000,4,38.888888888888886,77.77777777777777,18
WAA/SAA,1,4000,5,61.111111111111114,83.33333333333333,18
WAA/SAA,2,800,1,50.0,68.75,16
WAA/SAA,2,800,2,50.0,62.5,16
WAA/SAA,2,800,3,75.0,75.0,16
WAA/SAA,2,800,4,50.0,56.25,16
WAA/SAA,2,800,5,62.5,68.75,16
WAA/SAA,2,1500,1,50.0,56.25,16
WAA/SAA,2,1500,2,62.5,68.75,16
WAA/SAA,2,1500,3,50.0,68.75,16
WAA/SAA,2,1500,4,50.0,50.0,16
WAA/SAA,2,1500,5,50.0,50.0,16
WAA/SAA,2,3000,1,56.25,56.25,16
WAA/SAA,2,3000,2,43.75,56.25,16
WAA/SAA,2,3000,3,43.75,56.25,16
WAA/SAA,2,3000,4,43.75,68.75,16
WAA/SAA,2,3000,5,50.0,50.0,16
WAA/SAA,2,4000,1,43.75,62.5,16
WAA/SAA,2,4000,2,50.0,50.0,16
WAA/SAA,2,4000,3,50.0,50.0,16
WAA/SAA,2,4000,4,43.75,62.5,16
WAA/SAA,2,4000,5,50.0,50.0,16
WAA/SAA,3,800,1,81.25,81.25,16
WAA/SAA,3,800,2,75.0,75.0,16
WAA/SAA,3,800,3,56.25,87.5,16
WAA/SAA,3,800,4,81.25,87.5,16
WAA/SAA,3,800,5,50.0,87.5,16
WAA/SAA,3,1500,1,81.25,87.5,16
WAA/SAA,3,1500,2,81.25,75.0,16
WAA/SAA,3,1500,3,75.0,93.75,16
WAA/SAA,3,1500,4,100.0,75.0,16
WAA/SAA,3,1500,5,81.25,87.5,16
WAA/SAA,3,3000,1,81.25,93.75,16
WAA/SAA,3,3000,2,75.0,93.75,16
WAA/SAA,3,3000,3,87.5,100.0,16
WAA/SAA,3,3000,4,93.75,87.5,16
WAA/SAA,3,3000,5,62.5,100.0,16
WAA/SAA,3,4000,1,93.75,100.0,16
WAA/SAA,3,4000,2,75.0,87.5,16
WAA/SAA,3,4000,3,93.75,100.0,16
WAA/SAA,3,4000,4,93.75,87.5,16
WAA/SAA,3,4000,5,50.0,100.0,16
WAA/SAA,4,800,1,62.5,68.75,16
WAA/SAA,4,800,2,75.0,62.5,16
WAA/SAA,4,800,3,62.5,81.25,16
WAA/SAA,4,800,4,75.0,56.25,16
WAA/SAA,4,800,5,43.75,68.75,16
WAA/SAA,4,1500,1,68.75,68.75,16
WAA/SAA,4,1500,2,68.75,62.5,16
WAA/SAA,4,1500,3,62.5,75.0,16
WAA/SAA,4,1500,4,50.0,50.0,16
WAA/SAA,4,1500,5,68.75,81.25,16
