pair,subject,window_ms,fold,accuracy,val_accuracy,n_test
HOC/WFE,1,800,1,44.44444444444444,55.55555555555556,18
HOC/WFE,1,800,2,55.55555555555556,66.66666666666667,18
HOC/WFE,1,800,3,55.55555555555556,72.22222222222223,18
HOC/WFE,1,800,4,44.44444444444444,72.22222222222223,18
HOC/WFE,1,800,5,61.111111111111114,77.77777777777777,18
HOC/WFE,1,1500,1,44.44444444444444,72.22222222222223,18
HOC/WFE,1,1500,2,44.44444444444444,72.22222222222223,18
HOC/WFE,1,1500,3,66.66666666666667,72.22222222222223,18
HOC/WFE,1,1500,4,55.55555555555556,66.66666666666667,18
HOC/WFE,1,1500,5,66.66666666666667,55.55555555555556,18
HOC/WFE,1,3000,1,50.0,66.66666666666667,18
HOC/WFE,1,3000,2,72.22222222222223,66.66666666666667,18
HOC/WFE,1,3000,3,66.66666666666667,72.22222222222223,18
HOC/WFE,1,3000,4,66.66666666666667,72.22222222222223,18
HOC/WFE,1,3000,5,50.0,72.22222222222223,18
HOC/WFE,1,4000,1,55.55555555555556,66.66666666666667,18
HOC/WFE,1,4000,2,66.66666666666667,77.77777777777777,18
HOC/WFE,1,4000,3,72.22222222222223,72.22222222222223,18
HOC/WFE,1,4000,4,61.111111111111114,66.66666666666667,18
HOC/WFE,1,4000,5,44.44444444444444,72.22222222222223,18
HOC/WFE,2,800,1,56.25,62.5,16
HOC/WFE,2,800,2,81.25,75.0,16
HOC/WFE,2,800,3,31.25,56.25,16
HOC/WFE,2,800,4,43.75,56.25,16
HOC/WFE,2,800,5,50.0,50.0,16
HOC/WFE,2,1500,1,68.75,68.75,16
HOC/WFE,2,1500,2,43.75,68.75,16
HOC/WFE,2,1500,3,37.5,56.25,16
HOC/WFE,2,1500,4,43.75,62.5,16
HOC/WFE,2,1500,5,43.75,56.25,16
HOC/WFE,2,3000,1,43.75,62.5,16
HOC/WFE,2,3000,2,43.75,68.75,16
HOC/WFE,2,3000,3,50.0,50.0,16
HOC/WFE,2,3000,4,62.5,68.75,16
HOC/WFE,2,3000,5,37.5,68.75,16
HOC/WFE,2,4000,1,31.25,62.5,16
HOC/WFE,2,4000,2,56.25,62.5,16
HOC/WFE,2,4000,3,50.0,50.0,16
HOC/WFE,2,4000,4,56.25,62.5,16
HOC/WFE,2,4000,5,50.0,50.0,16
HOC/WFE,3,800,1,56.25,81.25,16
HOC/WFE,3,800,2,81.25,75.0,16
HOC/WFE,3,800,3,68.75,75.0,16
HOC/WFE,3,800,4,68.75,81.25,16
HOC/WFE,3,800,5,75.0,81.25,16
HOC/WFE,3,1500,1,62.5,56.25,16
HOC/WFE,3,1500,2,62.5,75.0,16
HOC/WFE,3,1500,3,68.75,68.75,16
HOC/WFE,3,1500,4,56.25,68.75,16
HOC/WFE,3,1500,5,56.25,81.25,16
HOC/WFE,3,3000,1,50.0,56.25,16
HOC/WFE,3,3000,2,56.25,62.5,16
HOC/WFE,3,3000,3,56.25,56.25,16
HOC/WFE,3,3000,4,37.5,68.75,16
HOC/WFE,3,3000,5,50.0,56.25,16
HOC/WFE,3,4000,1,43.75,62.5,16
HOC/WFE,3,4000,2,56.25,56.25,16
HOC/WFE,3,4000,3,50.0,68.75,16
HOC/WFE,3,4000,4,31.25,68.75,16
HOC/WFE,3,4000,5,50.0,50.0,16
