pair,model,800,1500,3000,4000,avg
HOC_WFE,fine,61.25,60.0386,58.75,58.5957,59.6586
HOC_WFE,conformer_a,60.8102,60.9954,62.1219,62.4306,61.5895
HOC_WFE,conformer_b,63.2176,63.4954,57.4614,59.838,61.0031
HOC_WAA,fine,60.625,62.7083,66.1111,65.3627,63.7018
HOC_WAA,conformer_a,61.1497,60.7407,65.0694,64.9383,62.9745
HOC_WAA,conformer_b,59.7454,64.4985,64.7454,65.3086,63.5745
HOC_EPS,fine,61.659,62.963,61.8904,59.8071,61.5799
HOC_EPS,conformer_a,58.3951,61.3503,62.4846,61.3966,60.9066
HOC_EPS,conformer_b,62.1065,61.3735,63.2022,62.9244,62.4016
HOC_EFE,fine,64.3441,65.9336,65.6173,66.2346,65.5324
HOC_EFE,conformer_a,59.3133,64.4213,65.2855,65.7485,63.6921
HOC_EFE,conformer_b,63.3951,64.2593,66.2423,67.7701,65.4167
HOC_SPS,fine,68.9429,70.0154,71.25,71.5278,70.434
HOC_SPS,conformer_a,64.7222,70.841,70.7948,71.6821,69.51
HOC_SPS,conformer_b,67.5463,71.8827,72.3688,70.625,70.6057
HOC_SAA,fine,71.3966,73.1944,71.7901,71.5972,71.9946
HOC_SAA,conformer_a,64.9923,74.4676,73.7577,74.8071,72.0062
HOC_SAA,conformer_b,68.8889,75.4938,74.0509,73.0015,72.8588
HOC_SFE,fine,67.5969,68.179,68.6025,68.7517,68.2825
HOC_SFE,conformer_a,68.1567,69.7625,71.1746,71.4926,70.1466
HOC_SFE,conformer_b,68.5099,68.8863,69.6193,70.2752,69.3227
WFE_WAA,fine,59.6682,60.9336,62.9552,63.8966,61.8634
WFE_WAA,conformer_a,60.6867,61.1728,63.5957,60.9028,61.5895
WFE_WAA,conformer_b,58.4568,64.159,62.7083,64.8071,62.5328
WFE_EPS,fine,62.5386,62.1605,59.1667,59.5293,60.8488
WFE_EPS,conformer_a,61.0262,60.9028,62.2994,61.7978,61.5066
WFE_EPS,conformer_b,62.2685,63.9506,60.0849,61.4738,61.9444
WFE_EFE,fine,61.2269,58.3642,60.9491,61.2654,60.4514
WFE_EFE,conformer_a,61.5123,61.0648,62.3071,63.6265,62.1277
WFE_EFE,conformer_b,60.8642,62.037,60.9799,62.0833,61.4911
WFE_SPS,fine,68.8349,68.1713,67.6389,68.2485,68.2234
WFE_SPS,conformer_a,65.6559,70.5401,71.3735,71.4352,69.7512
WFE_SPS,conformer_b,64.6065,69.8534,69.7377,69.7762,68.4934
WFE_SAA,fine,63.6728,67.3843,66.3194,66.2963,65.9182
WFE_SAA,conformer_a,61.983,69.4907,68.8503,67.716,67.01
