pair,subject,window_ms,accuracy,n_test
EPS/SPS,1,800,55.55555555555556,90
EPS/SPS,1,1500,64.44444444444444,90
EPS/SPS,1,3000,64.44444444444444,90
EPS/SPS,1,4000,65.55555555555556,90
EPS/SPS,2,800,62.5,80
EPS/SPS,2,1500,71.25,80
EPS/SPS,2,3000,62.5,80
EPS/SPS,2,4000,72.5,80
EPS/SPS,3,800,70.0,80
EPS/SPS,3,1500,70.0,80
EPS/SPS,3,3000,76.25,80
EPS/SPS,3,4000,76.25,80
EPS/SPS,4,800,88.75,80
EPS/SPS,4,1500,91.25,80
EPS/SPS,4,3000,87.5,80
EPS/SPS,4,4000,78.75,80
EPS/SPS,5,800,77.5,80
EPS/SPS,5,1500,85.0,80
EPS/SPS,5,3000,75.0,80
EPS/SPS,5,4000,70.0,80
EPS/SPS,6,800,66.25,80
EPS/SPS,6,1500,75.0,80
EPS/SPS,6,3000,72.5,80
EPS/SPS,6,4000,68.75,80
EPS/SPS,7,800,62.5,80
EPS/SPS,7,1500,70.0,80
EPS/SPS,7,3000,80.0,80
EPS/SPS,7,4000,71.25,80
EPS/SPS,8,800,48.75,80
EPS/SPS,8,1500,46.25,80
EPS/SPS,8,3000,56.25,80
EPS/SPS,8,4000,53.75,80
EPS/SPS,9,800,65.0,80
EPS/SPS,9,1500,62.5,80
EPS/SPS,9,3000,53.75,80
EPS/SPS,9,4000,56.25,80
EPS/SPS,10,800,80.0,80
EPS/SPS,10,1500,82.5,80
EPS/SPS,10,3000,80.0,80
EPS/SPS,10,4000,85.0,80
EPS/SPS,11,800,52.5,80
EPS/SPS,11,1500,57.49999999999999,80
EPS/SPS,11,3000,65.0,80
EPS/SPS,11,4000,73.75,80
EPS/SPS,12,800,58.75,80
EPS/SPS,12,1500,53.75,80
EPS/SPS,12,3000,53.75,80
EPS/SPS,12,4000,63.74999999999999,80
EPS/SPS,13,800,58.75,80
EPS/SPS,13,1500,66.25,80
EPS/SPS,13,3000,60.0,80
EPS/SPS,13,4000,70.0,80
EPS/SPS,14,800,67.5,80
EPS/SPS,14,1500,70.0,80
EPS/SPS,14,3000,66.25,80
EPS/SPS,14,4000,68.75,80
EPS/SPS,15,800,72.5,80
EPS/SPS,15,1500,70.0,80
EPS/SPS,15,3000,55.00000000000001,80
EPS/SPS,15,4000,55.00000000000001,80
EPS/SPS,16,800,56.25,80
EPS/SPS,16,1500,56.25,80
EPS/SPS,16,3000,51.24999999999999,80
EPS/SPS,16,4000,42.5,80
EPS/SPS,17,800,67.5,80
EPS/SPS,17,1500,71.25,80
EPS/SPS,17,3000,66.25,80
EPS/SPS,17,4000,66.25,80
EPS/SPS,18,800,76.25,80
EPS/SPS,18,1500,77.5,80
EPS/SPS,18,3000,83.75,80
EPS/SPS,18,4000,75.0,80
