pair,subject,window_ms,accuracy,n_test
HOC/WAA,1,800,56.666666666666664,90
HOC/WAA,1,1500,62.22222222222222,90
HOC/WAA,1,3000,66.66666666666666,90
HOC/WAA,1,4000,65.55555555555556,90
HOC/WAA,2,800,50.0,80
HOC/WAA,2,1500,62.5,80
HOC/WAA,2,3000,57.49999999999999,80
HOC/WAA,2,4000,58.75,80
HOC/WAA,3,800,53.75,80
HOC/WAA,3,1500,66.25,80
HOC/WAA,3,3000,71.25,80
HOC/WAA,3,4000,62.5,80
HOC/WAA,4,800,63.74999999999999,80
HOC/WAA,4,1500,71.25,80
HOC/WAA,4,3000,58.75,80
HOC/WAA,4,4000,68.75,80
HOC/WAA,5,800,56.25,80
HOC/WAA,5,1500,67.5,80
HOC/WAA,5,3000,60.0,80
HOC/WAA,5,4000,52.5,80
HOC/WAA,6,800,63.74999999999999,80
HOC/WAA,6,1500,63.74999999999999,80
HOC/WAA,6,3000,65.0,80
HOC/WAA,6,4000,71.25,80
HOC/WAA,7,800,57.49999999999999,80
HOC/WAA,7,1500,62.5,80
HOC/WAA,7,3000,68.75,80
HOC/WAA,7,4000,72.5,80
HOC/WAA,8,800,51.24999999999999,80
HOC/WAA,8,1500,56.25,80
HOC/WAA,8,3000,58.75,80
HOC/WAA,8,4000,57.49999999999999,80
HOC/WAA,9,800,52.5,80
HOC/WAA,9,1500,57.49999999999999,80
HOC/WAA,9,3000,58.75,80
HOC/WAA,9,4000,63.74999999999999,80
HOC/WAA,10,800,66.25,80
HOC/WAA,10,1500,67.5,80
HOC/WAA,10,3000,68.75,80
HOC/WAA,10,4000,60.0,80
HOC/WAA,11,800,61.25000000000001,80
HOC/WAA,11,1500,61.25000000000001,80
HOC/WAA,11,3000,62.5,80
HOC/WAA,11,4000,63.74999999999999,80
HOC/WAA,12,800,57.49999999999999,80
HOC/WAA,12,1500,68.75,80
HOC/WAA,12,3000,77.5,80
HOC/WAA,12,4000,73.75,80
HOC/WAA,13,800,65.0,80
HOC/WAA,13,1500,67.5,80
HOC/WAA,13,3000,67.5,80
HOC/WAA,13,4000,72.5,80
HOC/WAA,14,800,71.25,80
HOC/WAA,14,1500,70.0,80
HOC/WAA,14,3000,61.25000000000001,80
HOC/WAA,14,4000,65.0,80
HOC/WAA,15,800,51.24999999999999,80
HOC/WAA,15,1500,48.75,80
HOC/WAA,15,3000,61.25000000000001,80
HOC/WAA,15,4000,51.24999999999999,80
HOC/WAA,16,800,82.5,80
HOC/WAA,16,1500,85.0,80
HOC/WAA,16,3000,73.75,80
HOC/WAA,16,4000,81.25,80
HOC/WAA,17,800,58.75,80
HOC/WAA,17,1500,57.49999999999999,80
HOC/WAA,17,3000,63.74999999999999,80
HOC/WAA,17,4000,62.5,80
HOC/WAA,18,800,56.25,80
HOC/WAA,18,1500,65.0,80
HOC/WAA,18,3000,63.74999999999999,80
HOC/WAA,18,4000,72.5,80
