pair,subject,window_ms,fold,accuracy,val_accuracy,n_test
HOC/WFE,1,800,1,50.0,66.66666666666667,18
HOC/WFE,1,800,2,55.55555555555556,72.22222222222223,18
HOC/WFE,1,800,3,77.77777777777777,77.77777777777777,18
HOC/WFE,1,800,4,44.44444444444444,61.111111111111114,18
HOC/WFE,1,800,5,55.55555555555556,77.77777777777777,18
HOC/WFE,1,1500,1,61.111111111111114,72.22222222222223,18
HOC/WFE,1,1500,2,55.55555555555556,61.111111111111114,18
HOC/WFE,1,1500,3,55.55555555555556,61.111111111111114,18
HOC/WFE,1,1500,4,61.111111111111114,77.77777777777777,18
HOC/WFE,1,1500,5,50.0,83.33333333333333,18
HOC/WFE,1,3000,1,55.55555555555556,66.66666666666667,18
HOC/WFE,1,3000,2,50.0,66.66666666666667,18
HOC/WFE,1,3000,3,77.77777777777777,61.111111111111114,18
HOC/WFE,1,3000,4,44.44444444444444,77.77777777777777,18
HOC/WFE,1,3000,5,50.0,83.33333333333333,18
HOC/WFE,1,4000,1,33.333333333333336,66.66666666666667,18
HOC/WFE,1,4000,2,55.55555555555556,72.22222222222223,18
HOC/WFE,1,4000,3,33.333333333333336,61.111111111111114,18
HOC/WFE,1,4000,4,38.888888888888886,72.22222222222223,18
HOC/WFE,1,4000,5,55.55555555555556,72.22222222222223,18
HOC/WFE,2,800,1,50.0,75.0,16
HOC/WFE,2,800,2,43.75,87.5,16
HOC/WFE,2,800,3,50.0,50.0,16
HOC/WFE,2,800,4,56.25,75.0,16
HOC/WFE,2,800,5,68.75,75.0,16
HOC/WFE,2,1500,1,62.5,81.25,16
HOC/WFE,2,1500,2,56.25,68.75,16
HOC/WFE,2,1500,3,68.75,62.5,16
HOC/WFE,2,1500,4,56.25,81.25,16
HOC/WFE,2,1500,5,50.0,62.5,16
HOC/WFE,2,3000,1,56.25,75.0,16
HOC/WFE,2,3000,2,56.25,75.0,16
HOC/WFE,2,3000,3,62.5,62.5,16
HOC/WFE,2,3000,4,43.75,68.75,16
HOC/WFE,2,3000,5,68.75,68.75,16
HOC/WFE,2,4000,1,56.25,81.25,16
HOC/WFE,2,4000,2,56.25,75.0,16
HOC/WFE,2,4000,3,75.0,68.75,16
HOC/WFE,2,4000,4,50.0,75.0,16
HOC/WFE,2,4000,5,50.0,62.5,16
HOC/WFE,3,800,1,81.25,75.0,16
HOC/WFE,3,800,2,75.0,62.5,16
HOC/WFE,3,800,3,62.5,68.75,16
HOC/WFE,3,800,4,62.5,68.75,16
HOC/WFE,3,800,5,62.5,81.25,16
HOC/WFE,3,1500,1,87.5,75.0,16
HOC/WFE,3,1500,2,75.0,81.25,16
HOC/WFE,3,1500,3,62.5,56.25,16
HOC/WFE,3,1500,4,68.75,68.75,16
HOC/WFE,3,1500,5,56.25,81.25,16
HOC/WFE,3,3000,1,50.0,68.75,16
HOC/WFE,3,3000,2,62.5,56.25,16
HOC/WFE,3,3000,3,68.75,68.75,16
HOC/WFE,3,3000,4,56.25,50.0,16
HOC/WFE,3,3000,5,62.5,75.0,16
HOC/WFE,3,4000,1,68.75,75.0,16
HOC/WFE,3,4000,2,50.0,62.5,16
HOC/WFE,3,4000,3,68.75,62.5,16
HOC/WFE,3,4000,4,62.5,56.25,16
HOC/WFE,3,4000,5,75.0,62.5,16
HOC/WFE,4,800,1,68.75,75.0,16
HOC/WFE,4,800,2,68.75,93.75,16
HOC/WFE,4,800,3,68.75,81.25,16
HOC/WFE,4,800,4,68.75,68.75,16
HOC/WFE,4,800,5,43.75,81.25,16
