pair,subject,window_ms,accuracy,n_test
WAA/SAA,1,800,62.22222222222222,90
WAA/SAA,1,1500,64.44444444444444,90
WAA/SAA,1,3000,71.11111111111111,90
WAA/SAA,1,4000,60.0,90
WAA/SAA,2,800,68.75,80
WAA/SAA,2,1500,67.5,80
WAA/SAA,2,3000,65.0,80
WAA/SAA,2,4000,63.74999999999999,80
WAA/SAA,3,800,61.25000000000001,80
WAA/SAA,3,1500,80.0,80
WAA/SAA,3,3000,72.5,80
WAA/SAA,3,4000,70.0,80
WAA/SAA,4,800,88.75,80
WAA/SAA,4,1500,86.25,80
WAA/SAA,4,3000,86.25,80
WAA/SAA,4,4000,91.25,80
WAA/SAA,5,800,77.5,80
WAA/SAA,5,1500,83.75,80
WAA/SAA,5,3000,77.5,80
WAA/SAA,5,4000,76.25,80
WAA/SAA,6,800,66.25,80
WAA/SAA,6,1500,65.0,80
WAA/SAA,6,3000,76.25,80
WAA/SAA,6,4000,78.75,80
WAA/SAA,7,800,76.25,80
WAA/SAA,7,1500,93.75,80
WAA/SAA,7,3000,88.75,80
WAA/SAA,7,4000,90.0,80
WAA/SAA,8,800,47.5,80
WAA/SAA,8,1500,61.25000000000001,80
WAA/SAA,8,3000,48.75,80
WAA/SAA,8,4000,53.75,80
WAA/SAA,9,800,50.0,80
WAA/SAA,9,1500,61.25000000000001,80
WAA/SAA,9,3000,52.5,80
WAA/SAA,9,4000,57.49999999999999,80
WAA/SAA,10,800,70.0,80
WAA/SAA,10,1500,55.00000000000001,80
WAA/SAA,10,3000,56.25,80
WAA/SAA,10,4000,65.0,80
WAA/SAA,11,800,61.25000000000001,80
WAA/SAA,11,1500,85.0,80
WAA/SAA,11,3000,77.5,80
WAA/SAA,11,4000,81.25,80
WAA/SAA,12,800,70.0,80
WAA/SAA,12,1500,67.5,80
WAA/SAA,12,3000,73.75,80
WAA/SAA,12,4000,71.25,80
WAA/SAA,13,800,57.49999999999999,80
WAA/SAA,13,1500,61.25000000000001,80
WAA/SAA,13,3000,71.25,80
WAA/SAA,13,4000,73.75,80
WAA/SAA,14,800,61.25000000000001,80
WAA/SAA,14,1500,61.25000000000001,80
WAA/SAA,14,3000,66.25,80
WAA/SAA,14,4000,63.74999999999999,80
WAA/SAA,15,800,67.5,80
WAA/SAA,15,1500,77.5,80
WAA/SAA,15,3000,68.75,80
WAA/SAA,15,4000,72.5,80
WAA/SAA,16,800,56.25,80
WAA/SAA,16,1500,46.25,80
WAA/SAA,16,3000,46.25,80
WAA/SAA,16,4000,43.75,80
WAA/SAA,17,800,60.0,80
WAA/SAA,17,1500,70.0,80
WAA/SAA,17,3000,67.5,80
WAA/SAA,17,4000,65.0,80
WAA/SAA,18,800,78.75,80
WAA/SAA,18,1500,86.25,80
WAA/SAA,18,3000,83.75,80
WAA/SAA,18,4000,85.0,80
