pair,subject,window_ms,fold,accuracy,val_accuracy,n_test
WFE/SPS,1,800,1,55.55555555555556,77.77777777777777,18
WFE/SPS,1,800,2,50.0,72.22222222222223,18
WFE/SPS,1,800,3,50.0,72.22222222222223,18
WFE/SPS,1,800,4,66.66666666666667,83.33333333333333,18
WFE/SPS,1,800,5,61.111111111111114,83.33333333333333,18
WFE/SPS,1,1500,1,72.22222222222223,94.44444444444444,18
WFE/SPS,1,1500,2,66.66666666666667,83.33333333333333,18
WFE/SPS,1,1500,3,55.55555555555556,94.44444444444444,18
WFE/SPS,1,1500,4,83.33333333333333,83.33333333333333,18
WFE/SPS,1,1500,5,77.77777777777777,83.33333333333333,18
WFE/SPS,1,3000,1,72.22222222222223,94.44444444444444,18
WFE/SPS,1,3000,2,61.111111111111114,94.44444444444444,18
WFE/SPS,1,3000,3,88.88888888888889,88.88888888888889,18
WFE/SPS,1,3000,4,88.88888888888889,77.77777777777777,18
WFE/SPS,1,3000,5,77.77777777777777,77.77777777777777,18
WFE/SPS,1,4000,1,55.55555555555556,88.88888888888889,18
WFE/SPS,1,4000,2,66.66666666666667,83.33333333333333,18
WFE/SPS,1,4000,3,77.77777777777777,83.33333333333333,18
WFE/SPS,1,4000,4,83.33333333333333,88.88888888888889,18
WFE/SPS,1,4000,5,77.77777777777777,83.33333333333333,18
WFE/SPS,2,800,1,56.25,81.25,16
WFE/SPS,2,800,2,62.5,62.5,16
WFE/SPS,2,800,3,50.0,62.5,16
WFE/SPS,2,800,4,56.25,68.75,16
WFE/SPS,2,800,5,81.25,62.5,16
WFE/SPS,2,1500,1,62.5,75.0,16
WFE/SPS,2,1500,2,56.25,75.0,16
WFE/SPS,2,1500,3,56.25,62.5,16
WFE/SPS,2,1500,4,68.75,75.0,16
WFE/SPS,2,1500,5,56.25,68.75,16
WFE/SPS,2,3000,1,56.25,81.25,16
WFE/SPS,2,3000,2,68.75,81.25,16
WFE/SPS,2,3000,3,62.5,68.75,16
WFE/SPS,2,3000,4,75.0,87.5,16
WFE/SPS,2,3000,5,81.25,87.5,16
WFE/SPS,2,4000,1,75.0,87.5,16
WFE/SPS,2,4000,2,68.75,87.5,16
WFE/SPS,2,4000,3,62.5,75.0,16
WFE/SPS,2,4000,4,68.75,87.5,16
WFE/SPS,2,4000,5,68.75,81.25,16
WFE/SPS,3,800,1,62.5,68.75,16
WFE/SPS,3,800,2,75.0,81.25,16
WFE/SPS,3,800,3,68.75,68.75,16
WFE/SPS,3,800,4,62.5,87.5,16
WFE/SPS,3,800,5,81.25,81.25,16
WFE/SPS,3,1500,1,62.5,68.75,16
WFE/SPS,3,1500,2,81.25,81.25,16
WFE/SPS,3,1500,3,75.0,81.25,16
WFE/SPS,3,1500,4,68.75,93.75,16
WFE/SPS,3,1500,5,68.75,81.25,16
WFE/SPS,3,3000,1,62.5,75.0,16
WFE/SPS,3,3000,2,93.75,81.25,16
WFE/SPS,3,3000,3,75.0,81.25,16
WFE/SPS,3,3000,4,62.5,81.25,16
WFE/SPS,3,3000,5,81.25,75.0,16
WFE/SPS,3,4000,1,68.75,75.0,16
WFE/SPS,3,4000,2,81.25,68.75,16
WFE/SPS,3,4000,3,75.0,75.0,16
WFE/SPS,3,4000,4,68.75,81.25,16
WFE/SPS,3,4000,5,87.5,81.25,16
WFE/SPS,4,800,1,81.25,93.75,16
WFE/SPS,4,800,2,93.75,93.75,16
WFE/SPS,4,800,3,100.0,87.5,16
WFE/SPS,4,800,4,87.5,100.0,16
WFE/SPS,4,800,5,87.5,93.75,16
WFE/SPS,4,1500,1,100.0,100.0,16
WFE/SPS,4,1500,2,93.75,100.0,16
WFE/SPS,4,1500,3,100.0,100.0,16
WFE/SPS,4,1500,4,93.75,100.0,16
WFE/SPS,4,1500,5,93.75,100.0,16
WFE/SPS,4,3000,1,100.0,100.0,16
WFE/SPS,4,3000,2,81.25,100.0,16
WFE/SPS,4,3000,3,100.0,100.0,16
WFE/SPS,4,3000,4,93.75,100.0,16
WFE/SPS,4,3000,5,87.5,100.0,16
WFE/SPS,4,4000,1,100.0,100.0,16
WFE/SPS,4,4000,2,81.25,93.75,16
WFE/SPS,4,4000,3,93.75,100.0,16
WFE/SPS,4,4000,4,81.25,100.0,16
WFE/SPS,4,4000,5,87.5,100.0,16
WFE/SPS,5,800,1,93.75,81.25,16
WFE/SPS,5,800,2,87.5,87.5,16
WFE/SPS,5,800,3,62.5,87.5,16
WFE/SPS,5,800,4,81.25,93.75,16
WFE/SPS,5,800,5,75.0,93.75,16
WFE/SPS,5,1500,1,81.25,68.75,16
WFE/SPS,5,1500,2,81.25,87.5,16
WFE/SPS,5,1500,3,87.5,87.5,16
WFE/SPS,5,1500,4,68.75,93.75,16
WFE/SPS,5,1500,5,93.75,87.5,16
WFE/SPS,5,3000,1,81.25,75.0,16
WFE/SPS,5,3000,2,75.0,87.5,16
WFE/SPS,5,3000,3,81.25,87.5,16
WFE/SPS,5,3000,4,75.0,93.75,16
WFE/SPS,5,3000,5,81.25,87.5,16
WFE/SPS,5,4000,1,87.5,87.5,16
WFE/SPS,5,4000,2,62.5,87.5,16
WFE/SPS,5,4000,3,81.25,93.75,16
WFE/SPS,5,4000,4,68.75,93.75,16
WFE/SPS,5,4000,5,87.5,93.75,16
WFE/SPS,6,800,1,75.0,56.25,16
WFE/SPS,6,800,2,68.75,68.75,16
WFE/SPS,6,800,3,50.0,81.25,16
WFE/SPS,6,800,4,62.5,87.5,16
WFE/SPS,6,800,5,68.75,75.0,16
WFE/SPS,6,1500,1,81.25,87.5,16
WFE/SPS,6,1500,2,75.0,93.75,16
WFE/SPS,6,1500,3,56.25,93.75,16
WFE/SPS,6,1500,4,56.25,93.75,16
WFE/SPS,6,1500,5,81.25,75.0,16
WFE/SPS,6,3000,1,68.75,81.25,16
WFE/SPS,6,3000,2,68.75,87.5,16
WFE/SPS,6,3000,3,81.25,81.25,16
WFE/SPS,6,3000,4,56.25,81.25,16
WFE/SPS,6,3000,5,81.25,68.75,16
WFE/SPS,6,4000,1,50.0,75.0,16
WFE/SPS,6,4000,2,62.5,93.75,16
WFE/SPS,6,4000,3,62.5,87.5,16
WFE/SPS,6,4000,4,50.0,81.25,16
WFE/SPS,6,4000,5,75.0,62.5,16
WFE/SPS,7,800,1,68.75,75.0,16
WFE/SPS,7,800,2,56.25,81.25,16
WFE/SPS,7,800,3,56.25,75.0,16
WFE/SPS,7,800,4,56.25,93.75,16
WFE/SPS,7,800,5,37.5,68.75,16
WFE/SPS,7,1500,1,87.5,87.5,16
WFE/SPS,7,1500,2,75.0,93.75,16
WFE/SPS,7,1500,3,87.5,75.0,16
WFE/SPS,7,1500,4,93.75,87.5,16
WFE/SPS,7,1500,5,87.5,87.5,16
WFE/SPS,7,3000,1,75.0,87.5,16
WFE/SPS,7,3000,2,87.5,87.5,16
WFE/SPS,7,3000,3,87.5,75.0,16
WFE/SPS,7,3000,4,87.5,100.0,16
WFE/SPS,7,3000,5,75.0,87.5,16
WFE/SPS,7,4000,1,68.75,81.25,16
WFE/SPS,7,4000,2,75.0,93.75,16
WFE/SPS,7,4000,3,75.0,75.0,16
WFE/SPS,7,4000,4,75.0,100.0,16
WFE/SPS,7,4000,5,81.25,93.75,16
WFE/SPS,8,800,1,50.0,43.75,16
WFE/SPS,8,800,2,50.0,56.25,16
WFE/SPS,8,800,3,50.0,62.5,16
WFE/SPS,8,800,4,37.5,68.75,16
WFE/SPS,8,800,5,31.25,62.5,16
WFE/SPS,8,1500,1,50.0,56.25,16
WFE/SPS,8,1500,2,56.25,62.5,16
WFE/SPS,8,1500,3,50.0,68.75,16
WFE/SPS,8,1500,4,31.25,56.25,16
WFE/SPS,8,1500,5,50.0,68.75,16
WFE/SPS,8,3000,1,50.0,43.75,16
WFE/SPS,8,3000,2,25.0,62.5,16
WFE/SPS,8,3000,3,25.0,68.75,16
WFE/SPS,8,3000,4,56.25,68.75,16
WFE/SPS,8,3000,5,50.0,56.25,16
WFE/SPS,8,4000,1,50.0,56.25,16
WFE/SPS,8,4000,2,50.0,50.0,16
WFE/SPS,8,4000,3,56.25,62.5,16
WFE/SPS,8,4000,4,31.25,87.5,16
WFE/SPS,8,4000,5,68.75,68.75,16
WFE/SPS,9,800,1,50.0,62.5,16
WFE/SPS,9,800,2,50.0,75.0,16
WFE/SPS,9,800,3,43.75,75.0,16
WFE/SPS,9,800,4,56.25,62.5,16
WFE/SPS,9,800,5,50.0,62.5,16
WFE/SPS,9,1500,1,43.75,75.0,16
WFE/SPS,9,1500,2,37.5,62.5,16
WFE/SPS,9,1500,3,56.25,81.25,16
WFE/SPS,9,1500,4,37.5,56.25,16
WFE/SPS,9,1500,5,50.0,62.5,16
WFE/SPS,9,3000,1,50.0,75.0,16
WFE/SPS,9,3000,2,56.25,81.25,16
WFE/SPS,9,3000,3,56.25,75.0,16
WFE/SPS,9,3000,4,62.5,56.25,16
WFE/SPS,9,3000,5,62.5,68.75,16
WFE/SPS,9,4000,1,43.75,81.25,16
WFE/SPS,9,4000,2,68.75,75.0,16
WFE/SPS,9,4000,3,56.25,75.0,16
WFE/SPS,9,4000,4,50.0,50.0,16
WFE/SPS,9,4000,5,62.5,81.25,16
WFE/SPS,10,800,1,75.0,81.25,16
WFE/SPS,10,800,2,75.0,93.75,16
WFE/SPS,10,800,3,75.0,81.25,16
WFE/SPS,10,800,4,68.75,93.75,16
WFE/SPS,10,800,5,62.5,93.75,16
WFE/SPS,10,1500,1,81.25,87.5,16
WFE/SPS,10,1500,2,75.0,93.75,16
WFE/SPS,10,1500,3,87.5,93.75,16
WFE/SPS,10,1500,4,81.25,93.75,16
WFE/SPS,10,1500,5,75.0,93.75,16
WFE/SPS,10,3000,1,87.5,93.75,16
WFE/SPS,10,3000,2,81.25,93.75,16
WFE/SPS,10,3000,3,75.0,93.75,16
WFE/SPS,10,3000,4,68.75,87.5,16
WFE/SPS,10,3000,5,93.75,93.75,16
WFE/SPS,10,4000,1,68.75,93.75,16
WFE/SPS,10,4000,2,75.0,93.75,16
WFE/SPS,10,4000,3,81.25,87.5,16
WFE/SPS,10,4000,4,81.25,93.75,16
WFE/SPS,10,4000,5,93.75,93.75,16
WFE/SPS,11,800,1,50.0,68.75,16
WFE/SPS,11,800,2,62.5,68.75,16
WFE/SPS,11,800,3,62.5,62.5,16
WFE/SPS,11,800,4,50.0,81.25,16
WFE/SPS,11,800,5,56.25,62.5,16
WFE/SPS,11,1500,1,68.75,75.0,16
WFE/SPS,11,1500,2,75.0,75.0,16
WFE/SPS,11,1500,3,50.0,68.75,16
WFE/SPS,11,1500,4,87.5,75.0,16
WFE/SPS,11,1500,5,81.25,68.75,16
WFE/SPS,11,3000,1,75.0,75.0,16
WFE/SPS,11,3000,2,81.25,75.0,16
WFE/SPS,11,3000,3,68.75,81.25,16
WFE/SPS,11,3000,4,56.25,93.75,16
WFE/SPS,11,3000,5,68.75,62.5,16
WFE/SPS,11,4000,1,75.0,81.25,16
WFE/SPS,11,4000,2,81.25,68.75,16
WFE/SPS,11,4000,3,62.5,87.5,16
WFE/SPS,11,4000,4,68.75,81.25,16
WFE/SPS,11,4000,5,62.5,62.5,16
WFE/SPS,12,800,1,56.25,93.75,16
WFE/SPS,12,800,2,81.25,75.0,16
WFE/SPS,12,800,3,75.0,75.0,16
WFE/SPS,12,800,4,68.75,81.25,16
WFE/SPS,12,800,5,68.75,81.25,16
WFE/SPS,12,1500,1,68.75,87.5,16
WFE/SPS,12,1500,2,87.5,87.5,16
WFE/SPS,12,1500,3,68.75,81.25,16
WFE/SPS,12,1500,4,62.5,81.25,16
WFE/SPS,12,1500,5,62.5,87.5,16
WFE/SPS,12,3000,1,68.75,87.5,16
WFE/SPS,12,3000,2,62.5,93.75,16
WFE/SPS,12,3000,3,87.5,81.25,16
WFE/SPS,12,3000,4,68.75,93.75,16
WFE/SPS,12,3000,5,62.5,93.75,16
WFE/SPS,12,4000,1,68.75,81.25,16
WFE/SPS,12,4000,2,93.75,93.75,16
WFE/SPS,12,4000,3,68.75,87.5,16
WFE/SPS,12,4000,4,75.0,81.25,16
WFE/SPS,12,4000,5,81.25,100.0,16
WFE/SPS,13,800,1,56.25,93.75,16
WFE/SPS,13,800,2,43.75,100.0,16
WFE/SPS,13,800,3,56.25,87.5,16
WFE/SPS,13,800,4,50.0,81.25,16
WFE/SPS,13,800,5,75.0,75.0,16
WFE/SPS,13,1500,1,62.5,75.0,16
WFE/SPS,13,1500,2,62.5,68.75,16
WFE/SPS,13,1500,3,50.0,75.0,16
WFE/SPS,13,1500,4,68.75,62.5,16
WFE/SPS,13,1500,5,56.25,68.75,16
