contrast,pair,window,mean_x,mean_y,diff_pp,sd_diff,t,p_ttest,p_wilcoxon,cohen_dz,n_x_better,n_y_better,n_ties
conformer_a - fine (0.5-3Hz),WAA_SAA,800,63.47,65.79,-2.32,9.40,-1.05,0.3092,0.3193,-0.25,7,10,1
conformer_b - fine (0.5-3Hz),WAA_SAA,800,65.61,65.79,-0.19,6.77,-0.12,0.9089,0.9826,-0.03,11,7,0
conformer_a - conformer_b (0.5-3Hz),WAA_SAA,800,63.47,65.61,-2.14,7.46,-1.22,0.2408,0.1354,-0.29,4,13,1
conformer_a: 0.5-3Hz - 8-30Hz,WAA_SAA,800,63.47,57.45,6.03,10.85,2.36,0.0308,0.0311,0.56,12,5,1
conformer_b: 0.5-3Hz - 8-30Hz,WAA_SAA,800,65.61,58.16,7.45,11.18,2.83,0.0116,0.0175,0.67,13,5,0
conformer_a - fine (0.5-3Hz),WAA_SAA,1500,72.65,71.23,1.41,4.50,1.33,0.2008,0.2198,0.31,8,6,4
conformer_b - fine (0.5-3Hz),WAA_SAA,1500,70.73,71.23,-0.50,5.30,-0.40,0.6929,0.7038,-0.09,9,8,1
conformer_a - conformer_b (0.5-3Hz),WAA_SAA,1500,72.65,70.73,1.91,5.10,1.59,0.1295,0.1108,0.38,13,5,0
conformer_a: 0.5-3Hz - 8-30Hz,WAA_SAA,1500,72.65,54.71,17.94,9.89,7.69,0.0000,0.0003,1.81,17,0,1
conformer_b: 0.5-3Hz - 8-30Hz,WAA_SAA,1500,70.73,58.74,11.99,14.27,3.57,0.0024,0.0057,0.84,14,4,0
conformer_a - fine (0.5-3Hz),WAA_SAA,3000,73.60,68.78,4.81,7.08,2.89,0.0103,0.0084,0.68,14,3,1
conformer_b - fine (0.5-3Hz),WAA_SAA,3000,69.44,68.78,0.66,5.09,0.55,0.5916,0.5883,0.13,8,7,3
conformer_a - conformer_b (0.5-3Hz),WAA_SAA,3000,73.60,69.44,4.16,5.38,3.28,0.0044,0.0060,0.77,14,4,0
conformer_a: 0.5-3Hz - 8-30Hz,WAA_SAA,3000,73.60,56.37,17.23,11.39,6.42,0.0000,0.0004,1.51,16,1,1
conformer_b: 0.5-3Hz - 8-30Hz,WAA_SAA,3000,69.44,57.78,11.66,13.49,3.67,0.0019,0.0037,0.86,14,4,0
conformer_a - fine (0.5-3Hz),WAA_SAA,4000,73.15,69.12,4.03,5.40,3.17,0.0057,0.0084,0.75,12,5,1
conformer_b - fine (0.5-3Hz),WAA_SAA,4000,70.14,69.12,1.02,5.47,0.79,0.4402,0.5312,0.19,7,8,3
conformer_a - conformer_b (0.5-3Hz),WAA_SAA,4000,73.15,70.14,3.01,6.49,1.97,0.0657,0.0878,0.46,10,7,1
conformer_a: 0.5-3Hz - 8-30Hz,WAA_SAA,4000,73.15,55.37,17.78,11.38,6.63,0.0000,0.0003,1.56,17,1,0
conformer_b: 0.5-3Hz - 8-30Hz,WAA_SAA,4000,70.14,62.06,8.08,12.11,2.83,0.0115,0.0146,0.67,14,4,0
conformer_a - fine (0.5-3Hz),WAA_SAA,avg,70.72,68.73,1.98,4.12,2.04,0.0570,0.0892,0.48,12,6,0
conformer_b - fine (0.5-3Hz),WAA_SAA,avg,68.98,68.73,0.25,3.32,0.32,0.7565,0.5707,0.07,11,7,0
conformer_a - conformer_b (0.5-3Hz),WAA_SAA,avg,70.72,68.98,1.74,4.20,1.75,0.0974,0.2567,0.41,12,6,0
conformer_a: 0.5-3Hz - 8-30Hz,WAA_SAA,avg,70.72,55.97,14.74,8.43,7.42,0.0000,0.0002,1.75,17,1,0
conformer_b: 0.5-3Hz - 8-30Hz,WAA_SAA,avg,68.98,59.19,9.79,10.56,3.94,0.0011,0.0035,0.93,13,5,0
conformer_a - fine (0.5-3Hz),HOC_WFE,800,60.81,61.25,-0.44,6.41,-0.29,0.7745,0.8868,-0.07,7,10,1
conformer_b - fine (0.5-3Hz),HOC_WFE,800,63.22,61.25,1.97,5.09,1.64,0.1191,0.1521,0.39,9,8,1
conformer_a - conformer_b (0.5-3Hz),HOC_WFE,800,60.81,63.22,-2.41,4.95,-2.06,0.0546,0.0608,-0.49,6,11,1
conformer_a: 0.5-3Hz - 8-30Hz,HOC_WFE,800,60.81,51.52,9.29,12.21,3.23,0.0049,0.0069,0.76,13,4,1
conformer_b: 0.5-3Hz - 8-30Hz,HOC_WFE,800,63.22,55.66,7.56,9.51,3.37,0.0036,0.0026,0.80,15,2,1
conformer_a - fine (0.5-3Hz),HOC_WFE,1500,61.00,60.04,0.96,5.69,0.71,0.4855,0.4309,0.17,8,6,4
conformer_b - fine (0.5-3Hz),HOC_WFE,1500,63.50,60.04,3.46,5.62,2.61,0.0183,0.0242,0.62,13,3,2
conformer_a - conformer_b (0.5-3Hz),HOC_WFE,1500,61.00,63.50,-2.50,4.96,-2.14,0.0474,0.0214,-0.50,3,11,4
conformer_a: 0.5-3Hz - 8-30Hz,HOC_WFE,1500,61.00,51.23,9.76,8.08,5.13,0.0001,0.0003,1.21,16,1,1
conformer_b: 0.5-3Hz - 8-30Hz,HOC_WFE,1500,63.50,52.39,11.10,9.71,4.85,0.0001,0.0004,1.14,17,1,0
conformer_a - fine (0.5-3Hz),HOC_WFE,3000,62.12,58.75,3.37,7.47,1.92,0.0724,0.0795,0.45,11,6,1
conformer_b - fine (0.5-3Hz),HOC_WFE,3000,57.46,58.75,-1.29,7.45,-0.73,0.4730,0.5129,-0.17,7,11,0
conformer_a - conformer_b (0.5-3Hz),HOC_WFE,3000,62.12,57.46,4.66,5.80,3.41,0.0034,0.0056,0.80,13,5,0
conformer_a: 0.5-3Hz - 8-30Hz,HOC_WFE,3000,62.12,53.29,8.83,11.96,3.13,0.0061,0.0108,0.74,14,4,0
conformer_b: 0.5-3Hz - 8-30Hz,HOC_WFE,3000,57.46,51.73,5.73,11.11,2.19,0.0428,0.0524,0.52,12,6,0
conformer_a - fine (0.5-3Hz),HOC_WFE,4000,62.43,58.60,3.83,5.19,3.14,0.0060,0.0082,0.74,14,4,0
conformer_b - fine (0.5-3Hz),HOC_WFE,4000,59.84,58.60,1.24,4.39,1.20,0.2465,0.0896,0.28,10,6,2
conformer_a - conformer_b (0.5-3Hz),HOC_WFE,4000,62.43,59.84,2.59,4.01,2.74,0.0139,0.0141,0.65,13,2,3
conformer_a: 0.5-3Hz - 8-30Hz,HOC_WFE,4000,62.43,52.48,9.95,12.34,3.42,0.0032,0.0049,0.81,14,4,0
conformer_b: 0.5-3Hz - 8-30Hz,HOC_WFE,4000,59.84,53.33,6.51,11.64,2.37,0.0296,0.0427,0.56,14,4,0
conformer_a - fine (0.5-3Hz),HOC_WFE,avg,61.59,59.66,1.93,3.50,2.34,0.0316,0.0262,0.55,14,4,0
