pair,model,subject,window_ms,accuracy,n_test
HOC/WFE,fine,1,800,50.0,18
HOC/WFE,conformer_a,1,800,38.88888888888889,18
HOC/WFE,conformer_b,1,800,44.44444444444444,18
HOC/WAA,fine,1,800,50.0,18
HOC/WAA,conformer_a,1,800,61.11111111111112,18
HOC/WAA,conformer_b,1,800,38.88888888888889,18
HOC/EPS,fine,1,800,33.33333333333333,18
HOC/EPS,conformer_a,1,800,44.44444444444444,18
HOC/EPS,conformer_b,1,800,66.66666666666666,18
HOC/EFE,fine,1,800,50.0,18
HOC/EFE,conformer_a,1,800,72.22222222222221,18
HOC/EFE,conformer_b,1,800,72.22222222222221,18
HOC/SPS,fine,1,800,50.0,18
HOC/SPS,conformer_a,1,800,77.77777777777779,18
HOC/SPS,conformer_b,1,800,66.66666666666666,18
HOC/SAA,fine,1,800,50.0,18
HOC/SAA,conformer_a,1,800,50.0,18
HOC/SAA,conformer_b,1,800,44.44444444444444,18
HOC/SFE,fine,1,800,55.55555555555556,18
HOC/SFE,conformer_a,1,800,55.55555555555556,18
HOC/SFE,conformer_b,1,800,38.88888888888889,18
WFE/WAA,fine,1,800,55.55555555555556,18
WFE/WAA,conformer_a,1,800,61.11111111111112,18
WFE/WAA,conformer_b,1,800,72.22222222222221,18
WFE/EPS,fine,1,800,44.44444444444444,18
WFE/EPS,conformer_a,1,800,50.0,18
WFE/EPS,conformer_b,1,800,44.44444444444444,18
WFE/EFE,fine,1,800,77.77777777777779,18
WFE/EFE,conformer_a,1,800,38.88888888888889,18
WFE/EFE,conformer_b,1,800,50.0,18
WFE/SPS,fine,1,800,66.66666666666666,18
WFE/SPS,conformer_a,1,800,44.44444444444444,18
WFE/SPS,conformer_b,1,800,72.22222222222221,18
WFE/SAA,fine,1,800,44.44444444444444,18
WFE/SAA,conformer_a,1,800,50.0,18
WFE/SAA,conformer_b,1,800,55.55555555555556,18
WFE/SFE,fine,1,800,44.44444444444444,18
WFE/SFE,conformer_a,1,800,61.11111111111112,18
WFE/SFE,conformer_b,1,800,50.0,18
WAA/EPS,fine,1,800,50.0,18
WAA/EPS,conformer_a,1,800,50.0,18
WAA/EPS,conformer_b,1,800,50.0,18
WAA/EFE,fine,1,800,66.66666666666666,18
WAA/EFE,conformer_a,1,800,44.44444444444444,18
WAA/EFE,conformer_b,1,800,55.55555555555556,18
WAA/SPS,fine,1,800,55.55555555555556,18
WAA/SPS,conformer_a,1,800,38.88888888888889,18
WAA/SPS,conformer_b,1,800,50.0,18
WAA/SAA,fine,1,800,55.55555555555556,18
WAA/SAA,conformer_a,1,800,22.22222222222222,18
WAA/SAA,conformer_b,1,800,33.33333333333333,18
WAA/SFE,fine,1,800,66.66666666666666,18
WAA/SFE,conformer_a,1,800,55.55555555555556,18
WAA/SFE,conformer_b,1,800,50.0,18
EPS/EFE,fine,1,800,50.0,18
EPS/EFE,conformer_a,1,800,50.0,18
EPS/EFE,conformer_b,1,800,55.55555555555556,18
EPS/SPS,fine,1,800,38.88888888888889,18
EPS/SPS,conformer_a,1,800,50.0,18
EPS/SPS,conformer_b,1,800,44.44444444444444,18
EPS/SAA,fine,1,800,50.0,18
EPS/SAA,conformer_a,1,800,66.66666666666666,18
EPS/SAA,conformer_b,1,800,55.55555555555556,18
EPS/SFE,fine,1,800,66.66666666666666,18
EPS/SFE,conformer_a,1,800,66.66666666666666,18
EPS/SFE,conformer_b,1,800,77.77777777777779,18
EFE/SPS,fine,1,800,61.11111111111112,18
EFE/SPS,conformer_a,1,800,66.66666666666666,18
EFE/SPS,conformer_b,1,800,50.0,18
EFE/SAA,fine,1,800,72.22222222222221,18
EFE/SAA,conformer_a,1,800,61.11111111111112,18
EFE/SAA,conformer_b,1,800,50.0,18
EFE/SFE,fine,1,800,50.0,18
EFE/SFE,conformer_a,1,800,61.11111111111112,18
EFE/SFE,conformer_b,1,800,44.44444444444444,18
SPS/SAA,fine,1,800,50.0,18
SPS/SAA,conformer_a,1,800,44.44444444444444,18
SPS/SAA,conformer_b,1,800,50.0,18
SPS/SFE,fine,1,800,61.11111111111112,18
SPS/SFE,conformer_a,1,800,61.11111111111112,18
SPS/SFE,conformer_b,1,800,50.0,18
SAA/SFE,fine,1,800,33.33333333333333,18
SAA/SFE,conformer_a,1,800,55.55555555555556,18
SAA/SFE,conformer_b,1,800,72.22222222222221,18
