pair,model,window,mean_acc,sd_acc,n_subjects
WAA_SAA,fine,800,55.55555555555556,,1
WAA_SAA,fine,avg,55.55555555555556,,1
WAA_SAA,conformer_a,800,22.22222222222222,,1
WAA_SAA,conformer_a,avg,22.22222222222222,,1
WAA_SAA,conformer_b,800,33.33333333333333,,1
WAA_SAA,conformer_b,avg,33.33333333333333,,1
HOC_WFE,fine,800,50.0,,1
HOC_WFE,fine,avg,50.0,,1
HOC_WFE,conformer_a,800,38.88888888888889,,1
HOC_WFE,conformer_a,avg,38.88888888888889,,1
HOC_WFE,conformer_b,800,44.44444444444444,,1
HOC_WFE,conformer_b,avg,44.44444444444444,,1
EPS_SPS,fine,800,38.88888888888889,,1
EPS_SPS,fine,avg,38.88888888888889,,1
EPS_SPS,conformer_a,800,50.0,,1
EPS_SPS,conformer_a,avg,50.0,,1
EPS_SPS,conformer_b,800,44.44444444444444,,1
EPS_SPS,conformer_b,avg,44.44444444444444,,1
