pair,model,subject,window_ms,accuracy,n_test
HOC/WFE,conformer_a,1,800,52.22222222222223,90
HOC/WFE,conformer_a,1,1500,57.77777777777777,90
HOC/WFE,conformer_a,1,3000,53.333333333333336,90
HOC/WFE,conformer_a,1,4000,41.11111111111111,90
HOC/WFE,conformer_a,2,800,57.49999999999999,80
HOC/WFE,conformer_a,2,1500,46.25,80
HOC/WFE,conformer_a,2,3000,62.5,80
HOC/WFE,conformer_a,2,4000,71.25,80
HOC/WFE,conformer_a,3,800,75.0,80
HOC/WFE,conformer_a,3,1500,72.5,80
HOC/WFE,conformer_a,3,3000,70.0,80
HOC/WFE,conformer_a,3,4000,62.5,80
HOC/WFE,conformer_a,4,800,70.0,80
HOC/WFE,conformer_a,4,1500,63.74999999999999,80
HOC/WFE,conformer_a,4,3000,68.75,80
HOC/WFE,conformer_a,4,4000,72.5,80
HOC/WFE,conformer_a,5,800,56.25,80
HOC/WFE,conformer_a,5,1500,58.75,80
HOC/WFE,conformer_a,5,3000,73.75,80
HOC/WFE,conformer_a,5,4000,66.25,80
HOC/WFE,conformer_a,6,800,56.25,80
HOC/WFE,conformer_a,6,1500,71.25,80
HOC/WFE,conformer_a,6,3000,61.25000000000001,80
HOC/WFE,conformer_a,6,4000,60.0,80
HOC/WFE,conformer_a,7,800,57.49999999999999,80
HOC/WFE,conformer_a,7,1500,55.00000000000001,80
HOC/WFE,conformer_a,7,3000,47.5,80
HOC/WFE,conformer_a,7,4000,58.75,80
HOC/WFE,conformer_a,8,800,50.0,80
HOC/WFE,conformer_a,8,1500,52.5,80
HOC/WFE,conformer_a,8,3000,47.5,80
HOC/WFE,conformer_a,8,4000,57.49999999999999,80
HOC/WFE,conformer_a,9,800,58.75,80
HOC/WFE,conformer_a,9,1500,47.5,80
HOC/WFE,conformer_a,9,3000,53.75,80
HOC/WFE,conformer_a,9,4000,50.0,80
HOC/WFE,conformer_a,10,800,65.0,80
HOC/WFE,conformer_a,10,1500,51.24999999999999,80
HOC/WFE,conformer_a,10,3000,50.0,80
HOC/WFE,conformer_a,10,4000,50.0,80
HOC/WFE,conformer_a,11,800,60.0,80
HOC/WFE,conformer_a,11,1500,58.75,80
HOC/WFE,conformer_a,11,3000,47.5,80
HOC/WFE,conformer_a,11,4000,56.25,80
HOC/WFE,conformer_a,12,800,61.25000000000001,80
HOC/WFE,conformer_a,12,1500,72.5,80
HOC/WFE,conformer_a,12,3000,63.74999999999999,80
HOC/WFE,conformer_a,12,4000,66.25,80
HOC/WFE,conformer_a,13,800,52.5,80
HOC/WFE,conformer_a,13,1500,66.25,80
HOC/WFE,conformer_a,13,3000,72.5,80
HOC/WFE,conformer_a,13,4000,66.25,80
HOC/WFE,conformer_a,14,800,60.0,80
HOC/WFE,conformer_a,14,1500,52.5,80
HOC/WFE,conformer_a,14,3000,51.24999999999999,80
HOC/WFE,conformer_a,14,4000,55.00000000000001,80
HOC/WFE,conformer_a,15,800,82.5,80
HOC/WFE,conformer_a,15,1500,83.75,80
HOC/WFE,conformer_a,15,3000,86.25,80
HOC/WFE,conformer_a,15,4000,90.0,80
HOC/WFE,conformer_a,16,800,63.74999999999999,80
HOC/WFE,conformer_a,16,1500,61.25000000000001,80
