pair,model,800,1500,3000,4000,avg
HOC_WFE,conformer_a,9.4818,9.9038,11.637,12.3539,9.4192
HOC_WFE,conformer_b,8.3411,8.0506,9.5852,9.9376,8.2333
HOC_WFE,conformer_b_cwt,9.6366,6.6038,6.0267,5.179,4.9555
HOC_WAA,conformer_a,7.2285,6.1804,5.7757,8.4047,5.4187
HOC_WAA,conformer_b,9.5171,6.8571,7.7329,7.015,6.5112
HOC_WAA,conformer_b_cwt,10.3462,10.1261,10.6662,9.2882,7.4756
HOC_EPS,conformer_a,8.4897,10.6499,9.0314,7.8012,7.714
HOC_EPS,conformer_b,11.2133,8.3946,7.768,7.7957,7.7575
HOC_EPS,conformer_b_cwt,9.7976,8.7662,7.8397,6.0935,6.9192
HOC_EFE,conformer_a,9.2797,10.9772,9.051,9.5041,8.3702
HOC_EFE,conformer_b,8.5494,8.6305,9.836,9.6336,7.3147
HOC_EFE,conformer_b_cwt,11.1988,10.4397,8.7419,7.6589,7.8305
HOC_SPS,conformer_a,10.6231,10.887,8.0058,12.0342,9.6128
HOC_SPS,conformer_b,12.2961,12.4425,9.9914,8.5309,9.4069
HOC_SPS,conformer_b_cwt,9.5016,7.9227,10.5443,10.6234,7.4808
HOC_SAA,conformer_a,10.4591,9.8116,9.4534,10.3557,9.1052
HOC_SAA,conformer_b,10.7101,8.7388,8.0109,9.2975,7.8854
HOC_SAA,conformer_b_cwt,10.1959,9.9892,10.3959,11.0737,8.5708
HOC_SFE,conformer_a,9.4638,11.755,11.4836,11.0679,10.1212
HOC_SFE,conformer_b,9.6803,10.917,10.7327,10.4982,9.4764
HOC_SFE,conformer_b_cwt,8.9429,8.4298,9.1947,11.0185,7.7443
WFE_WAA,conformer_a,8.5445,10.7937,9.6369,8.9254,8.3815
WFE_WAA,conformer_b,8.6896,8.5383,8.7396,6.59,5.8532
WFE_WAA,conformer_b_cwt,6.677,7.1338,7.6467,10.684,5.505
WFE_EPS,conformer_a,7.8337,7.2962,6.702,6.8723,5.6907
WFE_EPS,conformer_b,11.7157,9.9104,8.6589,6.4427,8.2184
WFE_EPS,conformer_b_cwt,8.4769,9.0403,8.8019,5.6266,6.2902
WFE_EFE,conformer_a,9.0293,9.537,9.9347,11.4881,9.099
WFE_EFE,conformer_b,8.5178,9.6274,10.9655,9.7237,8.7423
WFE_EFE,conformer_b_cwt,7.5771,9.833,8.8662,7.7442,7.0403
WFE_SPS,conformer_a,12.704,11.711,12.2031,12.6696,11.5253
WFE_SPS,conformer_b,11.9496,12.9179,12.3427,13.1212,11.8559
WFE_SPS,conformer_b_cwt,10.3904,11.0629,11.042,9.6454,9.0738
WFE_SAA,conformer_a,10.1347,10.2394,10.804,13.2994,10.0421
WFE_SAA,conformer_b,10.2453,11.0635,13.7964,11.1906,10.3995
WFE_SAA,conformer_b_cwt,8.1497,10.2203,12.8928,11.2455,8.9506
WFE_SFE,conformer_a,8.0699,11.8467,9.6898,8.7805,8.742
WFE_SFE,conformer_b,8.0995,10.4769,11.4067,10.9955,8.9837
WFE_SFE,conformer_b_cwt,5.9188,6.5789,11.1419,12.7305,7.1671
WAA_EPS,conformer_a,10.1366,9.1811,10.2475,8.1075,7.7552
WAA_EPS,conformer_b,10.5962,8.8009,6.3451,7.9347,7.0209
WAA_EPS,conformer_b_cwt,5.6949,6.0238,7.8619,8.3529,4.4804
WAA_EFE,conformer_a,8.2689,6.7231,8.6028,8.7267,6.7939
WAA_EFE,conformer_b,7.8817,7.4806,10.1925,11.5066,7.8465
WAA_EFE,conformer_b_cwt,10.0796,8.7017,6.823,10.2694,6.5432
WAA_SPS,conformer_a,13.7703,9.9135,9.6227,9.303,9.5871
WAA_SPS,conformer_b,13.3847,10.8087,9.9906,9.7769,10.0874
WAA_SPS,conformer_b_cwt,9.3529,10.6919,6.2562,8.2811,6.537
WAA_SAA,conformer_a,10.3695,13.307,12.466,11.017,10.5601
WAA_SAA,conformer_b,8.9699,12.3603,12.6078,12.6507,10.4679
WAA_SAA,conformer_b_cwt,10.3828,11.3802,7.6232,8.3965,6.8321
WAA_SFE,conformer_a,9.1987,10.4202,10.3872,11.8924,9.483
WAA_SFE,conformer_b,9.4939,11.1943,10.4539,11.4411,9.9702
WAA_SFE,conformer_b_cwt,7.4529,9.2433,10.911,10.1674,7.9475
EPS_EFE,conformer_a,10.5196,9.3616,10.0999,9.3968,8.5685
EPS_EFE,conformer_b,9.2139,9.3183,5.6159,8.7828,6.5601
EPS_EFE,conformer_b_cwt,8.7911,8.7865,5.6492,6.7466,5.7793
EPS_SPS,conformer_a,11.5336,11.5366,10.2693,11.358,10.3235
EPS_SPS,conformer_b,11.9068,11.6964,9.5885,9.5248,9.8446
EPS_SPS,conformer_b_cwt,11.6623,11.671,8.7877,8.8103,8.2371
EPS_SAA,conformer_a,11.9454,11.1684,12.9852,13.5432,11.8198
EPS_SAA,conformer_b,13.0618,13.9429,12.6492,13.9211,12.5787
EPS_SAA,conformer_b_cwt,10.5719,12.509,9.6977,9.8564,8.8377
EPS_SFE,conformer_a,10.9778,11.2991,11.0094,8.9411,8.9498
EPS_SFE,conformer_b,9.2542,12.0501,11.7744,11.3877,9.6977
EPS_SFE,conformer_b_cwt,10.3778,9.6936,7.1832,11.1967,8.0083
EFE_SPS,conformer_a,13.361,12.3599,11.8042,15.0306,12.2159
EFE_SPS,conformer_b,12.623,11.8742,12.1241,11.4508,11.0484
EFE_SPS,conformer_b_cwt,12.0033,11.7881,8.463,8.4135,8.9876
EFE_SAA,conformer_a,13.8786,13.9029,16.2311,14.2473,13.5873
EFE_SAA,conformer_b,13.1154,13.4952,12.1938,12.9078,12.1864
EFE_SAA,conformer_b_cwt,10.4702,10.2686,10.3454,12.6929,9.0773
EFE_SFE,conformer_a,12.52,11.7149,12.667,10.6901,10.9359
EFE_SFE,conformer_b,12.7878,11.7097,12.1204,10.9279,10.7783
EFE_SFE,conformer_b_cwt,9.6876,9.1258,11.6518,10.4079,9.0557
SPS_SAA,conformer_a,15.2024,14.1124,14.5527,13.6168,13.3211
SPS_SAA,conformer_b,15.2753,13.8444,12.428,14.286,12.4559
SPS_SAA,conformer_b_cwt,11.6772,12.3183,9.859,8.341,8.0401
SPS_SFE,conformer_a,11.4245,13.6181,12.3386,14.1794,11.9073
SPS_SFE,conformer_b,11.9867,12.6523,10.6257,12.563,10.9141
SPS_SFE,conformer_b_cwt,10.2927,10.8735,9.6362,9.6868,8.1752
