scope,pair,contrast,window,n_subjects,mean_x,mean_y,diff,sd_diff,t,p_ttest,p_wilcoxon,cohen_dz,n_x_better,n_y_better,n_ties,p_holm
pair,HOC_WFE,A - B,800,18,60.95679,61.820988,-0.864198,5.083399,-0.721265,0.480549,0.553589,-0.170004,8,9,1,1.0
pair,HOC_WFE,A - B,1500,18,60.779321,62.731481,-1.95216,6.668959,-1.24192,0.231127,0.087617,-0.292723,4,12,2,1.0
pair,HOC_WFE,A - B,3000,18,61.50463,57.152778,4.351852,7.051141,2.61849,0.017979,0.032982,0.617184,14,3,1,1.0
pair,HOC_WFE,A - B,4000,18,61.17284,58.973765,2.199074,9.214232,1.012551,0.32547,0.420705,0.238661,9,8,1,1.0
pair,HOC_WFE,A - B,avg,18,61.103395,60.169753,0.933642,4.119403,0.961573,0.349743,0.462856,0.226645,9,8,1,1.0
pair,HOC_WFE,B+CWT - B,800,18,58.225309,61.820988,-3.595679,8.424729,-1.810761,0.087887,0.118706,-0.426801,4,14,0,1.0
pair,HOC_WFE,B+CWT - B,1500,18,58.912037,62.731481,-3.819444,7.141843,-2.268956,0.03658,0.044239,-0.534798,4,10,4,1.0
pair,HOC_WFE,B+CWT - B,3000,18,58.479938,57.152778,1.32716,8.170276,0.689165,0.500019,0.507085,0.162438,10,7,1,1.0
pair,HOC_WFE,B+CWT - B,4000,18,56.018519,58.973765,-2.955247,10.397183,-1.205908,0.244369,0.303795,-0.284235,7,11,0,1.0
pair,HOC_WFE,B+CWT - B,avg,18,57.908951,60.169753,-2.260802,6.678123,-1.436298,0.169065,0.265746,-0.338539,6,11,1,1.0
pair,HOC_WFE,B+CWT - A,800,18,58.225309,60.95679,-2.731481,8.740333,-1.325887,0.202418,0.195959,-0.312515,7,9,2,1.0
pair,HOC_WFE,B+CWT - A,1500,18,58.912037,60.779321,-1.867284,8.873202,-0.892825,0.384416,0.522665,-0.210441,9,8,1,1.0
pair,HOC_WFE,B+CWT - A,3000,18,58.479938,61.50463,-3.024691,11.181817,-1.147638,0.267013,0.255132,-0.270501,7,9,2,1.0
pair,HOC_WFE,B+CWT - A,4000,18,56.018519,61.17284,-5.154321,12.365277,-1.768495,0.094917,0.118706,-0.416838,6,12,0,1.0
pair,HOC_WFE,B+CWT - A,avg,18,57.908951,61.103395,-3.194444,7.547761,-1.795616,0.090352,0.118706,-0.423231,6,12,0,1.0
pair,HOC_WAA,A - B,800,18,61.458333,61.983025,-0.524691,5.238622,-0.424936,0.676213,0.776161,-0.100158,8,7,3,1.0
pair,HOC_WAA,A - B,1500,18,61.921296,64.459877,-2.53858,5.175261,-2.081109,0.052855,0.03849,-0.490522,7,11,0,1.0
pair,HOC_WAA,A - B,3000,18,65.648148,67.021605,-1.373457,6.707035,-0.868802,0.397056,0.44231,-0.204779,5,10,3,1.0
pair,HOC_WAA,A - B,4000,18,66.859568,66.334877,0.524691,5.921286,0.375945,0.711608,0.529142,0.088611,9,5,4,1.0
pair,HOC_WAA,A - B,avg,18,63.971836,64.949846,-0.978009,3.684951,-1.126024,0.275801,0.579842,-0.265406,9,9,0,1.0
pair,HOC_WAA,B+CWT - B,800,18,57.993827,61.983025,-3.989198,8.210396,-2.061378,0.054902,0.026848,-0.485872,5,13,0,1.0
pair,HOC_WAA,B+CWT - B,1500,18,58.101852,64.459877,-6.358025,9.828268,-2.744615,0.013823,0.01387,-0.646912,4,14,0,1.0
pair,HOC_WAA,B+CWT - B,3000,18,61.790123,67.021605,-5.231481,9.198055,-2.413042,0.027394,0.039336,-0.56876,5,12,1,1.0
pair,HOC_WAA,B+CWT - B,4000,18,62.384259,66.334877,-3.950617,10.241636,-1.63656,0.1201,0.155334,-0.385741,6,11,1,1.0
pair,HOC_WAA,B+CWT - B,avg,18,60.067515,64.949846,-4.88233,7.196972,-2.878151,0.010434,0.010406,-0.678387,5,13,0,1.0
pair,HOC_WAA,B+CWT - A,800,18,57.993827,61.458333,-3.464506,9.614538,-1.528795,0.144709,0.129738,-0.36034,5,13,0,1.0
pair,HOC_WAA,B+CWT - A,1500,18,58.101852,61.921296,-3.819444,9.397984,-1.724256,0.102796,0.092768,-0.406411,6,11,1,1.0
pair,HOC_WAA,B+CWT - A,3000,18,61.790123,65.648148,-3.858025,10.998258,-1.488255,0.154999,0.148678,-0.350785,5,12,1,1.0
pair,HOC_WAA,B+CWT - A,4000,18,62.384259,66.859568,-4.475309,9.285787,-2.044751,0.056683,0.066536,-0.481953,7,11,0,1.0
pair,HOC_WAA,B+CWT - A,avg,18,60.067515,63.971836,-3.904321,6.157382,-2.690207,0.015488,0.034233,-0.634088,7,11,0,1.0
pair,HOC_EPS,A - B,800,18,60.717593,62.24537,-1.527778,6.280156,-1.03211,0.316481,0.28649,-0.243271,8,9,1,1.0
pair,HOC_EPS,A - B,1500,18,63.209877,62.885802,0.324074,6.256623,0.219756,0.828678,0.776297,0.051797,10,7,1,1.0
pair,HOC_EPS,A - B,3000,18,63.773148,63.070988,0.70216,6.791865,0.438615,0.666464,0.798706,0.103383,9,9,0,1.0
pair,HOC_EPS,A - B,4000,18,62.955247,62.060185,0.895062,7.397205,0.513359,0.614307,0.938072,0.121,7,9,2,1.0
pair,HOC_EPS,A - B,avg,18,62.663966,62.565586,0.09838,3.026316,0.13792,0.891924,1.0,0.032508,9,9,0,1.0
pair,HOC_EPS,B+CWT - B,800,18,59.699074,62.24537,-2.546296,9.267371,-1.165705,0.259829,0.417114,-0.274759,6,12,0,1.0
pair,HOC_EPS,B+CWT - B,1500,18,58.873457,62.885802,-4.012346,6.643118,-2.562493,0.020184,0.021281,-0.603985,4,12,2,1.0
pair,HOC_EPS,B+CWT - B,3000,18,57.24537,63.070988,-5.825617,7.626546,-3.240786,0.004806,0.008001,-0.763861,3,14,1,1.0
pair,HOC_EPS,B+CWT - B,4000,18,55.941358,62.060185,-6.118827,6.244546,-4.157225,0.00066,0.003065,-0.979867,2,15,1,0.223024
pair,HOC_EPS,B+CWT - B,avg,18,57.939815,62.565586,-4.625772,5.14604,-3.813706,0.001389,0.002335,-0.898899,4,14,0,0.438892
pair,HOC_EPS,B+CWT - A,800,18,59.699074,60.717593,-1.018519,8.163993,-0.529301,0.603441,0.865044,-0.124757,10,8,0,1.0
pair,HOC_EPS,B+CWT - A,1500,18,58.873457,63.209877,-4.33642,9.787428,-1.879745,0.077394,0.034233,-0.44306,4,14,0,1.0
pair,HOC_EPS,B+CWT - A,3000,18,57.24537,63.773148,-6.527778,8.570164,-3.231562,0.004903,0.008001,-0.761686,4,13,1,1.0
pair,HOC_EPS,B+CWT - A,4000,18,55.941358,62.955247,-7.013889,6.560506,-4.535841,0.000292,0.001336,-1.069108,2,14,2,0.104119
pair,HOC_EPS,B+CWT - A,avg,18,57.939815,62.663966,-4.724151,5.745014,-3.488743,0.002812,0.007473,-0.822305,2,15,1,0.821056
pair,HOC_EFE,A - B,800,18,61.959877,64.313272,-2.353395,9.540014,-1.046603,0.309936,0.392738,-0.246687,9,9,0,1.0
pair,HOC_EFE,A - B,1500,18,63.487654,67.800926,-4.313272,6.78752,-2.696075,0.0153,0.016761,-0.635471,5,12,1,1.0
pair,HOC_EFE,A - B,3000,18,66.882716,66.674383,0.208333,4.759858,0.185695,0.854881,0.670525,0.043769,9,9,0,1.0
pair,HOC_EFE,A - B,4000,18,66.226852,68.117284,-1.890432,7.744463,-1.035633,0.314881,0.258251,-0.244101,5,9,4,1.0
pair,HOC_EFE,A - B,avg,18,64.639275,66.726466,-2.087191,3.601867,-2.458504,0.024977,0.03849,-0.579475,7,11,0,1.0
pair,HOC_EFE,B+CWT - B,800,18,59.92284,64.313272,-4.390432,8.570712,-2.173335,0.044178,0.06826,-0.51226,6,11,1,1.0
pair,HOC_EFE,B+CWT - B,1500,18,60.138889,67.800926,-7.662037,11.108073,-2.926455,0.009419,0.012026,-0.689772,4,13,1,1.0
pair,HOC_EFE,B+CWT - B,3000,18,59.266975,66.674383,-7.407407,11.556337,-2.719458,0.014571,0.01593,-0.640982,3,15,0,1.0
pair,HOC_EFE,B+CWT - B,4000,18,57.646605,68.117284,-10.470679,11.630053,-3.819701,0.001371,0.001045,-0.900312,3,15,0,0.434588
pair,HOC_EFE,B+CWT - B,avg,18,59.243827,66.726466,-7.482639,7.024177,-4.519554,0.000303,0.00042,-1.065269,3,15,0,0.107363
pair,HOC_EFE,B+CWT - A,800,18,59.92284,61.959877,-2.037037,10.283848,-0.840387,0.412355,0.331696,-0.198081,7,10,1,1.0
pair,HOC_EFE,B+CWT - A,1500,18,60.138889,63.487654,-3.348765,11.964746,-1.187456,0.251375,0.2112,-0.279886,4,11,3,1.0
pair,HOC_EFE,B+CWT - A,3000,18,59.266975,66.882716,-7.615741,10.525224,-3.069849,0.006938,0.01387,-0.72357,3,15,0,1.0
pair,HOC_EFE,B+CWT - A,4000,18,57.646605,66.226852,-8.580247,11.821793,-3.079305,0.006799,0.01387,-0.725799,5,13,0,1.0
pair,HOC_EFE,B+CWT - A,avg,18,59.243827,64.639275,-5.395448,7.817606,-2.928127,0.009386,0.012098,-0.690166,4,13,1,1.0
pair,HOC_SPS,A - B,800,18,65.223765,66.95216,-1.728395,7.942671,-0.923236,0.368803,0.308313,-0.217609,7,10,1,1.0
pair,HOC_SPS,A - B,1500,18,70.895062,70.617284,0.277778,5.745131,0.205132,0.839905,0.825668,0.04835,7,7,4,1.0
pair,HOC_SPS,A - B,3000,18,72.191358,70.563272,1.628086,5.769926,1.197136,0.247681,0.307088,0.282168,11,6,1,1.0
pair,HOC_SPS,A - B,4000,18,70.856481,69.837963,1.018519,7.342049,0.588556,0.563898,0.635799,0.138724,11,6,1,1.0
pair,HOC_SPS,A - B,avg,18,69.791667,69.49267,0.298997,3.908773,0.324536,0.749492,0.898575,0.076494,8,10,0,1.0
pair,HOC_SPS,B+CWT - B,800,18,63.973765,66.95216,-2.978395,9.483917,-1.332388,0.200319,0.265931,-0.314047,6,10,2,1.0
pair,HOC_SPS,B+CWT - B,1500,18,66.381173,70.617284,-4.236111,8.640479,-2.080012,0.052967,0.049118,-0.490263,5,12,1,1.0
pair,HOC_SPS,B+CWT - B,3000,18,62.106481,70.563272,-8.45679,11.254779,-3.187901,0.005386,0.007513,-0.751395,3,12,3,1.0
pair,HOC_SPS,B+CWT - B,4000,18,60.810185,69.837963,-9.027778,9.782145,-3.915462,0.001114,0.002474,-0.922883,2,14,2,0.364182
pair,HOC_SPS,B+CWT - B,avg,18,63.317901,69.49267,-6.174769,7.841149,-3.341006,0.003872,0.003365,-0.787483,5,13,0,1.0
pair,HOC_SPS,B+CWT - A,800,18,63.973765,65.223765,-1.25,9.165553,-0.578612,0.570438,0.501304,-0.13638,8,8,2,1.0
pair,HOC_SPS,B+CWT - A,1500,18,66.381173,70.895062,-4.513889,5.608864,-3.414383,0.003303,0.003822,-0.804778,2,15,1,0.948053
pair,HOC_SPS,B+CWT - A,3000,18,62.106481,72.191358,-10.084877,11.886367,-3.599629,0.002211,0.003365,-0.848441,4,14,0,0.668529
pair,HOC_SPS,B+CWT - A,4000,18,60.810185,70.856481,-10.046296,14.047865,-3.034114,0.007489,0.014717,-0.715148,4,13,1,1.0
pair,HOC_SPS,B+CWT - A,avg,18,63.317901,69.791667,-6.473765,8.371849,-3.28074,0.00441,0.003365,-0.773278,2,16,0,1.0
pair,HOC_SAA,A - B,800,18,66.62037,69.104938,-2.484568,7.485293,-1.408245,0.177084,0.200636,-0.331927,6,11,1,1.0
pair,HOC_SAA,A - B,1500,18,74.92284,73.37963,1.54321,5.231108,1.251606,0.227662,0.210647,0.295006,11,4,3,1.0
pair,HOC_SAA,A - B,3000,18,75.123457,74.845679,0.277778,4.299358,0.274113,0.7873,0.825113,0.064609,7,7,4,1.0
pair,HOC_SAA,A - B,4000,18,74.29784,72.608025,1.689815,5.867324,1.221899,0.238419,0.324329,0.288004,12,4,2,1.0
pair,HOC_SAA,A - B,avg,18,72.741127,72.484568,0.256559,3.251548,0.334759,0.741902,0.635562,0.078904,10,7,1,1.0
pair,HOC_SAA,B+CWT - B,800,18,64.174383,69.104938,-4.930556,7.934384,-2.636446,0.017321,0.027546,-0.621416,5,12,1,1.0
pair,HOC_SAA,B+CWT - B,1500,18,67.623457,73.37963,-5.756173,8.823702,-2.767702,0.01317,0.01593,-0.652354,5,13,0,1.0
pair,HOC_SAA,B+CWT - B,3000,18,66.188272,74.845679,-8.657407,8.293478,-4.428814,0.000368,0.00042,-1.043881,2,16,0,0.129077
pair,HOC_SAA,B+CWT - B,4000,18,65.717593,72.608025,-6.890432,9.09897,-3.21285,0.005104,0.009196,-0.757276,3,14,1,1.0
pair,HOC_SAA,B+CWT - B,avg,18,65.925926,72.484568,-6.558642,5.722669,-4.86241,0.000146,0.000191,-1.146081,3,15,0,0.053976
pair,HOC_SAA,B+CWT - A,800,18,64.174383,66.62037,-2.445988,8.634947,-1.201796,0.245917,0.196388,-0.283266,6,12,0,1.0
pair,HOC_SAA,B+CWT - A,1500,18,67.623457,74.92284,-7.299383,10.654126,-2.906729,0.009821,0.010406,-0.685123,5,13,0,1.0
pair,HOC_SAA,B+CWT - A,3000,18,66.188272,75.123457,-8.935185,9.635114,-3.93444,0.001069,0.00193,-0.927356,4,14,0,0.350565
pair,HOC_SAA,B+CWT - A,4000,18,65.717593,74.29784,-8.580247,10.24256,-3.554083,0.00244,0.003365,-0.837705,6,12,0,0.724781
pair,HOC_SAA,B+CWT - A,avg,18,65.925926,72.741127,-6.815201,7.520772,-3.844611,0.001299,0.00193,-0.906184,4,14,0,0.417682
pair,HOC_SFE,A - B,800,18,67.984396,70.048011,-2.063615,5.140392,-1.703212,0.106739,0.155276,-0.401451,5,12,1,1.0
pair,HOC_SFE,A - B,1500,18,70.188615,71.227709,-1.039095,5.236509,-0.841879,0.411543,0.604551,-0.198433,9,7,2,1.0
pair,HOC_SFE,A - B,3000,18,69.739369,70.490398,-0.751029,5.502689,-0.579052,0.570148,0.492035,-0.136484,9,8,1,1.0
pair,HOC_SFE,A - B,4000,18,70.456104,69.597908,0.858196,6.484771,0.561472,0.581803,0.448232,0.13234,8,9,1,1.0
pair,HOC_SFE,A - B,avg,18,69.592121,70.341007,-0.748885,3.730912,-0.851602,0.406272,0.417114,-0.200725,7,11,0,1.0
pair,HOC_SFE,B+CWT - B,800,18,60.445816,70.048011,-9.602195,10.328529,-3.944285,0.001046,0.000671,-0.929677,2,16,0,0.344207
pair,HOC_SFE,B+CWT - B,1500,18,59.280693,71.227709,-11.947016,10.694998,-4.739309,0.00019,0.00042,-1.117066,3,15,0,0.068868
pair,HOC_SFE,B+CWT - B,3000,18,59.044067,70.490398,-11.446331,8.693377,-5.586168,3.3e-05,2.3e-05,-1.316673,1,17,0,0.01311
pair,HOC_SFE,B+CWT - B,4000,18,61.20799,69.597908,-8.389918,12.117426,-2.937538,0.0092,0.009872,-0.692384,5,12,1,1.0
pair,HOC_SFE,B+CWT - B,avg,18,59.994642,70.341007,-10.346365,7.273238,-6.035263,1.3e-05,2.3e-05,-1.422525,1,17,0,0.005458
pair,HOC_SFE,B+CWT - A,800,18,60.445816,67.984396,-7.53858,8.916268,-3.587094,0.002272,0.002858,-0.845486,1,13,4,0.683767
pair,HOC_SFE,B+CWT - A,1500,18,59.280693,70.188615,-10.907922,11.217505,-4.125551,0.000707,0.001642,-0.972402,4,13,1,0.238118
pair,HOC_SFE,B+CWT - A,3000,18,59.044067,69.739369,-10.695302,10.842664,-4.184979,0.000621,0.000839,-0.986409,3,15,0,0.211914
pair,HOC_SFE,B+CWT - A,4000,18,61.20799,70.456104,-9.248114,13.792042,-2.84486,0.011195,0.03849,-0.67054,4,14,0,1.0
pair,HOC_SFE,B+CWT - A,avg,18,59.994642,69.592121,-9.597479,8.526207,-4.775706,0.000176,5.3e-05,-1.125645,1,17,0,0.064113
pair,WFE_WAA,A - B,800,18,60.54784,59.62963,0.91821,7.490483,0.520078,0.609716,0.477475,0.122584,9,8,1,1.0
pair,WFE_WAA,A - B,1500,18,60.66358,63.858025,-3.194444,6.477084,-2.092435,0.051711,0.054402,-0.493192,4,9,5,1.0
pair,WFE_WAA,A - B,3000,18,63.387346,63.186728,0.200617,8.193021,0.103887,0.918475,0.766029,0.024486,9,9,0,1.0
pair,WFE_WAA,A - B,4000,18,63.179012,63.125,0.054012,7.631702,0.030027,0.976395,0.966118,0.007077,9,9,0,1.0
pair,WFE_WAA,A - B,avg,18,61.944444,62.449846,-0.505401,5.007742,-0.428184,0.673893,0.794333,-0.100924,9,8,1,1.0
pair,WFE_WAA,B+CWT - B,800,18,55.825617,59.62963,-3.804012,5.811533,-2.777074,0.012913,0.020813,-0.654563,4,14,0,1.0
pair,WFE_WAA,B+CWT - B,1500,18,55.987654,63.858025,-7.87037,7.805448,-4.277929,0.000509,0.001598,-1.008318,1,15,2,0.176477
pair,WFE_WAA,B+CWT - B,3000,18,63.032407,63.186728,-0.154321,7.073938,-0.092555,0.927339,0.917535,-0.021815,9,7,2,1.0
pair,WFE_WAA,B+CWT - B,4000,18,60.771605,63.125,-2.353395,8.819103,-1.132157,0.273286,0.331357,-0.266852,6,11,1,1.0
pair,WFE_WAA,B+CWT - B,avg,18,58.904321,62.449846,-3.545525,3.307873,-4.54745,0.000285,0.000145,-1.071844,2,16,0,0.10214
pair,WFE_WAA,B+CWT - A,800,18,55.825617,60.54784,-4.722222,8.363914,-2.395373,0.028391,0.03308,-0.564595,5,12,1,1.0
pair,WFE_WAA,B+CWT - A,1500,18,55.987654,60.66358,-4.675926,9.854492,-2.01312,0.060216,0.059937,-0.474497,6,12,0,1.0
pair,WFE_WAA,B+CWT - A,3000,18,63.032407,63.387346,-0.354938,8.308818,-0.181238,0.858324,0.898575,-0.042718,9,9,0,1.0
pair,WFE_WAA,B+CWT - A,4000,18,60.771605,63.179012,-2.407407,9.973981,-1.024041,0.320168,0.538237,-0.241369,7,10,1,1.0
pair,WFE_WAA,B+CWT - A,avg,18,58.904321,61.944444,-3.040123,6.615592,-1.949659,0.067909,0.097506,-0.459539,6,11,1,1.0
