pair,subject,window_ms,accuracy,n_test
EFE/SFE,1,800,57.77777777777777,90
EFE/SFE,1,1500,73.33333333333333,90
EFE/SFE,1,3000,68.88888888888889,90
EFE/SFE,1,4000,66.66666666666666,90
EFE/SFE,2,800,67.5,80
EFE/SFE,2,1500,58.75,80
EFE/SFE,2,3000,75.0,80
EFE/SFE,2,4000,71.25,80
EFE/SFE,3,800,87.5,80
EFE/SFE,3,1500,91.25,80
EFE/SFE,3,3000,87.5,80
EFE/SFE,3,4000,82.5,80
EFE/SFE,4,800,75.0,80
EFE/SFE,4,1500,82.5,80
EFE/SFE,4,3000,85.0,80
EFE/SFE,4,4000,88.75,80
EFE/SFE,5,800,66.66666666666666,81
EFE/SFE,5,1500,77.77777777777779,81
EFE/SFE,5,3000,79.01234567901234,81
EFE/SFE,5,4000,79.01234567901234,81
EFE/SFE,6,800,50.0,80
EFE/SFE,6,1500,66.25,80
EFE/SFE,6,3000,70.0,80
EFE/SFE,6,4000,63.74999999999999,80
EFE/SFE,7,800,78.75,80
EFE/SFE,7,1500,81.25,80
EFE/SFE,7,3000,81.25,80
EFE/SFE,7,4000,76.25,80
EFE/SFE,8,800,42.5,80
EFE/SFE,8,1500,52.5,80
EFE/SFE,8,3000,42.5,80
EFE/SFE,8,4000,56.25,80
EFE/SFE,9,800,56.25,80
EFE/SFE,9,1500,61.25000000000001,80
EFE/SFE,9,3000,66.25,80
EFE/SFE,9,4000,65.0,80
EFE/SFE,10,800,78.75,80
EFE/SFE,10,1500,80.0,80
EFE/SFE,10,3000,72.5,80
EFE/SFE,10,4000,83.75,80
EFE/SFE,11,800,56.25,80
EFE/SFE,11,1500,56.25,80
EFE/SFE,11,3000,57.49999999999999,80
EFE/SFE,11,4000,73.75,80
EFE/SFE,12,800,53.75,80
EFE/SFE,12,1500,57.49999999999999,80
EFE/SFE,12,3000,68.75,80
EFE/SFE,12,4000,62.5,80
EFE/SFE,13,800,72.5,80
EFE/SFE,13,1500,71.25,80
EFE/SFE,13,3000,75.0,80
EFE/SFE,13,4000,66.25,80
EFE/SFE,14,800,65.0,80
EFE/SFE,14,1500,65.0,80
EFE/SFE,14,3000,67.5,80
EFE/SFE,14,4000,65.0,80
EFE/SFE,15,800,66.25,80
EFE/SFE,15,1500,63.74999999999999,80
EFE/SFE,15,3000,47.5,80
EFE/SFE,15,4000,52.5,80
EFE/SFE,16,800,56.25,80
EFE/SFE,16,1500,52.5,80
EFE/SFE,16,3000,58.75,80
EFE/SFE,16,4000,62.5,80
EFE/SFE,17,800,60.0,80
EFE/SFE,17,1500,72.5,80
EFE/SFE,17,3000,73.75,80
EFE/SFE,17,4000,72.5,80
EFE/SFE,18,800,86.25,80
EFE/SFE,18,1500,83.75,80
EFE/SFE,18,3000,88.75,80
EFE/SFE,18,4000,90.0,80
