pair,subject,window_ms,fold,accuracy,val_accuracy,best_epoch,n_test
EPS/SPS,1,800,1,66.66666666666667,61.111111111111114,30,18
EPS/SPS,1,800,2,50.0,66.66666666666667,3,18
EPS/SPS,1,800,3,38.888888888888886,66.66666666666667,1,18
EPS/SPS,1,800,4,66.66666666666667,72.22222222222223,6,18
EPS/SPS,1,800,5,66.66666666666667,66.66666666666667,9,18
EPS/SPS,1,1500,1,72.22222222222223,72.22222222222223,19,18
EPS/SPS,1,1500,2,61.111111111111114,66.66666666666667,2,18
EPS/SPS,1,1500,3,61.111111111111114,77.77777777777777,3,18
EPS/SPS,1,1500,4,50.0,72.22222222222223,5,18
EPS/SPS,1,1500,5,72.22222222222223,72.22222222222223,18,18
EPS/SPS,1,3000,1,55.55555555555556,72.22222222222223,5,18
EPS/SPS,1,3000,2,38.888888888888886,66.66666666666667,5,18
EPS/SPS,1,3000,3,83.33333333333333,66.66666666666667,22,18
EPS/SPS,1,3000,4,72.22222222222223,66.66666666666667,7,18
EPS/SPS,1,3000,5,83.33333333333333,83.33333333333333,19,18
EPS/SPS,1,4000,1,66.66666666666667,77.77777777777777,4,18
EPS/SPS,1,4000,2,44.44444444444444,77.77777777777777,5,18
EPS/SPS,1,4000,3,61.111111111111114,77.77777777777777,5,18
EPS/SPS,1,4000,4,61.111111111111114,72.22222222222223,3,18
EPS/SPS,1,4000,5,72.22222222222223,77.77777777777777,8,18
EPS/SPS,2,800,1,56.25,81.25,1,16
EPS/SPS,2,800,2,50.0,50.0,4,16
EPS/SPS,2,800,3,43.75,56.25,1,16
EPS/SPS,2,800,4,68.75,62.5,28,16
EPS/SPS,2,800,5,37.5,50.0,2,16
EPS/SPS,2,1500,1,68.75,87.5,8,16
EPS/SPS,2,1500,2,50.0,62.5,1,16
EPS/SPS,2,1500,3,81.25,62.5,3,16
EPS/SPS,2,1500,4,56.25,81.25,12,16
EPS/SPS,2,1500,5,62.5,62.5,1,16
EPS/SPS,2,3000,1,87.5,81.25,4,16
EPS/SPS,2,3000,2,62.5,75.0,6,16
EPS/SPS,2,3000,3,75.0,68.75,10,16
EPS/SPS,2,3000,4,37.5,87.5,14,16
EPS/SPS,2,3000,5,68.75,75.0,2,16
EPS/SPS,2,4000,1,87.5,87.5,1,16
EPS/SPS,2,4000,2,81.25,87.5,22,16
EPS/SPS,2,4000,3,93.75,75.0,7,16
EPS/SPS,2,4000,4,68.75,100.0,24,16
EPS/SPS,2,4000,5,68.75,75.0,5,16
EPS/SPS,3,800,1,50.0,87.5,21,16
EPS/SPS,3,800,2,68.75,87.5,7,16
EPS/SPS,3,800,3,62.5,93.75,29,16
EPS/SPS,3,800,4,81.25,87.5,43,16
EPS/SPS,3,800,5,87.5,87.5,21,16
EPS/SPS,3,1500,1,50.0,81.25,1,16
EPS/SPS,3,1500,2,75.0,87.5,3,16
EPS/SPS,3,1500,3,81.25,75.0,3,16
EPS/SPS,3,1500,4,81.25,81.25,9,16
EPS/SPS,3,1500,5,81.25,68.75,6,16
EPS/SPS,3,3000,1,56.25,75.0,11,16
EPS/SPS,3,3000,2,81.25,81.25,1,16
EPS/SPS,3,3000,3,56.25,81.25,10,16
EPS/SPS,3,3000,4,93.75,87.5,10,16
EPS/SPS,3,3000,5,87.5,75.0,6,16
EPS/SPS,3,4000,1,50.0,75.0,2,16
EPS/SPS,3,4000,2,81.25,81.25,2,16
EPS/SPS,3,4000,3,68.75,87.5,2,16
EPS/SPS,3,4000,4,87.5,87.5,8,16
EPS/SPS,3,4000,5,81.25,75.0,1,16
EPS/SPS,4,800,1,87.5,93.75,1,16
EPS/SPS,4,800,2,100.0,93.75,1,16
EPS/SPS,4,800,3,93.75,100.0,7,16
EPS/SPS,4,800,4,68.75,100.0,1,16
EPS/SPS,4,800,5,87.5,93.75,10,16
EPS/SPS,4,1500,1,93.75,100.0,4,16
EPS/SPS,4,1500,2,100.0,100.0,18,16
EPS/SPS,4,1500,3,93.75,87.5,9,16
EPS/SPS,4,1500,4,75.0,100.0,3,16
EPS/SPS,4,1500,5,87.5,100.0,8,16
EPS/SPS,4,3000,1,87.5,93.75,25,16
EPS/SPS,4,3000,2,93.75,87.5,5,16
EPS/SPS,4,3000,3,93.75,93.75,4,16
EPS/SPS,4,3000,4,81.25,93.75,19,16
EPS/SPS,4,3000,5,93.75,100.0,6,16
EPS/SPS,4,4000,1,87.5,93.75,7,16
EPS/SPS,4,4000,2,93.75,87.5,6,16
EPS/SPS,4,4000,3,87.5,100.0,12,16
EPS/SPS,4,4000,4,81.25,93.75,9,16
EPS/SPS,4,4000,5,100.0,93.75,5,16
EPS/SPS,5,800,1,56.25,93.75,9,16
EPS/SPS,5,800,2,81.25,93.75,4,16
EPS/SPS,5,800,3,75.0,93.75,6,16
EPS/SPS,5,800,4,50.0,81.25,2,16
EPS/SPS,5,800,5,93.75,87.5,16,16
EPS/SPS,5,1500,1,87.5,93.75,22,16
EPS/SPS,5,1500,2,75.0,93.75,2,16
EPS/SPS,5,1500,3,68.75,100.0,5,16
EPS/SPS,5,1500,4,75.0,93.75,9,16
EPS/SPS,5,1500,5,75.0,87.5,3,16
EPS/SPS,5,3000,1,81.25,75.0,7,16
EPS/SPS,5,3000,2,75.0,93.75,23,16
EPS/SPS,5,3000,3,68.75,100.0,5,16
EPS/SPS,5,3000,4,87.5,87.5,15,16
EPS/SPS,5,3000,5,81.25,93.75,8,16
EPS/SPS,5,4000,1,75.0,68.75,27,16
EPS/SPS,5,4000,2,68.75,93.75,6,16
EPS/SPS,5,4000,3,75.0,87.5,12,16
EPS/SPS,5,4000,4,56.25,87.5,5,16
EPS/SPS,5,4000,5,68.75,100.0,17,16
EPS/SPS,6,800,1,62.5,81.25,3,16
EPS/SPS,6,800,2,93.75,75.0,3,16
EPS/SPS,6,800,3,81.25,75.0,4,16
EPS/SPS,6,800,4,81.25,62.5,3,16
EPS/SPS,6,800,5,62.5,87.5,8,16
EPS/SPS,6,1500,1,50.0,81.25,11,16
EPS/SPS,6,1500,2,62.5,81.25,2,16
EPS/SPS,6,1500,3,75.0,93.75,25,16
EPS/SPS,6,1500,4,93.75,75.0,14,16
EPS/SPS,6,1500,5,56.25,68.75,1,16
EPS/SPS,6,3000,1,62.5,75.0,3,16
EPS/SPS,6,3000,2,68.75,81.25,28,16
EPS/SPS,6,3000,3,75.0,87.5,33,16
EPS/SPS,6,3000,4,87.5,87.5,31,16
EPS/SPS,6,3000,5,93.75,75.0,15,16
EPS/SPS,6,4000,1,81.25,75.0,15,16
EPS/SPS,6,4000,2,68.75,87.5,16,16
EPS/SPS,6,4000,3,75.0,75.0,2,16
EPS/SPS,6,4000,4,75.0,93.75,4,16
EPS/SPS,6,4000,5,81.25,75.0,3,16
EPS/SPS,7,800,1,68.75,75.0,10,16
EPS/SPS,7,800,2,68.75,75.0,1,16
EPS/SPS,7,800,3,62.5,93.75,13,16
EPS/SPS,7,800,4,25.0,93.75,10,16
EPS/SPS,7,800,5,56.25,75.0,13,16
EPS/SPS,7,1500,1,75.0,87.5,1,16
EPS/SPS,7,1500,2,87.5,81.25,2,16
EPS/SPS,7,1500,3,75.0,93.75,4,16
EPS/SPS,7,1500,4,68.75,93.75,2,16
EPS/SPS,7,1500,5,81.25,87.5,2,16
EPS/SPS,7,3000,1,68.75,100.0,1,16
EPS/SPS,7,3000,2,100.0,87.5,4,16
EPS/SPS,7,3000,3,87.5,93.75,4,16
EPS/SPS,7,3000,4,68.75,93.75,3,16
EPS/SPS,7,3000,5,81.25,93.75,2,16
EPS/SPS,7,4000,1,68.75,93.75,1,16
EPS/SPS,7,4000,2,87.5,93.75,8,16
EPS/SPS,7,4000,3,81.25,93.75,3,16
EPS/SPS,7,4000,4,81.25,87.5,5,16
EPS/SPS,7,4000,5,81.25,87.5,4,16
EPS/SPS,8,800,1,43.75,50.0,1,16
EPS/SPS,8,800,2,50.0,62.5,5,16
EPS/SPS,8,800,3,50.0,62.5,1,16
EPS/SPS,8,800,4,43.75,56.25,10,16
EPS/SPS,8,800,5,37.5,62.5,14,16
EPS/SPS,8,1500,1,43.75,50.0,2,16
EPS/SPS,8,1500,2,50.0,50.0,2,16
EPS/SPS,8,1500,3,75.0,50.0,2,16
EPS/SPS,8,1500,4,43.75,81.25,1,16
EPS/SPS,8,1500,5,68.75,62.5,5,16
EPS/SPS,8,3000,1,50.0,62.5,1,16
EPS/SPS,8,3000,2,50.0,68.75,7,16
EPS/SPS,8,3000,3,68.75,68.75,5,16
EPS/SPS,8,3000,4,43.75,75.0,3,16
EPS/SPS,8,3000,5,56.25,68.75,9,16
EPS/SPS,8,4000,1,50.0,75.0,2,16
EPS/SPS,8,4000,2,50.0,62.5,9,16
EPS/SPS,8,4000,3,56.25,62.5,1,16
EPS/SPS,8,4000,4,68.75,68.75,7,16
EPS/SPS,8,4000,5,68.75,75.0,9,16
EPS/SPS,9,800,1,43.75,62.5,7,16
EPS/SPS,9,800,2,75.0,81.25,3,16
EPS/SPS,9,800,3,50.0,62.5,2,16
EPS/SPS,9,800,4,50.0,68.75,2,16
EPS/SPS,9,800,5,62.5,81.25,2,16
EPS/SPS,9,1500,1,62.5,81.25,28,16
EPS/SPS,9,1500,2,75.0,75.0,9,16
EPS/SPS,9,1500,3,62.5,68.75,6,16
EPS/SPS,9,1500,4,68.75,68.75,1,16
EPS/SPS,9,1500,5,50.0,81.25,1,16
EPS/SPS,9,3000,1,56.25,68.75,9,16
EPS/SPS,9,3000,2,62.5,68.75,2,16
EPS/SPS,9,3000,3,68.75,87.5,1,16
EPS/SPS,9,3000,4,75.0,68.75,11,16
EPS/SPS,9,3000,5,68.75,68.75,7,16
EPS/SPS,9,4000,1,50.0,75.0,9,16
EPS/SPS,9,4000,2,50.0,37.5,4,16
EPS/SPS,9,4000,3,81.25,68.75,7,16
EPS/SPS,9,4000,4,62.5,68.75,3,16
EPS/SPS,9,4000,5,62.5,62.5,4,16
EPS/SPS,10,800,1,81.25,81.25,13,16
EPS/SPS,10,800,2,81.25,75.0,8,16
EPS/SPS,10,800,3,87.5,75.0,2,16
EPS/SPS,10,800,4,87.5,93.75,1,16
EPS/SPS,10,800,5,56.25,87.5,1,16
EPS/SPS,10,1500,1,93.75,93.75,1,16
EPS/SPS,10,1500,2,87.5,93.75,1,16
EPS/SPS,10,1500,3,81.25,87.5,2,16
EPS/SPS,10,1500,4,93.75,93.75,1,16
EPS/SPS,10,1500,5,87.5,93.75,4,16
EPS/SPS,10,3000,1,87.5,81.25,1,16
EPS/SPS,10,3000,2,75.0,87.5,3,16
EPS/SPS,10,3000,3,68.75,93.75,2,16
EPS/SPS,10,3000,4,87.5,100.0,27,16
EPS/SPS,10,3000,5,81.25,87.5,2,16
EPS/SPS,10,4000,1,81.25,93.75,3,16
EPS/SPS,10,4000,2,81.25,93.75,5,16
EPS/SPS,10,4000,3,81.25,93.75,3,16
EPS/SPS,10,4000,4,87.5,100.0,5,16
EPS/SPS,10,4000,5,87.5,93.75,9,16
EPS/SPS,11,800,1,56.25,37.5,2,16
EPS/SPS,11,800,2,62.5,68.75,1,16
EPS/SPS,11,800,3,62.5,62.5,6,16
EPS/SPS,11,800,4,68.75,68.75,27,16
EPS/SPS,11,800,5,62.5,75.0,18,16
EPS/SPS,11,1500,1,87.5,75.0,33,16
EPS/SPS,11,1500,2,50.0,68.75,14,16
EPS/SPS,11,1500,3,50.0,81.25,13,16
EPS/SPS,11,1500,4,62.5,81.25,12,16
EPS/SPS,11,1500,5,68.75,81.25,18,16
EPS/SPS,11,3000,1,81.25,68.75,3,16
EPS/SPS,11,3000,2,68.75,75.0,7,16
EPS/SPS,11,3000,3,68.75,100.0,6,16
EPS/SPS,11,3000,4,62.5,75.0,5,16
EPS/SPS,11,3000,5,68.75,68.75,10,16
EPS/SPS,11,4000,1,75.0,75.0,8,16
EPS/SPS,11,4000,2,56.25,62.5,1,16
EPS/SPS,11,4000,3,56.25,93.75,7,16
EPS/SPS,11,4000,4,56.25,75.0,5,16
EPS/SPS,11,4000,5,75.0,75.0,11,16
EPS/SPS,12,800,1,62.5,56.25,1,16
EPS/SPS,12,800,2,62.5,56.25,7,16
EPS/SPS,12,800,3,37.5,75.0,11,16
EPS/SPS,12,800,4,43.75,56.25,5,16
EPS/SPS,12,800,5,62.5,62.5,1,16
EPS/SPS,12,1500,1,68.75,68.75,2,16
EPS/SPS,12,1500,2,56.25,62.5,11,16
EPS/SPS,12,1500,3,37.5,68.75,17,16
EPS/SPS,12,1500,4,37.5,62.5,6,16
EPS/SPS,12,1500,5,62.5,75.0,3,16
EPS/SPS,12,3000,1,68.75,62.5,4,16
EPS/SPS,12,3000,2,62.5,75.0,10,16
EPS/SPS,12,3000,3,56.25,68.75,1,16
EPS/SPS,12,3000,4,43.75,62.5,4,16
EPS/SPS,12,3000,5,56.25,56.25,1,16
EPS/SPS,12,4000,1,62.5,75.0,3,16
EPS/SPS,12,4000,2,62.5,75.0,4,16
EPS/SPS,12,4000,3,50.0,68.75,9,16
EPS/SPS,12,4000,4,37.5,68.75,1,16
EPS/SPS,12,4000,5,68.75,75.0,12,16
EPS/SPS,13,800,1,75.0,62.5,7,16
EPS/SPS,13,800,2,62.5,75.0,20,16
EPS/SPS,13,800,3,68.75,81.25,2,16
EPS/SPS,13,800,4,68.75,75.0,1,16
EPS/SPS,13,800,5,43.75,62.5,1,16
EPS/SPS,13,1500,1,75.0,68.75,1,16
EPS/SPS,13,1500,2,50.0,75.0,1,16
EPS/SPS,13,1500,3,87.5,75.0,2,16
EPS/SPS,13,1500,4,68.75,81.25,1,16
EPS/SPS,13,1500,5,75.0,75.0,22,16
EPS/SPS,13,3000,1,75.0,62.5,8,16
EPS/SPS,13,3000,2,75.0,75.0,21,16
EPS/SPS,13,3000,3,75.0,81.25,7,16
EPS/SPS,13,3000,4,62.5,56.25,2,16
EPS/SPS,13,3000,5,75.0,75.0,5,16
EPS/SPS,13,4000,1,56.25,75.0,3,16
EPS/SPS,13,4000,2,56.25,81.25,9,16
EPS/SPS,13,4000,3,43.75,62.5,6,16
EPS/SPS,13,4000,4,68.75,62.5,2,16
EPS/SPS,13,4000,5,68.75,75.0,4,16
EPS/SPS,14,800,1,68.75,100.0,26,16
EPS/SPS,14,800,2,62.5,62.5,1,16
EPS/SPS,14,800,3,87.5,81.25,19,16
EPS/SPS,14,800,4,81.25,68.75,37,16
EPS/SPS,14,800,5,56.25,81.25,5,16
EPS/SPS,14,1500,1,75.0,87.5,1,16
EPS/SPS,14,1500,2,37.5,62.5,1,16
EPS/SPS,14,1500,3,87.5,81.25,9,16
EPS/SPS,14,1500,4,75.0,68.75,3,16
EPS/SPS,14,1500,5,75.0,81.25,3,16
EPS/SPS,14,3000,1,81.25,81.25,1,16
EPS/SPS,14,3000,2,62.5,75.0,2,16
EPS/SPS,14,3000,3,81.25,87.5,7,16
EPS/SPS,14,3000,4,62.5,62.5,1,16
EPS/SPS,14,3000,5,75.0,68.75,11,16
EPS/SPS,14,4000,1,62.5,87.5,8,16
EPS/SPS,14,4000,2,75.0,62.5,3,16
EPS/SPS,14,4000,3,87.5,81.25,8,16
EPS/SPS,14,4000,4,56.25,68.75,2,16
EPS/SPS,14,4000,5,62.5,81.25,1,16
EPS/SPS,15,800,1,87.5,87.5,1,16
EPS/SPS,15,800,2,75.0,93.75,1,16
EPS/SPS,15,800,3,87.5,81.25,1,16
EPS/SPS,15,800,4,75.0,75.0,6,16
