pair,subject,window_ms,accuracy,n_test
WAA/SPS,1,800,63.33333333333333,90
WAA/SPS,1,1500,61.111111111111114,90
WAA/SPS,1,3000,56.666666666666664,90
WAA/SPS,1,4000,64.44444444444444,90
WAA/SPS,2,800,55.00000000000001,80
WAA/SPS,2,1500,53.75,80
WAA/SPS,2,3000,61.25000000000001,80
WAA/SPS,2,4000,68.75,80
WAA/SPS,3,800,75.0,80
WAA/SPS,3,1500,76.25,80
WAA/SPS,3,3000,80.0,80
WAA/SPS,3,4000,72.5,80
WAA/SPS,4,800,80.0,80
WAA/SPS,4,1500,85.0,80
WAA/SPS,4,3000,86.25,80
WAA/SPS,4,4000,85.0,80
WAA/SPS,5,800,82.5,80
WAA/SPS,5,1500,75.0,80
WAA/SPS,5,3000,68.75,80
WAA/SPS,5,4000,75.0,80
WAA/SPS,6,800,66.25,80
WAA/SPS,6,1500,61.25000000000001,80
WAA/SPS,6,3000,70.0,80
WAA/SPS,6,4000,67.5,80
WAA/SPS,7,800,43.75,80
WAA/SPS,7,1500,60.0,80
WAA/SPS,7,3000,61.25000000000001,80
WAA/SPS,7,4000,68.75,80
WAA/SPS,8,800,38.75,80
WAA/SPS,8,1500,51.24999999999999,80
WAA/SPS,8,3000,65.0,80
WAA/SPS,8,4000,62.5,80
WAA/SPS,9,800,46.25,80
WAA/SPS,9,1500,57.49999999999999,80
WAA/SPS,9,3000,60.0,80
WAA/SPS,9,4000,58.75,80
WAA/SPS,10,800,80.0,80
WAA/SPS,10,1500,82.5,80
WAA/SPS,10,3000,77.5,80
WAA/SPS,10,4000,86.25,80
WAA/SPS,11,800,50.0,80
WAA/SPS,11,1500,61.25000000000001,80
WAA/SPS,11,3000,76.25,80
WAA/SPS,11,4000,72.5,80
WAA/SPS,12,800,67.5,80
WAA/SPS,12,1500,65.0,80
WAA/SPS,12,3000,65.0,80
WAA/SPS,12,4000,55.00000000000001,80
WAA/SPS,13,800,71.25,80
WAA/SPS,13,1500,67.5,80
WAA/SPS,13,3000,71.25,80
WAA/SPS,13,4000,72.5,80
WAA/SPS,14,800,61.25000000000001,80
WAA/SPS,14,1500,71.25,80
WAA/SPS,14,3000,76.25,80
WAA/SPS,14,4000,73.75,80
WAA/SPS,15,800,81.25,80
WAA/SPS,15,1500,75.0,80
WAA/SPS,15,3000,82.5,80
WAA/SPS,15,4000,82.5,80
WAA/SPS,16,800,55.00000000000001,80
WAA/SPS,16,1500,55.00000000000001,80
WAA/SPS,16,3000,52.5,80
WAA/SPS,16,4000,55.00000000000001,80
WAA/SPS,17,800,53.75,80
WAA/SPS,17,1500,67.5,80
WAA/SPS,17,3000,57.49999999999999,80
WAA/SPS,17,4000,63.74999999999999,80
WAA/SPS,18,800,71.25,80
WAA/SPS,18,1500,75.0,80
WAA/SPS,18,3000,70.0,80
WAA/SPS,18,4000,77.5,80
