pair,subject,window_ms,fold,accuracy,val_accuracy,best_epoch,n_test
WFE/EPS,1,800,1,66.66666666666667,50.0,11,18
WFE/EPS,1,800,2,44.44444444444444,61.111111111111114,2,18
WFE/EPS,1,800,3,55.55555555555556,72.22222222222223,5,18
WFE/EPS,1,800,4,61.111111111111114,77.77777777777777,20,18
WFE/EPS,1,800,5,66.66666666666667,66.66666666666667,2,18
WFE/EPS,1,1500,1,77.77777777777777,66.66666666666667,16,18
WFE/EPS,1,1500,2,44.44444444444444,61.111111111111114,4,18
WFE/EPS,1,1500,3,44.44444444444444,83.33333333333333,24,18
WFE/EPS,1,1500,4,66.66666666666667,88.88888888888889,4,18
WFE/EPS,1,1500,5,72.22222222222223,72.22222222222223,16,18
WFE/EPS,1,3000,1,44.44444444444444,66.66666666666667,2,18
WFE/EPS,1,3000,2,50.0,72.22222222222223,2,18
WFE/EPS,1,3000,3,72.22222222222223,77.77777777777777,18,18
WFE/EPS,1,3000,4,55.55555555555556,77.77777777777777,15,18
WFE/EPS,1,3000,5,61.111111111111114,72.22222222222223,7,18
WFE/EPS,1,4000,1,72.22222222222223,72.22222222222223,2,18
WFE/EPS,1,4000,2,50.0,72.22222222222223,6,18
WFE/EPS,1,4000,3,77.77777777777777,72.22222222222223,11,18
WFE/EPS,1,4000,4,55.55555555555556,72.22222222222223,1,18
WFE/EPS,1,4000,5,55.55555555555556,77.77777777777777,8,18
WFE/EPS,2,800,1,75.0,56.25,9,16
WFE/EPS,2,800,2,68.75,75.0,2,16
WFE/EPS,2,800,3,50.0,68.75,2,16
WFE/EPS,2,800,4,50.0,56.25,1,16
WFE/EPS,2,800,5,56.25,75.0,4,16
WFE/EPS,2,1500,1,50.0,56.25,9,16
WFE/EPS,2,1500,2,56.25,68.75,1,16
WFE/EPS,2,1500,3,62.5,81.25,15,16
WFE/EPS,2,1500,4,56.25,62.5,2,16
WFE/EPS,2,1500,5,62.5,62.5,8,16
WFE/EPS,2,3000,1,43.75,75.0,4,16
WFE/EPS,2,3000,2,62.5,62.5,8,16
WFE/EPS,2,3000,3,62.5,81.25,12,16
WFE/EPS,2,3000,4,37.5,81.25,9,16
WFE/EPS,2,3000,5,68.75,56.25,17,16
WFE/EPS,2,4000,1,50.0,75.0,1,16
WFE/EPS,2,4000,2,68.75,81.25,9,16
WFE/EPS,2,4000,3,75.0,87.5,12,16
WFE/EPS,2,4000,4,50.0,62.5,3,16
WFE/EPS,2,4000,5,56.25,56.25,9,16
WFE/EPS,3,800,1,68.75,87.5,31,16
WFE/EPS,3,800,2,75.0,87.5,20,16
WFE/EPS,3,800,3,56.25,75.0,16,16
WFE/EPS,3,800,4,75.0,81.25,9,16
WFE/EPS,3,800,5,87.5,100.0,24,16
WFE/EPS,3,1500,1,75.0,68.75,17,16
WFE/EPS,3,1500,2,68.75,75.0,18,16
WFE/EPS,3,1500,3,56.25,68.75,3,16
WFE/EPS,3,1500,4,62.5,81.25,3,16
WFE/EPS,3,1500,5,68.75,87.5,12,16
WFE/EPS,3,3000,1,56.25,75.0,1,16
WFE/EPS,3,3000,2,62.5,62.5,1,16
WFE/EPS,3,3000,3,62.5,50.0,2,16
WFE/EPS,3,3000,4,62.5,62.5,1,16
WFE/EPS,3,3000,5,56.25,87.5,4,16
WFE/EPS,3,4000,1,56.25,68.75,1,16
WFE/EPS,3,4000,2,68.75,62.5,1,16
WFE/EPS,3,4000,3,68.75,56.25,3,16
WFE/EPS,3,4000,4,56.25,56.25,3,16
WFE/EPS,3,4000,5,68.75,81.25,8,16
WFE/EPS,4,800,1,75.0,81.25,1,16
WFE/EPS,4,800,2,87.5,81.25,1,16
WFE/EPS,4,800,3,100.0,100.0,3,16
WFE/EPS,4,800,4,75.0,100.0,3,16
WFE/EPS,4,800,5,81.25,100.0,5,16
WFE/EPS,4,1500,1,75.0,75.0,6,16
WFE/EPS,4,1500,2,87.5,93.75,6,16
WFE/EPS,4,1500,3,68.75,75.0,1,16
WFE/EPS,4,1500,4,81.25,100.0,11,16
WFE/EPS,4,1500,5,75.0,93.75,3,16
WFE/EPS,4,3000,1,75.0,75.0,11,16
WFE/EPS,4,3000,2,81.25,93.75,13,16
WFE/EPS,4,3000,3,87.5,87.5,7,16
WFE/EPS,4,3000,4,50.0,87.5,2,16
WFE/EPS,4,3000,5,75.0,81.25,1,16
WFE/EPS,4,4000,1,75.0,75.0,3,16
WFE/EPS,4,4000,2,81.25,81.25,1,16
WFE/EPS,4,4000,3,81.25,81.25,12,16
WFE/EPS,4,4000,4,68.75,87.5,7,16
WFE/EPS,4,4000,5,62.5,87.5,1,16
WFE/EPS,5,800,1,43.75,75.0,2,16
WFE/EPS,5,800,2,50.0,81.25,11,16
WFE/EPS,5,800,3,62.5,81.25,40,16
WFE/EPS,5,800,4,50.0,68.75,12,16
WFE/EPS,5,800,5,50.0,81.25,2,16
WFE/EPS,5,1500,1,87.5,81.25,5,16
WFE/EPS,5,1500,2,68.75,75.0,5,16
WFE/EPS,5,1500,3,68.75,81.25,10,16
WFE/EPS,5,1500,4,68.75,68.75,19,16
WFE/EPS,5,1500,5,68.75,68.75,19,16
WFE/EPS,5,3000,1,93.75,75.0,14,16
WFE/EPS,5,3000,2,56.25,68.75,7,16
WFE/EPS,5,3000,3,62.5,56.25,4,16
WFE/EPS,5,3000,4,75.0,81.25,16,16
WFE/EPS,5,3000,5,68.75,62.5,15,16
WFE/EPS,5,4000,1,93.75,81.25,15,16
WFE/EPS,5,4000,2,75.0,75.0,2,16
WFE/EPS,5,4000,3,62.5,62.5,1,16
WFE/EPS,5,4000,4,37.5,81.25,1,16
WFE/EPS,5,4000,5,50.0,56.25,5,16
WFE/EPS,6,800,1,56.25,75.0,3,16
WFE/EPS,6,800,2,62.5,81.25,5,16
WFE/EPS,6,800,3,56.25,75.0,3,16
WFE/EPS,6,800,4,81.25,68.75,6,16
WFE/EPS,6,800,5,68.75,75.0,2,16
WFE/EPS,6,1500,1,50.0,87.5,26,16
WFE/EPS,6,1500,2,50.0,81.25,5,16
