pair,subject,window_ms,accuracy,n_test
WFE/SFE,1,800,60.0,90
WFE/SFE,1,1500,66.66666666666666,90
WFE/SFE,1,3000,71.11111111111111,90
WFE/SFE,1,4000,67.77777777777779,90
WFE/SFE,2,800,50.0,80
WFE/SFE,2,1500,55.00000000000001,80
WFE/SFE,2,3000,67.5,80
WFE/SFE,2,4000,66.25,80
WFE/SFE,3,800,71.25,80
WFE/SFE,3,1500,83.75,80
WFE/SFE,3,3000,76.25,80
WFE/SFE,3,4000,73.75,80
WFE/SFE,4,800,71.25,80
WFE/SFE,4,1500,71.25,80
WFE/SFE,4,3000,77.5,80
WFE/SFE,4,4000,72.5,80
WFE/SFE,5,800,66.66666666666666,81
WFE/SFE,5,1500,81.48148148148148,81
WFE/SFE,5,3000,80.24691358024691,81
WFE/SFE,5,4000,71.60493827160494,81
WFE/SFE,6,800,53.75,80
WFE/SFE,6,1500,67.5,80
WFE/SFE,6,3000,71.25,80
WFE/SFE,6,4000,70.0,80
WFE/SFE,7,800,65.0,80
WFE/SFE,7,1500,73.75,80
WFE/SFE,7,3000,76.25,80
WFE/SFE,7,4000,78.75,80
WFE/SFE,8,800,52.5,80
WFE/SFE,8,1500,45.0,80
WFE/SFE,8,3000,47.5,80
WFE/SFE,8,4000,53.75,80
WFE/SFE,9,800,47.5,80
WFE/SFE,9,1500,40.0,80
WFE/SFE,9,3000,58.75,80
WFE/SFE,9,4000,46.25,80
WFE/SFE,10,800,66.25,80
WFE/SFE,10,1500,72.5,80
WFE/SFE,10,3000,65.0,80
WFE/SFE,10,4000,67.5,80
WFE/SFE,11,800,61.25000000000001,80
WFE/SFE,11,1500,61.25000000000001,80
WFE/SFE,11,3000,72.5,80
WFE/SFE,11,4000,75.0,80
WFE/SFE,12,800,63.74999999999999,80
WFE/SFE,12,1500,56.25,80
WFE/SFE,12,3000,67.5,80
WFE/SFE,12,4000,65.0,80
WFE/SFE,13,800,62.5,80
WFE/SFE,13,1500,73.75,80
WFE/SFE,13,3000,61.25000000000001,80
WFE/SFE,13,4000,63.74999999999999,80
WFE/SFE,14,800,68.75,80
WFE/SFE,14,1500,67.5,80
WFE/SFE,14,3000,66.25,80
WFE/SFE,14,4000,63.74999999999999,80
WFE/SFE,15,800,56.25,80
WFE/SFE,15,1500,60.0,80
WFE/SFE,15,3000,66.25,80
WFE/SFE,15,4000,62.5,80
WFE/SFE,16,800,61.25000000000001,80
WFE/SFE,16,1500,57.49999999999999,80
WFE/SFE,16,3000,57.49999999999999,80
WFE/SFE,16,4000,62.5,80
WFE/SFE,17,800,55.00000000000001,80
WFE/SFE,17,1500,56.25,80
WFE/SFE,17,3000,55.00000000000001,80
WFE/SFE,17,4000,60.0,80
WFE/SFE,18,800,77.5,80
WFE/SFE,18,1500,76.25,80
WFE/SFE,18,3000,86.25,80
WFE/SFE,18,4000,83.75,80
