pair,subject,window_ms,fold,accuracy,val_accuracy,best_epoch,n_test
EPS/SAA,1,800,1,44.44444444444444,61.111111111111114,7,18
EPS/SAA,1,800,2,66.66666666666667,61.111111111111114,1,18
EPS/SAA,1,800,3,61.111111111111114,77.77777777777777,7,18
EPS/SAA,1,800,4,50.0,72.22222222222223,29,18
EPS/SAA,1,800,5,61.111111111111114,72.22222222222223,9,18
EPS/SAA,1,1500,1,61.111111111111114,77.77777777777777,8,18
EPS/SAA,1,1500,2,83.33333333333333,88.88888888888889,8,18
EPS/SAA,1,1500,3,83.33333333333333,77.77777777777777,3,18
EPS/SAA,1,1500,4,55.55555555555556,77.77777777777777,14,18
EPS/SAA,1,1500,5,66.66666666666667,66.66666666666667,8,18
EPS/SAA,1,3000,1,55.55555555555556,61.111111111111114,6,18
EPS/SAA,1,3000,2,72.22222222222223,72.22222222222223,1,18
EPS/SAA,1,3000,3,61.111111111111114,72.22222222222223,5,18
EPS/SAA,1,3000,4,44.44444444444444,83.33333333333333,9,18
EPS/SAA,1,3000,5,61.111111111111114,61.111111111111114,5,18
EPS/SAA,1,4000,1,33.333333333333336,61.111111111111114,1,18
EPS/SAA,1,4000,2,66.66666666666667,55.55555555555556,1,18
EPS/SAA,1,4000,3,61.111111111111114,72.22222222222223,7,18
EPS/SAA,1,4000,4,33.333333333333336,77.77777777777777,27,18
EPS/SAA,1,4000,5,55.55555555555556,55.55555555555556,1,18
EPS/SAA,2,800,1,50.0,62.5,1,16
EPS/SAA,2,800,2,62.5,68.75,4,16
EPS/SAA,2,800,3,37.5,81.25,2,16
EPS/SAA,2,800,4,50.0,87.5,6,16
EPS/SAA,2,800,5,62.5,75.0,17,16
EPS/SAA,2,1500,1,50.0,62.5,3,16
EPS/SAA,2,1500,2,62.5,81.25,6,16
EPS/SAA,2,1500,3,68.75,87.5,8,16
EPS/SAA,2,1500,4,68.75,87.5,6,16
EPS/SAA,2,1500,5,81.25,81.25,10,16
EPS/SAA,2,3000,1,56.25,62.5,1,16
EPS/SAA,2,3000,2,62.5,75.0,6,16
EPS/SAA,2,3000,3,50.0,87.5,7,16
EPS/SAA,2,3000,4,62.5,75.0,15,16
EPS/SAA,2,3000,5,75.0,75.0,7,16
EPS/SAA,2,4000,1,43.75,56.25,3,16
EPS/SAA,2,4000,2,62.5,75.0,3,16
EPS/SAA,2,4000,3,50.0,87.5,8,16
EPS/SAA,2,4000,4,56.25,62.5,5,16
EPS/SAA,2,4000,5,62.5,75.0,4,16
EPS/SAA,3,800,1,62.5,87.5,3,16
EPS/SAA,3,800,2,62.5,93.75,6,16
EPS/SAA,3,800,3,93.75,75.0,4,16
EPS/SAA,3,800,4,68.75,87.5,4,16
EPS/SAA,3,800,5,75.0,81.25,5,16
EPS/SAA,3,1500,1,56.25,68.75,11,16
EPS/SAA,3,1500,2,56.25,75.0,5,16
EPS/SAA,3,1500,3,87.5,93.75,19,16
EPS/SAA,3,1500,4,93.75,87.5,17,16
EPS/SAA,3,1500,5,56.25,75.0,4,16
EPS/SAA,3,3000,1,62.5,81.25,8,16
EPS/SAA,3,3000,2,43.75,56.25,10,16
EPS/SAA,3,3000,3,68.75,68.75,10,16
EPS/SAA,3,3000,4,87.5,75.0,6,16
EPS/SAA,3,3000,5,56.25,81.25,15,16
EPS/SAA,3,4000,1,56.25,68.75,8,16
EPS/SAA,3,4000,2,43.75,56.25,5,16
EPS/SAA,3,4000,3,68.75,62.5,4,16
EPS/SAA,3,4000,4,62.5,62.5,2,16
EPS/SAA,3,4000,5,37.5,62.5,9,16
EPS/SAA,4,800,1,68.75,93.75,2,16
EPS/SAA,4,800,2,100.0,100.0,18,16
EPS/SAA,4,800,3,93.75,100.0,11,16
EPS/SAA,4,800,4,75.0,100.0,4,16
EPS/SAA,4,800,5,93.75,87.5,12,16
EPS/SAA,4,1500,1,81.25,87.5,5,16
EPS/SAA,4,1500,2,87.5,100.0,4,16
EPS/SAA,4,1500,3,93.75,93.75,4,16
EPS/SAA,4,1500,4,81.25,100.0,4,16
EPS/SAA,4,1500,5,93.75,93.75,8,16
EPS/SAA,4,3000,1,75.0,75.0,6,16
EPS/SAA,4,3000,2,93.75,81.25,10,16
EPS/SAA,4,3000,3,93.75,87.5,5,16
EPS/SAA,4,3000,4,81.25,93.75,11,16
EPS/SAA,4,3000,5,87.5,87.5,16,16
EPS/SAA,4,4000,1,87.5,75.0,16,16
EPS/SAA,4,4000,2,87.5,75.0,4,16
EPS/SAA,4,4000,3,62.5,100.0,17,16
EPS/SAA,4,4000,4,68.75,87.5,2,16
EPS/SAA,4,4000,5,87.5,87.5,17,16
EPS/SAA,5,800,1,75.0,93.75,19,16
EPS/SAA,5,800,2,93.75,81.25,11,16
EPS/SAA,5,800,3,87.5,81.25,11,16
EPS/SAA,5,800,4,93.75,87.5,1,16
EPS/SAA,5,800,5,68.75,87.5,4,16
EPS/SAA,5,1500,1,68.75,93.75,2,16
