pair,subject,window_ms,fold,accuracy,val_accuracy,best_epoch,n_test
HOC/SFE,1,800,1,83.33333333333333,77.77777777777777,26,18
HOC/SFE,1,800,2,55.55555555555556,77.77777777777777,11,18
HOC/SFE,1,800,3,38.888888888888886,66.66666666666667,1,18
HOC/SFE,1,800,4,55.55555555555556,83.33333333333333,15,18
HOC/SFE,1,800,5,44.44444444444444,77.77777777777777,8,18
HOC/SFE,1,1500,1,72.22222222222223,72.22222222222223,8,18
HOC/SFE,1,1500,2,66.66666666666667,88.88888888888889,4,18
HOC/SFE,1,1500,3,72.22222222222223,77.77777777777777,15,18
HOC/SFE,1,1500,4,44.44444444444444,83.33333333333333,1,18
HOC/SFE,1,1500,5,72.22222222222223,66.66666666666667,9,18
HOC/SFE,1,3000,1,61.111111111111114,72.22222222222223,7,18
HOC/SFE,1,3000,2,44.44444444444444,77.77777777777777,35,18
HOC/SFE,1,3000,3,72.22222222222223,77.77777777777777,22,18
HOC/SFE,1,3000,4,55.55555555555556,88.88888888888889,4,18
HOC/SFE,1,3000,5,72.22222222222223,77.77777777777777,31,18
HOC/SFE,1,4000,1,72.22222222222223,72.22222222222223,3,18
HOC/SFE,1,4000,2,55.55555555555556,83.33333333333333,28,18
HOC/SFE,1,4000,3,66.66666666666667,77.77777777777777,5,18
HOC/SFE,1,4000,4,61.111111111111114,83.33333333333333,4,18
HOC/SFE,1,4000,5,44.44444444444444,72.22222222222223,2,18
HOC/SFE,2,800,1,75.0,62.5,5,16
HOC/SFE,2,800,2,81.25,75.0,14,16
HOC/SFE,2,800,3,56.25,75.0,16,16
HOC/SFE,2,800,4,68.75,75.0,2,16
HOC/SFE,2,800,5,50.0,75.0,1,16
HOC/SFE,2,1500,1,75.0,68.75,9,16
HOC/SFE,2,1500,2,75.0,68.75,6,16
HOC/SFE,2,1500,3,68.75,81.25,16,16
HOC/SFE,2,1500,4,50.0,81.25,3,16
HOC/SFE,2,1500,5,75.0,62.5,18,16
HOC/SFE,2,3000,1,75.0,62.5,6,16
HOC/SFE,2,3000,2,68.75,56.25,3,16
HOC/SFE,2,3000,3,68.75,75.0,15,16
HOC/SFE,2,3000,4,56.25,87.5,8,16
HOC/SFE,2,3000,5,62.5,75.0,13,16
HOC/SFE,2,4000,1,81.25,68.75,12,16
HOC/SFE,2,4000,2,68.75,62.5,2,16
HOC/SFE,2,4000,3,56.25,87.5,9,16
