pair,subject,window_ms,accuracy,n_test
HOC/SPS,1,800,58.88888888888889,90
HOC/SPS,1,1500,71.11111111111111,90
HOC/SPS,1,3000,68.88888888888889,90
HOC/SPS,1,4000,73.33333333333333,90
HOC/SPS,2,800,65.0,80
HOC/SPS,2,1500,77.5,80
HOC/SPS,2,3000,76.25,80
HOC/SPS,2,4000,80.0,80
HOC/SPS,3,800,61.25000000000001,80
HOC/SPS,3,1500,76.25,80
HOC/SPS,3,3000,77.5,80
HOC/SPS,3,4000,71.25,80
HOC/SPS,4,800,91.25,80
HOC/SPS,4,1500,93.75,80
HOC/SPS,4,3000,90.0,80
HOC/SPS,4,4000,85.0,80
HOC/SPS,5,800,85.0,80
HOC/SPS,5,1500,82.5,80
HOC/SPS,5,3000,68.75,80
HOC/SPS,5,4000,63.74999999999999,80
HOC/SPS,6,800,73.75,80
HOC/SPS,6,1500,68.75,80
HOC/SPS,6,3000,65.0,80
HOC/SPS,6,4000,62.5,80
HOC/SPS,7,800,58.75,80
HOC/SPS,7,1500,72.5,80
HOC/SPS,7,3000,68.75,80
HOC/SPS,7,4000,67.5,80
HOC/SPS,8,800,45.0,80
HOC/SPS,8,1500,38.75,80
HOC/SPS,8,3000,48.75,80
HOC/SPS,8,4000,52.5,80
HOC/SPS,9,800,52.5,80
HOC/SPS,9,1500,55.00000000000001,80
HOC/SPS,9,3000,58.75,80
HOC/SPS,9,4000,67.5,80
HOC/SPS,10,800,75.0,80
HOC/SPS,10,1500,82.5,80
HOC/SPS,10,3000,81.25,80
HOC/SPS,10,4000,80.0,80
HOC/SPS,11,800,47.5,80
HOC/SPS,11,1500,57.49999999999999,80
HOC/SPS,11,3000,67.5,80
HOC/SPS,11,4000,76.25,80
HOC/SPS,12,800,61.25000000000001,80
HOC/SPS,12,1500,68.75,80
HOC/SPS,12,3000,70.0,80
HOC/SPS,12,4000,70.0,80
HOC/SPS,13,800,68.75,80
HOC/SPS,13,1500,72.5,80
HOC/SPS,13,3000,58.75,80
HOC/SPS,13,4000,61.25000000000001,80
HOC/SPS,14,800,72.5,80
HOC/SPS,14,1500,72.5,80
HOC/SPS,14,3000,83.75,80
HOC/SPS,14,4000,73.75,80
HOC/SPS,15,800,81.25,80
HOC/SPS,15,1500,78.75,80
HOC/SPS,15,3000,76.25,80
HOC/SPS,15,4000,72.5,80
HOC/SPS,16,800,68.75,80
HOC/SPS,16,1500,62.5,80
HOC/SPS,16,3000,70.0,80
HOC/SPS,16,4000,70.0,80
HOC/SPS,17,800,72.5,80
HOC/SPS,17,1500,61.25000000000001,80
HOC/SPS,17,3000,62.5,80
HOC/SPS,17,4000,55.00000000000001,80
HOC/SPS,18,800,66.25,80
HOC/SPS,18,1500,78.75,80
HOC/SPS,18,3000,77.5,80
HOC/SPS,18,4000,75.0,80
