pair,subject,window_ms,accuracy,n_test
HOC/WAA,1,800,54.44444444444444,90
HOC/WAA,1,1500,67.77777777777779,90
HOC/WAA,1,3000,68.88888888888889,90
HOC/WAA,1,4000,67.77777777777779,90
HOC/WAA,2,800,53.75,80
HOC/WAA,2,1500,61.25000000000001,80
HOC/WAA,2,3000,70.0,80
HOC/WAA,2,4000,68.75,80
HOC/WAA,3,800,76.25,80
HOC/WAA,3,1500,70.0,80
HOC/WAA,3,3000,63.74999999999999,80
HOC/WAA,3,4000,65.0,80
HOC/WAA,4,800,65.0,80
HOC/WAA,4,1500,68.75,80
HOC/WAA,4,3000,63.74999999999999,80
HOC/WAA,4,4000,61.25000000000001,80
HOC/WAA,5,800,67.5,80
HOC/WAA,5,1500,66.25,80
HOC/WAA,5,3000,66.25,80
HOC/WAA,5,4000,62.5,80
HOC/WAA,6,800,65.0,80
HOC/WAA,6,1500,70.0,80
HOC/WAA,6,3000,68.75,80
HOC/WAA,6,4000,70.0,80
HOC/WAA,7,800,56.25,80
HOC/WAA,7,1500,63.74999999999999,80
HOC/WAA,7,3000,71.25,80
HOC/WAA,7,4000,73.75,80
HOC/WAA,8,800,48.75,80
HOC/WAA,8,1500,50.0,80
HOC/WAA,8,3000,60.0,80
HOC/WAA,8,4000,57.49999999999999,80
HOC/WAA,9,800,51.24999999999999,80
HOC/WAA,9,1500,60.0,80
HOC/WAA,9,3000,61.25000000000001,80
HOC/WAA,9,4000,57.49999999999999,80
HOC/WAA,10,800,70.0,80
HOC/WAA,10,1500,61.25000000000001,80
HOC/WAA,10,3000,70.0,80
HOC/WAA,10,4000,62.5,80
HOC/WAA,11,800,55.00000000000001,80
HOC/WAA,11,1500,60.0,80
HOC/WAA,11,3000,62.5,80
HOC/WAA,11,4000,67.5,80
HOC/WAA,12,800,57.49999999999999,80
HOC/WAA,12,1500,66.25,80
HOC/WAA,12,3000,70.0,80
HOC/WAA,12,4000,68.75,80
HOC/WAA,13,800,72.5,80
HOC/WAA,13,1500,73.75,80
HOC/WAA,13,3000,78.75,80
HOC/WAA,13,4000,81.25,80
HOC/WAA,14,800,67.5,80
HOC/WAA,14,1500,68.75,80
HOC/WAA,14,3000,63.74999999999999,80
HOC/WAA,14,4000,61.25000000000001,80
HOC/WAA,15,800,50.0,80
HOC/WAA,15,1500,55.00000000000001,80
HOC/WAA,15,3000,45.0,80
HOC/WAA,15,4000,57.49999999999999,80
HOC/WAA,16,800,82.5,80
HOC/WAA,16,1500,77.5,80
HOC/WAA,16,3000,80.0,80
HOC/WAA,16,4000,75.0,80
HOC/WAA,17,800,61.25000000000001,80
HOC/WAA,17,1500,63.74999999999999,80
HOC/WAA,17,3000,70.0,80
HOC/WAA,17,4000,60.0,80
HOC/WAA,18,800,61.25000000000001,80
HOC/WAA,18,1500,56.25,80
HOC/WAA,18,3000,72.5,80
HOC/WAA,18,4000,76.25,80
