pair,subject,window_ms,accuracy,n_test
WAA/SFE,1,800,58.88888888888889,90
WAA/SFE,1,1500,68.88888888888889,90
WAA/SFE,1,3000,57.77777777777777,90
WAA/SFE,1,4000,51.11111111111111,90
WAA/SFE,2,800,71.25,80
WAA/SFE,2,1500,67.5,80
WAA/SFE,2,3000,66.25,80
WAA/SFE,2,4000,56.25,80
WAA/SFE,3,800,77.5,80
WAA/SFE,3,1500,78.75,80
WAA/SFE,3,3000,77.5,80
WAA/SFE,3,4000,77.5,80
WAA/SFE,4,800,85.0,80
WAA/SFE,4,1500,92.5,80
WAA/SFE,4,3000,90.0,80
WAA/SFE,4,4000,90.0,80
WAA/SFE,5,800,66.66666666666666,81
WAA/SFE,5,1500,75.30864197530865,81
WAA/SFE,5,3000,80.24691358024691,81
WAA/SFE,5,4000,77.77777777777779,81
WAA/SFE,6,800,63.74999999999999,80
WAA/SFE,6,1500,53.75,80
WAA/SFE,6,3000,66.25,80
WAA/SFE,6,4000,70.0,80
WAA/SFE,7,800,76.25,80
WAA/SFE,7,1500,82.5,80
WAA/SFE,7,3000,77.5,80
WAA/SFE,7,4000,76.25,80
WAA/SFE,8,800,52.5,80
WAA/SFE,8,1500,56.25,80
WAA/SFE,8,3000,47.5,80
WAA/SFE,8,4000,52.5,80
WAA/SFE,9,800,51.24999999999999,80
WAA/SFE,9,1500,52.5,80
WAA/SFE,9,3000,67.5,80
WAA/SFE,9,4000,57.49999999999999,80
WAA/SFE,10,800,58.75,80
WAA/SFE,10,1500,61.25000000000001,80
WAA/SFE,10,3000,61.25000000000001,80
WAA/SFE,10,4000,55.00000000000001,80
WAA/SFE,11,800,62.5,80
WAA/SFE,11,1500,63.74999999999999,80
WAA/SFE,11,3000,73.75,80
WAA/SFE,11,4000,67.5,80
WAA/SFE,12,800,57.49999999999999,80
WAA/SFE,12,1500,57.49999999999999,80
WAA/SFE,12,3000,60.0,80
WAA/SFE,12,4000,60.0,80
WAA/SFE,13,800,60.0,80
WAA/SFE,13,1500,62.5,80
WAA/SFE,13,3000,66.25,80
WAA/SFE,13,4000,63.74999999999999,80
WAA/SFE,14,800,65.0,80
WAA/SFE,14,1500,70.0,80
WAA/SFE,14,3000,63.74999999999999,80
WAA/SFE,14,4000,68.75,80
WAA/SFE,15,800,70.0,80
WAA/SFE,15,1500,75.0,80
WAA/SFE,15,3000,75.0,80
WAA/SFE,15,4000,76.25,80
WAA/SFE,16,800,62.5,80
WAA/SFE,16,1500,63.74999999999999,80
WAA/SFE,16,3000,66.25,80
WAA/SFE,16,4000,66.25,80
WAA/SFE,17,800,70.0,80
WAA/SFE,17,1500,61.25000000000001,80
WAA/SFE,17,3000,62.5,80
WAA/SFE,17,4000,57.49999999999999,80
WAA/SFE,18,800,81.25,80
WAA/SFE,18,1500,83.75,80
WAA/SFE,18,3000,85.0,80
WAA/SFE,18,4000,85.0,80
