pair,subject,window_ms,accuracy,n_test
EPS/SFE,1,800,63.33333333333333,90
EPS/SFE,1,1500,62.22222222222222,90
EPS/SFE,1,3000,53.333333333333336,90
EPS/SFE,1,4000,60.0,90
EPS/SFE,2,800,52.5,80
EPS/SFE,2,1500,65.0,80
EPS/SFE,2,3000,61.25000000000001,80
EPS/SFE,2,4000,62.5,80
EPS/SFE,3,800,72.5,80
EPS/SFE,3,1500,78.75,80
EPS/SFE,3,3000,66.25,80
EPS/SFE,3,4000,67.5,80
EPS/SFE,4,800,87.5,80
EPS/SFE,4,1500,85.0,80
EPS/SFE,4,3000,67.5,80
EPS/SFE,4,4000,68.75,80
EPS/SFE,5,800,62.96296296296296,81
EPS/SFE,5,1500,56.79012345679012,81
EPS/SFE,5,3000,66.66666666666666,81
EPS/SFE,5,4000,59.25925925925925,81
EPS/SFE,6,800,63.74999999999999,80
EPS/SFE,6,1500,67.5,80
EPS/SFE,6,3000,51.24999999999999,80
EPS/SFE,6,4000,62.5,80
EPS/SFE,7,800,72.5,80
EPS/SFE,7,1500,66.25,80
EPS/SFE,7,3000,57.49999999999999,80
EPS/SFE,7,4000,53.75,80
EPS/SFE,8,800,47.5,80
EPS/SFE,8,1500,52.5,80
EPS/SFE,8,3000,52.5,80
EPS/SFE,8,4000,48.75,80
EPS/SFE,9,800,56.25,80
EPS/SFE,9,1500,58.75,80
EPS/SFE,9,3000,53.75,80
EPS/SFE,9,4000,52.5,80
EPS/SFE,10,800,48.75,80
EPS/SFE,10,1500,52.5,80
EPS/SFE,10,3000,52.5,80
EPS/SFE,10,4000,65.0,80
EPS/SFE,11,800,55.00000000000001,80
EPS/SFE,11,1500,63.74999999999999,80
EPS/SFE,11,3000,58.75,80
EPS/SFE,11,4000,73.75,80
EPS/SFE,12,800,55.00000000000001,80
EPS/SFE,12,1500,52.5,80
EPS/SFE,12,3000,51.24999999999999,80
EPS/SFE,12,4000,52.5,80
EPS/SFE,13,800,52.5,80
EPS/SFE,13,1500,57.49999999999999,80
EPS/SFE,13,3000,60.0,80
EPS/SFE,13,4000,46.25,80
EPS/SFE,14,800,52.5,80
EPS/SFE,14,1500,65.0,80
EPS/SFE,14,3000,68.75,80
EPS/SFE,14,4000,56.25,80
EPS/SFE,15,800,51.24999999999999,80
EPS/SFE,15,1500,65.0,80
EPS/SFE,15,3000,53.75,80
EPS/SFE,15,4000,43.75,80
EPS/SFE,16,800,57.49999999999999,80
EPS/SFE,16,1500,46.25,80
EPS/SFE,16,3000,52.5,80
EPS/SFE,16,4000,45.0,80
EPS/SFE,17,800,52.5,80
EPS/SFE,17,1500,60.0,80
EPS/SFE,17,3000,58.75,80
EPS/SFE,17,4000,47.5,80
EPS/SFE,18,800,68.75,80
EPS/SFE,18,1500,73.75,80
EPS/SFE,18,3000,75.0,80
EPS/SFE,18,4000,86.25,80
