pair,subject,window_ms,fold,accuracy,val_accuracy,best_epoch,n_test
SPS/SFE,1,800,1,44.44444444444444,72.22222222222223,2,18
SPS/SFE,1,800,2,55.55555555555556,72.22222222222223,20,18
SPS/SFE,1,800,3,55.55555555555556,66.66666666666667,1,18
SPS/SFE,1,800,4,44.44444444444444,72.22222222222223,1,18
SPS/SFE,1,800,5,66.66666666666667,66.66666666666667,30,18
SPS/SFE,1,1500,1,55.55555555555556,61.111111111111114,36,18
SPS/SFE,1,1500,2,61.111111111111114,55.55555555555556,4,18
SPS/SFE,1,1500,3,44.44444444444444,66.66666666666667,3,18
SPS/SFE,1,1500,4,61.111111111111114,61.111111111111114,3,18
SPS/SFE,1,1500,5,72.22222222222223,61.111111111111114,1,18
SPS/SFE,1,3000,1,50.0,66.66666666666667,18,18
SPS/SFE,1,3000,2,44.44444444444444,66.66666666666667,10,18
SPS/SFE,1,3000,3,50.0,61.111111111111114,1,18
SPS/SFE,1,3000,4,55.55555555555556,61.111111111111114,2,18
SPS/SFE,1,3000,5,38.888888888888886,61.111111111111114,1,18
SPS/SFE,1,4000,1,50.0,50.0,1,18
SPS/SFE,1,4000,2,50.0,61.111111111111114,10,18
SPS/SFE,1,4000,3,44.44444444444444,61.111111111111114,10,18
SPS/SFE,1,4000,4,44.44444444444444,66.66666666666667,1,18
SPS/SFE,1,4000,5,55.55555555555556,55.55555555555556,12,18
SPS/SFE,2,800,1,31.25,56.25,5,16
SPS/SFE,2,800,2,68.75,87.5,10,16
SPS/SFE,2,800,3,62.5,56.25,1,16
SPS/SFE,2,800,4,43.75,62.5,1,16
SPS/SFE,2,800,5,56.25,68.75,16,16
SPS/SFE,2,1500,1,56.25,62.5,1,16
SPS/SFE,2,1500,2,50.0,87.5,2,16
SPS/SFE,2,1500,3,25.0,62.5,1,16
SPS/SFE,2,1500,4,62.5,68.75,10,16
SPS/SFE,2,1500,5,50.0,87.5,6,16
SPS/SFE,2,3000,1,75.0,62.5,6,16
SPS/SFE,2,3000,2,50.0,81.25,8,16
SPS/SFE,2,3000,3,43.75,87.5,7,16
SPS/SFE,2,3000,4,56.25,62.5,7,16
SPS/SFE,2,3000,5,56.25,87.5,5,16
SPS/SFE,2,4000,1,56.25,68.75,3,16
SPS/SFE,2,4000,2,56.25,81.25,3,16
SPS/SFE,2,4000,3,75.0,75.0,1,16
SPS/SFE,2,4000,4,56.25,68.75,9,16
SPS/SFE,2,4000,5,56.25,81.25,2,16
SPS/SFE,3,800,1,50.0,93.75,4,16
SPS/SFE,3,800,2,56.25,68.75,5,16
SPS/SFE,3,800,3,75.0,81.25,11,16
SPS/SFE,3,800,4,81.25,87.5,19,16
SPS/SFE,3,800,5,87.5,87.5,6,16
SPS/SFE,3,1500,1,50.0,87.5,4,16
SPS/SFE,3,1500,2,62.5,87.5,1,16
SPS/SFE,3,1500,3,62.5,81.25,2,16
SPS/SFE,3,1500,4,75.0,93.75,5,16
SPS/SFE,3,1500,5,81.25,75.0,10,16
SPS/SFE,3,3000,1,68.75,87.5,6,16
SPS/SFE,3,3000,2,56.25,87.5,1,16
SPS/SFE,3,3000,3,75.0,75.0,17,16
SPS/SFE,3,3000,4,87.5,87.5,6,16
SPS/SFE,3,3000,5,81.25,75.0,5,16
SPS/SFE,3,4000,1,56.25,81.25,4,16
SPS/SFE,3,4000,2,75.0,81.25,10,16
SPS/SFE,3,4000,3,68.75,87.5,7,16
SPS/SFE,3,4000,4,81.25,87.5,8,16
SPS/SFE,3,4000,5,68.75,68.75,2,16
SPS/SFE,4,800,1,56.25,87.5,4,16
SPS/SFE,4,800,2,93.75,75.0,13,16
SPS/SFE,4,800,3,62.5,75.0,9,16
SPS/SFE,4,800,4,81.25,87.5,9,16
SPS/SFE,4,800,5,62.5,75.0,8,16
SPS/SFE,4,1500,1,87.5,93.75,6,16
SPS/SFE,4,1500,2,93.75,93.75,9,16
SPS/SFE,4,1500,3,75.0,93.75,7,16
SPS/SFE,4,1500,4,68.75,81.25,2,16
SPS/SFE,4,1500,5,75.0,100.0,11,16
SPS/SFE,4,3000,1,62.5,81.25,2,16
SPS/SFE,4,3000,2,75.0,75.0,6,16
SPS/SFE,4,3000,3,68.75,81.25,5,16
SPS/SFE,4,3000,4,68.75,81.25,2,16
SPS/SFE,4,3000,5,50.0,93.75,15,16
SPS/SFE,4,4000,1,75.0,75.0,21,16
SPS/SFE,4,4000,2,81.25,81.25,12,16
SPS/SFE,4,4000,3,56.25,81.25,5,16
SPS/SFE,4,4000,4,87.5,81.25,9,16
SPS/SFE,4,4000,5,62.5,87.5,6,16
SPS/SFE,5,800,1,76.47058823529412,93.75,16,17
SPS/SFE,5,800,2,56.25,76.47058823529412,3,16
SPS/SFE,5,800,3,56.25,88.23529411764706,13,16
SPS/SFE,5,800,4,62.5,58.8235294117647,4,16
SPS/SFE,5,800,5,56.25,64.70588235294117,7,16
SPS/SFE,5,1500,1,76.47058823529412,75.0,25,17
SPS/SFE,5,1500,2,68.75,70.58823529411765,10,16
SPS/SFE,5,1500,3,56.25,94.11764705882354,10,16
SPS/SFE,5,1500,4,87.5,94.11764705882354,9,16
SPS/SFE,5,1500,5,75.0,88.23529411764706,8,16
SPS/SFE,5,3000,1,41.1764705882353,62.5,18,17
SPS/SFE,5,3000,2,68.75,58.8235294117647,7,16
SPS/SFE,5,3000,3,68.75,70.58823529411765,9,16
SPS/SFE,5,3000,4,50.0,64.70588235294117,1,16
SPS/SFE,5,3000,5,50.0,58.8235294117647,16,16
SPS/SFE,5,4000,1,58.8235294117647,68.75,4,17
SPS/SFE,5,4000,2,75.0,76.47058823529412,22,16
SPS/SFE,5,4000,3,62.5,58.8235294117647,1,16
SPS/SFE,5,4000,4,87.5,52.94117647058823,9,16
SPS/SFE,5,4000,5,43.75,58.8235294117647,2,16
SPS/SFE,6,800,1,56.25,68.75,1,16
SPS/SFE,6,800,2,18.75,81.25,7,16
SPS/SFE,6,800,3,68.75,50.0,1,16
SPS/SFE,6,800,4,56.25,75.0,5,16
SPS/SFE,6,800,5,43.75,50.0,4,16
SPS/SFE,6,1500,1,56.25,56.25,6,16
SPS/SFE,6,1500,2,56.25,81.25,17,16
SPS/SFE,6,1500,3,68.75,62.5,2,16
SPS/SFE,6,1500,4,56.25,62.5,8,16
SPS/SFE,6,1500,5,31.25,68.75,15,16
SPS/SFE,6,3000,1,50.0,56.25,2,16
SPS/SFE,6,3000,2,56.25,50.0,1,16
SPS/SFE,6,3000,3,50.0,50.0,1,16
SPS/SFE,6,3000,4,43.75,68.75,11,16
SPS/SFE,6,3000,5,37.5,68.75,2,16
SPS/SFE,6,4000,1,62.5,62.5,6,16
SPS/SFE,6,4000,2,43.75,62.5,14,16
SPS/SFE,6,4000,3,56.25,68.75,26,16
SPS/SFE,6,4000,4,43.75,62.5,6,16
SPS/SFE,6,4000,5,50.0,62.5,2,16
SPS/SFE,7,800,1,68.75,87.5,11,16
SPS/SFE,7,800,2,68.75,81.25,4,16
SPS/SFE,7,800,3,62.5,68.75,3,16
SPS/SFE,7,800,4,50.0,50.0,1,16
SPS/SFE,7,800,5,56.25,68.75,24,16
SPS/SFE,7,1500,1,68.75,81.25,19,16
SPS/SFE,7,1500,2,62.5,62.5,3,16
SPS/SFE,7,1500,3,31.25,81.25,14,16
SPS/SFE,7,1500,4,50.0,56.25,1,16
