pair,subject,window_ms,fold,accuracy,val_accuracy,best_epoch,n_test
WAA/EPS,1,800,1,66.66666666666667,72.22222222222223,9,18
WAA/EPS,1,800,2,33.333333333333336,61.111111111111114,5,18
WAA/EPS,1,800,3,50.0,72.22222222222223,15,18
WAA/EPS,1,800,4,44.44444444444444,55.55555555555556,4,18
WAA/EPS,1,800,5,72.22222222222223,77.77777777777777,12,18
WAA/EPS,1,1500,1,44.44444444444444,61.111111111111114,7,18
WAA/EPS,1,1500,2,50.0,72.22222222222223,10,18
WAA/EPS,1,1500,3,55.55555555555556,66.66666666666667,5,18
WAA/EPS,1,1500,4,50.0,66.66666666666667,15,18
WAA/EPS,1,1500,5,55.55555555555556,61.111111111111114,9,18
WAA/EPS,1,3000,1,44.44444444444444,77.77777777777777,5,18
WAA/EPS,1,3000,2,83.33333333333333,66.66666666666667,13,18
WAA/EPS,1,3000,3,61.111111111111114,77.77777777777777,9,18
WAA/EPS,1,3000,4,50.0,88.88888888888889,22,18
WAA/EPS,1,3000,5,66.66666666666667,61.111111111111114,18,18
WAA/EPS,1,4000,1,50.0,77.77777777777777,27,18
WAA/EPS,1,4000,2,61.111111111111114,66.66666666666667,2,18
WAA/EPS,1,4000,3,66.66666666666667,72.22222222222223,14,18
WAA/EPS,1,4000,4,55.55555555555556,66.66666666666667,1,18
WAA/EPS,1,4000,5,66.66666666666667,72.22222222222223,7,18
WAA/EPS,2,800,1,50.0,68.75,16,16
WAA/EPS,2,800,2,50.0,81.25,7,16
WAA/EPS,2,800,3,50.0,68.75,1,16
WAA/EPS,2,800,4,50.0,87.5,13,16
WAA/EPS,2,800,5,56.25,62.5,7,16
WAA/EPS,2,1500,1,62.5,68.75,1,16
WAA/EPS,2,1500,2,50.0,62.5,8,16
WAA/EPS,2,1500,3,43.75,68.75,1,16
WAA/EPS,2,1500,4,75.0,87.5,25,16
WAA/EPS,2,1500,5,62.5,62.5,2,16
WAA/EPS,2,3000,1,62.5,68.75,2,16
WAA/EPS,2,3000,2,62.5,68.75,11,16
WAA/EPS,2,3000,3,62.5,75.0,1,16
WAA/EPS,2,3000,4,62.5,81.25,12,16
WAA/EPS,2,3000,5,56.25,62.5,1,16
WAA/EPS,2,4000,1,68.75,81.25,13,16
WAA/EPS,2,4000,2,56.25,68.75,1,16
WAA/EPS,2,4000,3,81.25,68.75,5,16
WAA/EPS,2,4000,4,50.0,81.25,42,16
WAA/EPS,2,4000,5,50.0,81.25,6,16
WAA/EPS,3,800,1,87.5,68.75,2,16
WAA/EPS,3,800,2,56.25,81.25,1,16
WAA/EPS,3,800,3,68.75,87.5,16,16
WAA/EPS,3,800,4,37.5,68.75,1,16
WAA/EPS,3,800,5,43.75,68.75,1,16
WAA/EPS,3,1500,1,68.75,81.25,5,16
WAA/EPS,3,1500,2,56.25,87.5,6,16
WAA/EPS,3,1500,3,50.0,68.75,4,16
WAA/EPS,3,1500,4,62.5,68.75,14,16
WAA/EPS,3,1500,5,81.25,62.5,7,16
WAA/EPS,3,3000,1,62.5,68.75,8,16
WAA/EPS,3,3000,2,50.0,50.0,1,16
WAA/EPS,3,3000,3,50.0,50.0,1,16
WAA/EPS,3,3000,4,50.0,68.75,1,16
WAA/EPS,3,3000,5,56.25,62.5,2,16
WAA/EPS,3,4000,1,62.5,50.0,4,16
WAA/EPS,3,4000,2,43.75,50.0,2,16
WAA/EPS,3,4000,3,56.25,62.5,4,16
WAA/EPS,3,4000,4,43.75,56.25,5,16
WAA/EPS,3,4000,5,68.75,56.25,2,16
WAA/EPS,4,800,1,68.75,87.5,20,16
WAA/EPS,4,800,2,68.75,75.0,3,16
WAA/EPS,4,800,3,81.25,87.5,4,16
WAA/EPS,4,800,4,56.25,81.25,15,16
WAA/EPS,4,800,5,75.0,75.0,6,16
WAA/EPS,4,1500,1,68.75,81.25,6,16
WAA/EPS,4,1500,2,87.5,75.0,12,16
WAA/EPS,4,1500,3,68.75,81.25,4,16
WAA/EPS,4,1500,4,68.75,68.75,19,16
WAA/EPS,4,1500,5,68.75,81.25,8,16
WAA/EPS,4,3000,1,43.75,75.0,2,16
WAA/EPS,4,3000,2,62.5,75.0,2,16
WAA/EPS,4,3000,3,56.25,93.75,22,16
WAA/EPS,4,3000,4,31.25,56.25,1,16
WAA/EPS,4,3000,5,50.0,75.0,2,16
WAA/EPS,4,4000,1,75.0,68.75,5,16
WAA/EPS,4,4000,2,68.75,81.25,4,16
WAA/EPS,4,4000,3,75.0,75.0,19,16
WAA/EPS,4,4000,4,56.25,87.5,2,16
WAA/EPS,4,4000,5,62.5,75.0,10,16
WAA/EPS,5,800,1,68.75,81.25,12,16
WAA/EPS,5,800,2,43.75,68.75,2,16
WAA/EPS,5,800,3,50.0,68.75,1,16
WAA/EPS,5,800,4,68.75,75.0,10,16
WAA/EPS,5,800,5,62.5,81.25,14,16
WAA/EPS,5,1500,1,75.0,87.5,3,16
WAA/EPS,5,1500,2,68.75,81.25,1,16
WAA/EPS,5,1500,3,68.75,56.25,1,16
WAA/EPS,5,1500,4,50.0,75.0,3,16
WAA/EPS,5,1500,5,56.25,75.0,1,16
WAA/EPS,5,3000,1,50.0,75.0,20,16
WAA/EPS,5,3000,2,68.75,75.0,12,16
WAA/EPS,5,3000,3,56.25,62.5,6,16
WAA/EPS,5,3000,4,43.75,50.0,2,16
