pair,subject,window_ms,fold,accuracy,val_accuracy,best_epoch,n_test
WFE/SPS,1,800,1,61.111111111111114,83.33333333333333,15,18
WFE/SPS,1,800,2,66.66666666666667,77.77777777777777,10,18
WFE/SPS,1,800,3,66.66666666666667,83.33333333333333,12,18
WFE/SPS,1,800,4,77.77777777777777,88.88888888888889,4,18
WFE/SPS,1,800,5,38.888888888888886,72.22222222222223,1,18
WFE/SPS,1,1500,1,83.33333333333333,83.33333333333333,9,18
WFE/SPS,1,1500,2,72.22222222222223,88.88888888888889,16,18
WFE/SPS,1,1500,3,94.44444444444444,83.33333333333333,9,18
WFE/SPS,1,1500,4,77.77777777777777,88.88888888888889,6,18
WFE/SPS,1,1500,5,77.77777777777777,100.0,3,18
WFE/SPS,1,3000,1,66.66666666666667,77.77777777777777,5,18
WFE/SPS,1,3000,2,50.0,83.33333333333333,3,18
WFE/SPS,1,3000,3,61.111111111111114,72.22222222222223,4,18
WFE/SPS,1,3000,4,72.22222222222223,72.22222222222223,16,18
WFE/SPS,1,3000,5,55.55555555555556,66.66666666666667,4,18
WFE/SPS,1,4000,1,72.22222222222223,77.77777777777777,44,18
WFE/SPS,1,4000,2,61.111111111111114,72.22222222222223,10,18
WFE/SPS,1,4000,3,55.55555555555556,72.22222222222223,2,18
WFE/SPS,1,4000,4,44.44444444444444,66.66666666666667,1,18
WFE/SPS,1,4000,5,55.55555555555556,66.66666666666667,5,18
WFE/SPS,2,800,1,56.25,62.5,1,16
WFE/SPS,2,800,2,50.0,75.0,7,16
WFE/SPS,2,800,3,56.25,68.75,10,16
WFE/SPS,2,800,4,62.5,75.0,18,16
WFE/SPS,2,800,5,81.25,43.75,11,16
WFE/SPS,2,1500,1,75.0,68.75,10,16
WFE/SPS,2,1500,2,56.25,75.0,1,16
WFE/SPS,2,1500,3,37.5,56.25,4,16
WFE/SPS,2,1500,4,62.5,56.25,4,16
WFE/SPS,2,1500,5,68.75,56.25,9,16
WFE/SPS,2,3000,1,68.75,68.75,15,16
WFE/SPS,2,3000,2,62.5,68.75,3,16
WFE/SPS,2,3000,3,31.25,62.5,2,16
WFE/SPS,2,3000,4,56.25,62.5,5,16
WFE/SPS,2,3000,5,50.0,50.0,2,16
WFE/SPS,2,4000,1,50.0,56.25,3,16
WFE/SPS,2,4000,2,62.5,56.25,10,16
WFE/SPS,2,4000,3,68.75,75.0,8,16
WFE/SPS,2,4000,4,50.0,56.25,3,16
WFE/SPS,2,4000,5,50.0,56.25,4,16
WFE/SPS,3,800,1,62.5,75.0,7,16
WFE/SPS,3,800,2,62.5,62.5,2,16
WFE/SPS,3,800,3,81.25,75.0,1,16
WFE/SPS,3,800,4,62.5,75.0,4,16
WFE/SPS,3,800,5,56.25,75.0,10,16
WFE/SPS,3,1500,1,81.25,87.5,10,16
WFE/SPS,3,1500,2,62.5,81.25,1,16
WFE/SPS,3,1500,3,75.0,81.25,18,16
WFE/SPS,3,1500,4,87.5,75.0,2,16
WFE/SPS,3,1500,5,68.75,100.0,9,16
WFE/SPS,3,3000,1,75.0,62.5,8,16
WFE/SPS,3,3000,2,62.5,87.5,8,16
WFE/SPS,3,3000,3,50.0,50.0,5,16
WFE/SPS,3,3000,4,81.25,62.5,3,16
WFE/SPS,3,3000,5,50.0,62.5,3,16
WFE/SPS,3,4000,1,68.75,56.25,2,16
WFE/SPS,3,4000,2,62.5,75.0,18,16
WFE/SPS,3,4000,3,56.25,56.25,8,16
WFE/SPS,3,4000,4,68.75,75.0,6,16
WFE/SPS,3,4000,5,62.5,68.75,12,16
WFE/SPS,4,800,1,81.25,100.0,7,16
WFE/SPS,4,800,2,93.75,100.0,4,16
WFE/SPS,4,800,3,81.25,93.75,8,16
WFE/SPS,4,800,4,81.25,93.75,3,16
WFE/SPS,4,800,5,81.25,93.75,17,16
WFE/SPS,4,1500,1,81.25,100.0,25,16
WFE/SPS,4,1500,2,93.75,93.75,4,16
WFE/SPS,4,1500,3,87.5,87.5,3,16
WFE/SPS,4,1500,4,93.75,93.75,6,16
WFE/SPS,4,1500,5,87.5,93.75,15,16
WFE/SPS,4,3000,1,87.5,75.0,2,16
WFE/SPS,4,3000,2,81.25,87.5,12,16
WFE/SPS,4,3000,3,68.75,87.5,8,16
WFE/SPS,4,3000,4,68.75,100.0,40,16
WFE/SPS,4,3000,5,81.25,87.5,8,16
WFE/SPS,4,4000,1,68.75,62.5,7,16
WFE/SPS,4,4000,2,68.75,81.25,21,16
WFE/SPS,4,4000,3,68.75,75.0,5,16
WFE/SPS,4,4000,4,62.5,87.5,5,16
WFE/SPS,4,4000,5,75.0,68.75,4,16
WFE/SPS,5,800,1,81.25,81.25,10,16
WFE/SPS,5,800,2,62.5,68.75,1,16
WFE/SPS,5,800,3,62.5,81.25,2,16
WFE/SPS,5,800,4,81.25,75.0,6,16
WFE/SPS,5,800,5,56.25,93.75,17,16
WFE/SPS,5,1500,1,68.75,62.5,3,16
WFE/SPS,5,1500,2,75.0,62.5,20,16
WFE/SPS,5,1500,3,50.0,75.0,2,16
WFE/SPS,5,1500,4,50.0,93.75,16,16
WFE/SPS,5,1500,5,56.25,81.25,4,16
WFE/SPS,5,3000,1,62.5,62.5,1,16
WFE/SPS,5,3000,2,62.5,68.75,3,16
WFE/SPS,5,3000,3,50.0,68.75,2,16
WFE/SPS,5,3000,4,56.25,68.75,4,16
WFE/SPS,5,3000,5,56.25,75.0,2,16
WFE/SPS,5,4000,1,62.5,62.5,5,16
WFE/SPS,5,4000,2,56.25,75.0,12,16
WFE/SPS,5,4000,3,50.0,75.0,8,16
WFE/SPS,5,4000,4,62.5,68.75,16,16
WFE/SPS,5,4000,5,50.0,81.25,5,16
WFE/SPS,6,800,1,62.5,50.0,30,16
WFE/SPS,6,800,2,50.0,56.25,3,16
WFE/SPS,6,800,3,50.0,68.75,5,16
WFE/SPS,6,800,4,62.5,75.0,20,16
WFE/SPS,6,800,5,56.25,62.5,3,16
WFE/SPS,6,1500,1,75.0,68.75,6,16
WFE/SPS,6,1500,2,62.5,56.25,13,16
WFE/SPS,6,1500,3,62.5,75.0,3,16
WFE/SPS,6,1500,4,62.5,75.0,14,16
WFE/SPS,6,1500,5,56.25,75.0,4,16
WFE/SPS,6,3000,1,62.5,75.0,3,16
WFE/SPS,6,3000,2,43.75,81.25,18,16
WFE/SPS,6,3000,3,31.25,68.75,2,16
WFE/SPS,6,3000,4,31.25,81.25,18,16
WFE/SPS,6,3000,5,81.25,75.0,8,16
WFE/SPS,6,4000,1,68.75,75.0,6,16
WFE/SPS,6,4000,2,31.25,75.0,3,16
WFE/SPS,6,4000,3,56.25,68.75,4,16
WFE/SPS,6,4000,4,56.25,68.75,23,16
WFE/SPS,6,4000,5,87.5,81.25,12,16
WFE/SPS,7,800,1,68.75,62.5,3,16
WFE/SPS,7,800,2,68.75,87.5,1,16
WFE/SPS,7,800,3,56.25,68.75,7,16
WFE/SPS,7,800,4,62.5,81.25,26,16
WFE/SPS,7,800,5,56.25,75.0,20,16
WFE/SPS,7,1500,1,62.5,81.25,11,16
WFE/SPS,7,1500,2,81.25,62.5,14,16
WFE/SPS,7,1500,3,75.0,87.5,5,16
WFE/SPS,7,1500,4,62.5,75.0,8,16
WFE/SPS,7,1500,5,81.25,75.0,13,16
WFE/SPS,7,3000,1,56.25,87.5,13,16
WFE/SPS,7,3000,2,62.5,81.25,13,16
WFE/SPS,7,3000,3,62.5,62.5,8,16
WFE/SPS,7,3000,4,68.75,68.75,9,16
WFE/SPS,7,3000,5,75.0,68.75,9,16
WFE/SPS,7,4000,1,68.75,68.75,2,16
WFE/SPS,7,4000,2,50.0,68.75,3,16
WFE/SPS,7,4000,3,81.25,62.5,6,16
WFE/SPS,7,4000,4,56.25,62.5,9,16
WFE/SPS,7,4000,5,75.0,68.75,6,16
WFE/SPS,8,800,1,50.0,62.5,1,16
WFE/SPS,8,800,2,43.75,68.75,6,16
WFE/SPS,8,800,3,62.5,62.5,3,16
WFE/SPS,8,800,4,43.75,62.5,1,16
WFE/SPS,8,800,5,50.0,68.75,14,16
WFE/SPS,8,1500,1,43.75,75.0,3,16
WFE/SPS,8,1500,2,43.75,62.5,3,16
WFE/SPS,8,1500,3,56.25,75.0,5,16
WFE/SPS,8,1500,4,50.0,75.0,3,16
WFE/SPS,8,1500,5,50.0,56.25,3,16
WFE/SPS,8,3000,1,68.75,50.0,10,16
WFE/SPS,8,3000,2,50.0,56.25,25,16
WFE/SPS,8,3000,3,43.75,68.75,3,16
WFE/SPS,8,3000,4,50.0,62.5,1,16
WFE/SPS,8,3000,5,37.5,81.25,9,16
WFE/SPS,8,4000,1,62.5,56.25,3,16
WFE/SPS,8,4000,2,68.75,62.5,43,16
WFE/SPS,8,4000,3,37.5,62.5,3,16
WFE/SPS,8,4000,4,37.5,68.75,8,16
WFE/SPS,8,4000,5,31.25,75.0,18,16
WFE/SPS,9,800,1,31.25,62.5,2,16
WFE/SPS,9,800,2,50.0,50.0,1,16
WFE/SPS,9,800,3,56.25,56.25,6,16
WFE/SPS,9,800,4,50.0,50.0,1,16
WFE/SPS,9,800,5,31.25,81.25,27,16
WFE/SPS,9,1500,1,50.0,56.25,1,16
WFE/SPS,9,1500,2,56.25,62.5,11,16
WFE/SPS,9,1500,3,56.25,75.0,2,16
WFE/SPS,9,1500,4,50.0,62.5,2,16
WFE/SPS,9,1500,5,56.25,62.5,2,16
WFE/SPS,9,3000,1,75.0,56.25,10,16
WFE/SPS,9,3000,2,43.75,56.25,2,16
WFE/SPS,9,3000,3,56.25,62.5,12,16
WFE/SPS,9,3000,4,37.5,62.5,5,16
WFE/SPS,9,3000,5,43.75,56.25,1,16
WFE/SPS,9,4000,1,62.5,75.0,7,16
WFE/SPS,9,4000,2,43.75,56.25,3,16
WFE/SPS,9,4000,3,43.75,62.5,2,16
WFE/SPS,9,4000,4,56.25,93.75,22,16
WFE/SPS,9,4000,5,68.75,62.5,8,16
WFE/SPS,10,800,1,68.75,75.0,3,16
WFE/SPS,10,800,2,68.75,93.75,8,16
WFE/SPS,10,800,3,75.0,75.0,4,16
WFE/SPS,10,800,4,62.5,75.0,11,16
WFE/SPS,10,800,5,62.5,75.0,5,16
WFE/SPS,10,1500,1,75.0,75.0,3,16
WFE/SPS,10,1500,2,81.25,81.25,4,16
WFE/SPS,10,1500,3,68.75,81.25,1,16
WFE/SPS,10,1500,4,75.0,87.5,1,16
WFE/SPS,10,1500,5,68.75,93.75,17,16
WFE/SPS,10,3000,1,81.25,81.25,9,16
WFE/SPS,10,3000,2,75.0,93.75,23,16
WFE/SPS,10,3000,3,81.25,81.25,2,16
WFE/SPS,10,3000,4,93.75,87.5,3,16
WFE/SPS,10,3000,5,68.75,87.5,5,16
WFE/SPS,10,4000,1,100.0,81.25,8,16
WFE/SPS,10,4000,2,75.0,68.75,1,16
WFE/SPS,10,4000,3,81.25,81.25,9,16
WFE/SPS,10,4000,4,81.25,81.25,3,16
WFE/SPS,10,4000,5,62.5,81.25,4,16
WFE/SPS,11,800,1,43.75,62.5,3,16
WFE/SPS,11,800,2,62.5,62.5,6,16
WFE/SPS,11,800,3,56.25,62.5,1,16
WFE/SPS,11,800,4,62.5,62.5,6,16
WFE/SPS,11,800,5,50.0,50.0,1,16
WFE/SPS,11,1500,1,50.0,75.0,2,16
WFE/SPS,11,1500,2,75.0,62.5,17,16
WFE/SPS,11,1500,3,68.75,81.25,25,16
WFE/SPS,11,1500,4,50.0,75.0,16,16
WFE/SPS,11,1500,5,75.0,68.75,17,16
WFE/SPS,11,3000,1,56.25,75.0,4,16
WFE/SPS,11,3000,2,68.75,75.0,12,16
WFE/SPS,11,3000,3,50.0,81.25,6,16
WFE/SPS,11,3000,4,56.25,75.0,3,16
WFE/SPS,11,3000,5,75.0,75.0,10,16
WFE/SPS,11,4000,1,62.5,75.0,7,16
WFE/SPS,11,4000,2,81.25,68.75,7,16
WFE/SPS,11,4000,3,56.25,81.25,5,16
WFE/SPS,11,4000,4,37.5,75.0,2,16
WFE/SPS,11,4000,5,62.5,68.75,2,16
WFE/SPS,12,800,1,56.25,75.0,17,16
WFE/SPS,12,800,2,75.0,75.0,17,16
WFE/SPS,12,800,3,56.25,87.5,11,16
WFE/SPS,12,800,4,43.75,81.25,7,16
WFE/SPS,12,800,5,56.25,81.25,2,16
WFE/SPS,12,1500,1,62.5,87.5,2,16
WFE/SPS,12,1500,2,68.75,87.5,7,16
WFE/SPS,12,1500,3,75.0,81.25,13,16
WFE/SPS,12,1500,4,68.75,75.0,17,16
WFE/SPS,12,1500,5,75.0,81.25,10,16
WFE/SPS,12,3000,1,62.5,87.5,15,16
WFE/SPS,12,3000,2,81.25,75.0,4,16
WFE/SPS,12,3000,3,68.75,81.25,11,16
WFE/SPS,12,3000,4,62.5,75.0,9,16
WFE/SPS,12,3000,5,81.25,87.5,4,16
WFE/SPS,12,4000,1,62.5,87.5,29,16
WFE/SPS,12,4000,2,81.25,81.25,22,16
WFE/SPS,12,4000,3,75.0,87.5,18,16
WFE/SPS,12,4000,4,68.75,75.0,14,16
WFE/SPS,12,4000,5,68.75,81.25,6,16
WFE/SPS,13,800,1,43.75,56.25,2,16
WFE/SPS,13,800,2,43.75,62.5,3,16
WFE/SPS,13,800,3,50.0,62.5,1,16
WFE/SPS,13,800,4,62.5,56.25,1,16
WFE/SPS,13,800,5,50.0,50.0,1,16
WFE/SPS,13,1500,1,56.25,81.25,9,16
WFE/SPS,13,1500,2,56.25,75.0,1,16
WFE/SPS,13,1500,3,68.75,81.25,6,16
WFE/SPS,13,1500,4,75.0,75.0,4,16
WFE/SPS,13,1500,5,56.25,87.5,17,16
WFE/SPS,13,3000,1,43.75,87.5,8,16
WFE/SPS,13,3000,2,68.75,68.75,7,16
WFE/SPS,13,3000,3,62.5,62.5,20,16
WFE/SPS,13,3000,4,50.0,81.25,1,16
WFE/SPS,13,3000,5,43.75,75.0,10,16
WFE/SPS,13,4000,1,68.75,68.75,1,16
WFE/SPS,13,4000,2,75.0,62.5,10,16
WFE/SPS,13,4000,3,50.0,56.25,1,16
WFE/SPS,13,4000,4,75.0,87.5,18,16
WFE/SPS,13,4000,5,50.0,87.5,14,16
WFE/SPS,14,800,1,50.0,68.75,4,16
WFE/SPS,14,800,2,43.75,68.75,4,16
WFE/SPS,14,800,3,75.0,81.25,10,16
WFE/SPS,14,800,4,37.5,68.75,2,16
WFE/SPS,14,800,5,50.0,62.5,1,16
WFE/SPS,14,1500,1,75.0,81.25,19,16
WFE/SPS,14,1500,2,56.25,81.25,11,16
WFE/SPS,14,1500,3,75.0,100.0,6,16
WFE/SPS,14,1500,4,68.75,81.25,18,16
WFE/SPS,14,1500,5,62.5,81.25,17,16
WFE/SPS,14,3000,1,43.75,68.75,5,16
WFE/SPS,14,3000,2,50.0,68.75,6,16
WFE/SPS,14,3000,3,62.5,68.75,10,16
WFE/SPS,14,3000,4,50.0,62.5,19,16
WFE/SPS,14,3000,5,43.75,62.5,14,16
WFE/SPS,14,4000,1,62.5,68.75,5,16
WFE/SPS,14,4000,2,75.0,81.25,9,16
WFE/SPS,14,4000,3,31.25,56.25,2,16
WFE/SPS,14,4000,4,56.25,68.75,11,16
WFE/SPS,14,4000,5,43.75,68.75,3,16
WFE/SPS,15,800,1,81.25,100.0,3,16
WFE/SPS,15,800,2,87.5,87.5,2,16
WFE/SPS,15,800,3,81.25,87.5,15,16
WFE/SPS,15,800,4,81.25,93.75,8,16
WFE/SPS,15,800,5,68.75,93.75,2,16
WFE/SPS,15,1500,1,75.0,100.0,7,16
WFE/SPS,15,1500,2,93.75,87.5,23,16
WFE/SPS,15,1500,3,75.0,81.25,5,16
WFE/SPS,15,1500,4,81.25,100.0,17,16
WFE/SPS,15,1500,5,93.75,87.5,2,16
WFE/SPS,15,3000,1,50.0,68.75,1,16
WFE/SPS,15,3000,2,68.75,62.5,4,16
WFE/SPS,15,3000,3,62.5,75.0,24,16
WFE/SPS,15,3000,4,43.75,68.75,1,16
WFE/SPS,15,3000,5,75.0,75.0,3,16
WFE/SPS,15,4000,1,68.75,68.75,12,16
WFE/SPS,15,4000,2,62.5,68.75,5,16
WFE/SPS,15,4000,3,50.0,75.0,21,16
WFE/SPS,15,4000,4,56.25,75.0,21,16
WFE/SPS,15,4000,5,62.5,68.75,12,16
WFE/SPS,16,800,1,37.5,81.25,10,16
WFE/SPS,16,800,2,56.25,50.0,12,16
WFE/SPS,16,800,3,50.0,50.0,2,16
WFE/SPS,16,800,4,56.25,62.5,9,16
WFE/SPS,16,800,5,75.0,68.75,4,16
WFE/SPS,16,1500,1,31.25,56.25,4,16
WFE/SPS,16,1500,2,62.5,56.25,1,16
WFE/SPS,16,1500,3,62.5,75.0,12,16
WFE/SPS,16,1500,4,43.75,62.5,19,16
WFE/SPS,16,1500,5,50.0,75.0,7,16
WFE/SPS,16,3000,1,50.0,50.0,2,16
WFE/SPS,16,3000,2,62.5,56.25,7,16
WFE/SPS,16,3000,3,62.5,50.0,1,16
WFE/SPS,16,3000,4,37.5,62.5,2,16
WFE/SPS,16,3000,5,37.5,87.5,2,16
WFE/SPS,16,4000,1,37.5,56.25,1,16
WFE/SPS,16,4000,2,50.0,81.25,19,16
WFE/SPS,16,4000,3,50.0,68.75,15,16
WFE/SPS,16,4000,4,43.75,68.75,9,16
WFE/SPS,16,4000,5,62.5,56.25,3,16
WFE/SPS,17,800,1,62.5,68.75,2,16
WFE/SPS,17,800,2,56.25,68.75,16,16
WFE/SPS,17,800,3,56.25,75.0,4,16
WFE/SPS,17,800,4,56.25,81.25,2,16
WFE/SPS,17,800,5,56.25,56.25,3,16
WFE/SPS,17,1500,1,62.5,68.75,11,16
WFE/SPS,17,1500,2,75.0,81.25,6,16
WFE/SPS,17,1500,3,56.25,75.0,4,16
WFE/SPS,17,1500,4,62.5,56.25,4,16
WFE/SPS,17,1500,5,75.0,81.25,9,16
WFE/SPS,17,3000,1,68.75,62.5,13,16
WFE/SPS,17,3000,2,81.25,68.75,9,16
WFE/SPS,17,3000,3,75.0,62.5,8,16
WFE/SPS,17,3000,4,75.0,68.75,7,16
WFE/SPS,17,3000,5,68.75,75.0,37,16
WFE/SPS,17,4000,1,62.5,56.25,2,16
WFE/SPS,17,4000,2,50.0,50.0,1,16
WFE/SPS,17,4000,3,43.75,56.25,5,16
WFE/SPS,17,4000,4,75.0,62.5,1,16
WFE/SPS,17,4000,5,50.0,50.0,1,16
WFE/SPS,18,800,1,68.75,87.5,8,16
WFE/SPS,18,800,2,81.25,81.25,10,16
WFE/SPS,18,800,3,62.5,93.75,8,16
WFE/SPS,18,800,4,56.25,75.0,10,16
WFE/SPS,18,800,5,81.25,68.75,2,16
WFE/SPS,18,1500,1,87.5,75.0,6,16
WFE/SPS,18,1500,2,62.5,87.5,16,16
WFE/SPS,18,1500,3,68.75,87.5,12,16
WFE/SPS,18,1500,4,75.0,100.0,5,16
WFE/SPS,18,1500,5,75.0,87.5,10,16
WFE/SPS,18,3000,1,93.75,93.75,5,16
WFE/SPS,18,3000,2,93.75,100.0,5,16
WFE/SPS,18,3000,3,68.75,100.0,5,16
WFE/SPS,18,3000,4,75.0,93.75,5,16
WFE/SPS,18,3000,5,81.25,93.75,19,16
WFE/SPS,18,4000,1,81.25,87.5,1,16
WFE/SPS,18,4000,2,87.5,100.0,5,16
WFE/SPS,18,4000,3,81.25,100.0,11,16
WFE/SPS,18,4000,4,75.0,100.0,19,16
WFE/SPS,18,4000,5,93.75,93.75,10,16
