model,window,mean_acc,sd_acc,n_subjects,n_pairs,n_pairs_best
conformer_a,800,54.62962962962963,7.594850612744399,2,3,2
conformer_a,1500,61.59722222222222,0.6874649261535923,2,3,3
conformer_a,3000,56.92129629629629,6.121711485272429,2,3,2
conformer_a,4000,57.96296296296296,12.308895820654719,2,3,2
conformer_a,avg,57.777777777777786,6.678230711206276,2,3,3
conformer_b,800,52.15277777777778,0.09820927516479604,2,3,1
conformer_b,1500,51.550925925925924,4.288471682196197,2,3,0
conformer_b,3000,50.20833333333333,5.008673033404714,2,3,0
conformer_b,4000,50.69444444444444,11.981531570105393,2,3,0
conformer_b,avg,51.151620370370374,5.295116752635372,2,3,0
conformer_b_cwt,800,50.97222222222223,0.19641855032959707,2,3,0
conformer_b_cwt,1500,49.60648148148148,0.032736425054928665,2,3,0
conformer_b_cwt,3000,51.851851851851855,2.0951312035156957,2,3,1
conformer_b_cwt,4000,52.61574074074075,1.6040848276917004,2,3,1
conformer_b_cwt,avg,51.261574074074076,0.8675152639557151,2,3,0
