pair,subject,window_ms,fold,accuracy,val_accuracy,best_epoch,n_test
EPS/SPS,1,800,1,35.55555555555556,50.0,1,45
EPS/SPS,1,800,2,55.55555555555556,58.333333333333336,2,45
EPS/SPS,1,1500,1,62.22222222222222,66.66666666666667,2,45
EPS/SPS,1,1500,2,73.33333333333333,50.0,2,45
EPS/SPS,1,3000,1,46.666666666666664,58.333333333333336,2,45
EPS/SPS,1,3000,2,53.333333333333336,75.0,2,45
EPS/SPS,1,4000,1,48.888888888888886,58.333333333333336,1,45
EPS/SPS,1,4000,2,53.333333333333336,41.666666666666664,1,45
EPS/SPS,2,800,1,47.5,70.0,1,40
EPS/SPS,2,800,2,60.0,40.0,1,40
EPS/SPS,2,1500,1,65.0,50.0,1,40
EPS/SPS,2,1500,2,65.0,60.0,2,40
EPS/SPS,2,3000,1,62.5,60.0,1,40
EPS/SPS,2,3000,2,72.5,70.0,2,40
EPS/SPS,2,4000,1,75.0,70.0,2,40
EPS/SPS,2,4000,2,65.0,70.0,2,40
