pair,subject,window_ms,fold,accuracy,val_accuracy,best_epoch,n_test
WAA/SAA,1,800,1,53.333333333333336,58.333333333333336,1,45
WAA/SAA,1,800,2,55.55555555555556,50.0,1,45
WAA/SAA,1,1500,1,57.77777777777778,66.66666666666667,1,45
WAA/SAA,1,1500,2,57.77777777777778,83.33333333333333,1,45
WAA/SAA,1,3000,1,66.66666666666667,41.666666666666664,1,45
WAA/SAA,1,3000,2,51.111111111111114,41.666666666666664,2,45
WAA/SAA,1,4000,1,53.333333333333336,58.333333333333336,1,45
WAA/SAA,1,4000,2,48.888888888888886,41.666666666666664,1,45
WAA/SAA,2,800,1,62.5,90.0,1,40
WAA/SAA,2,800,2,67.5,50.0,2,40
WAA/SAA,2,1500,1,67.5,70.0,1,40
WAA/SAA,2,1500,2,65.0,60.0,2,40
WAA/SAA,2,3000,1,67.5,60.0,2,40
WAA/SAA,2,3000,2,70.0,70.0,1,40
WAA/SAA,2,4000,1,77.5,70.0,2,40
WAA/SAA,2,4000,2,67.5,70.0,1,40
