pair,subject,window_ms,fold,accuracy,val_accuracy,best_epoch,n_test
HOC/WFE,1,800,1,53.333333333333336,58.333333333333336,2,45
HOC/WFE,1,800,2,48.888888888888886,50.0,1,45
HOC/WFE,1,1500,1,64.44444444444444,75.0,1,45
HOC/WFE,1,1500,2,28.88888888888889,50.0,1,45
HOC/WFE,1,3000,1,46.666666666666664,58.333333333333336,1,45
HOC/WFE,1,3000,2,44.44444444444444,91.66666666666667,1,45
HOC/WFE,1,4000,1,37.77777777777778,58.333333333333336,1,45
HOC/WFE,1,4000,2,28.88888888888889,41.666666666666664,2,45
HOC/WFE,2,800,1,50.0,70.0,1,40
HOC/WFE,2,800,2,50.0,50.0,1,40
HOC/WFE,2,1500,1,55.0,60.0,1,40
HOC/WFE,2,1500,2,50.0,50.0,1,40
HOC/WFE,2,3000,1,50.0,50.0,1,40
HOC/WFE,2,3000,2,47.5,60.0,2,40
HOC/WFE,2,4000,1,50.0,70.0,1,40
HOC/WFE,2,4000,2,57.5,50.0,1,40
