pair,subject,window_ms,fold,accuracy,val_accuracy,best_epoch,n_test
HOC/WFE,1,800,1,44.44444444444444,41.666666666666664,1,45
HOC/WFE,1,800,2,46.666666666666664,66.66666666666667,2,45
HOC/WFE,1,1500,1,48.888888888888886,58.333333333333336,1,45
HOC/WFE,1,1500,2,48.888888888888886,50.0,1,45
HOC/WFE,1,3000,1,48.888888888888886,50.0,1,45
HOC/WFE,1,3000,2,48.888888888888886,66.66666666666667,2,45
HOC/WFE,1,4000,1,48.888888888888886,58.333333333333336,1,45
HOC/WFE,1,4000,2,46.666666666666664,50.0,2,45
HOC/WFE,2,800,1,55.0,50.0,1,40
HOC/WFE,2,800,2,47.5,60.0,1,40
HOC/WFE,2,1500,1,42.5,50.0,1,40
HOC/WFE,2,1500,2,47.5,60.0,1,40
HOC/WFE,2,3000,1,57.5,40.0,1,40
HOC/WFE,2,3000,2,55.0,40.0,1,40
HOC/WFE,2,4000,1,60.0,50.0,1,40
HOC/WFE,2,4000,2,55.0,50.0,1,40
