pair,mode,subject,window_ms,fold,accuracy,val_accuracy,n_test
EFE/SFE,fbc,1,4000,1,44.44444444444444,77.77777777777777,18
EFE/SFE,fbc,1,4000,2,33.333333333333336,77.77777777777777,18
EFE/SFE,fbc,1,4000,3,61.111111111111114,61.111111111111114,18
EFE/SFE,fbc,1,4000,4,38.888888888888886,61.111111111111114,18
EFE/SFE,fbc,1,4000,5,50.0,77.77777777777777,18
EFE/SFE,fbc,2,4000,1,68.75,50.0,16
EFE/SFE,fbc,2,4000,2,56.25,68.75,16
EFE/SFE,fbc,2,4000,3,68.75,62.5,16
EFE/SFE,fbc,2,4000,4,31.25,87.5,16
EFE/SFE,fbc,2,4000,5,43.75,62.5,16
EFE/SFE,fbc,3,4000,1,81.25,100.0,16
EFE/SFE,fbc,3,4000,2,81.25,93.75,16
EFE/SFE,fbc,3,4000,3,75.0,93.75,16
EFE/SFE,fbc,3,4000,4,87.5,81.25,16
EFE/SFE,fbc,3,4000,5,50.0,68.75,16
EFE/SFE,fbc,4,4000,1,62.5,62.5,16
EFE/SFE,fbc,4,4000,2,81.25,62.5,16
EFE/SFE,fbc,4,4000,3,56.25,68.75,16
EFE/SFE,fbc,4,4000,4,50.0,75.0,16
EFE/SFE,fbc,4,4000,5,68.75,50.0,16
EFE/SFE,fbc,5,4000,1,58.8235294117647,68.75,17
EFE/SFE,fbc,5,4000,2,62.5,64.70588235294117,16
EFE/SFE,fbc,5,4000,3,68.75,88.23529411764706,16
EFE/SFE,fbc,5,4000,4,62.5,82.3529411764706,16
EFE/SFE,fbc,5,4000,5,75.0,70.58823529411765,16
EFE/SFE,fbc,6,4000,1,62.5,56.25,16
EFE/SFE,fbc,6,4000,2,56.25,56.25,16
EFE/SFE,fbc,6,4000,3,37.5,62.5,16
EFE/SFE,fbc,6,4000,4,50.0,56.25,16
EFE/SFE,fbc,6,4000,5,43.75,56.25,16
EFE/SFE,fbc,7,4000,1,62.5,62.5,16
EFE/SFE,fbc,7,4000,2,43.75,56.25,16
EFE/SFE,fbc,7,4000,3,56.25,56.25,16
EFE/SFE,fbc,7,4000,4,43.75,56.25,16
EFE/SFE,fbc,7,4000,5,50.0,56.25,16
EFE/SFE,fbc,8,4000,1,50.0,50.0,16
EFE/SFE,fbc,8,4000,2,56.25,50.0,16
EFE/SFE,fbc,8,4000,3,43.75,62.5,16
EFE/SFE,fbc,8,4000,4,62.5,62.5,16
EFE/SFE,fbc,8,4000,5,50.0,56.25,16
EFE/SFE,fbc,9,4000,1,62.5,62.5,16
EFE/SFE,fbc,9,4000,2,68.75,56.25,16
EFE/SFE,fbc,9,4000,3,68.75,75.0,16
EFE/SFE,fbc,9,4000,4,62.5,62.5,16
EFE/SFE,fbc,9,4000,5,50.0,50.0,16
EFE/SFE,fbc,10,4000,1,62.5,62.5,16
EFE/SFE,fbc,10,4000,2,50.0,75.0,16
EFE/SFE,fbc,10,4000,3,56.25,68.75,16
EFE/SFE,fbc,10,4000,4,68.75,56.25,16
EFE/SFE,fbc,10,4000,5,50.0,87.5,16
EFE/SFE,fbc,11,4000,1,62.5,56.25,16
EFE/SFE,fbc,11,4000,2,75.0,62.5,16
EFE/SFE,fbc,11,4000,3,37.5,75.0,16
EFE/SFE,fbc,11,4000,4,50.0,62.5,16
EFE/SFE,fbc,11,4000,5,43.75,62.5,16
EFE/SFE,fbc,12,4000,1,25.0,68.75,16
EFE/SFE,fbc,12,4000,2,43.75,56.25,16
EFE/SFE,fbc,12,4000,3,50.0,62.5,16
EFE/SFE,fbc,12,4000,4,43.75,62.5,16
EFE/SFE,fbc,12,4000,5,56.25,56.25,16
EFE/SFE,fbc,13,4000,1,50.0,50.0,16
EFE/SFE,fbc,13,4000,2,68.75,56.25,16
EFE/SFE,fbc,13,4000,3,56.25,56.25,16
EFE/SFE,fbc,13,4000,4,68.75,62.5,16
EFE/SFE,fbc,13,4000,5,50.0,62.5,16
EFE/SFE,fbc,14,4000,1,56.25,50.0,16
EFE/SFE,fbc,14,4000,2,37.5,62.5,16
EFE/SFE,fbc,14,4000,3,50.0,50.0,16
EFE/SFE,fbc,14,4000,4,56.25,50.0,16
EFE/SFE,fbc,14,4000,5,68.75,50.0,16
EFE/SFE,fbc,15,4000,1,31.25,68.75,16
EFE/SFE,fbc,15,4000,2,43.75,56.25,16
EFE/SFE,fbc,15,4000,3,43.75,62.5,16
EFE/SFE,fbc,15,4000,4,62.5,56.25,16
EFE/SFE,fbc,15,4000,5,37.5,68.75,16
EFE/SFE,fbc,16,4000,1,50.0,62.5,16
EFE/SFE,fbc,16,4000,2,56.25,75.0,16
EFE/SFE,fbc,16,4000,3,62.5,62.5,16
EFE/SFE,fbc,16,4000,4,62.5,68.75,16
EFE/SFE,fbc,16,4000,5,43.75,68.75,16
EFE/SFE,fbc,17,4000,1,31.25,56.25,16
EFE/SFE,fbc,17,4000,2,50.0,50.0,16
EFE/SFE,fbc,17,4000,3,56.25,56.25,16
EFE/SFE,fbc,17,4000,4,37.5,56.25,16
EFE/SFE,fbc,17,4000,5,37.5,62.5,16
EFE/SFE,fbc,18,4000,1,75.0,68.75,16
EFE/SFE,fbc,18,4000,2,68.75,75.0,16
EFE/SFE,fbc,18,4000,3,68.75,75.0,16
EFE/SFE,fbc,18,4000,4,75.0,75.0,16
EFE/SFE,fbc,18,4000,5,56.25,87.5,16
