pair,mode,subject,window_ms,accuracy,n_test
EFE/SFE,fbc,1,4000,45.55555555555556,90
EFE/SFE,fbc,2,4000,53.75,80
EFE/SFE,fbc,3,4000,75.0,80
EFE/SFE,fbc,4,4000,63.74999999999999,80
EFE/SFE,fbc,5,4000,65.4320987654321,81
EFE/SFE,fbc,6,4000,50.0,80
EFE/SFE,fbc,7,4000,51.24999999999999,80
EFE/SFE,fbc,8,4000,52.5,80
EFE/SFE,fbc,9,4000,62.5,80
EFE/SFE,fbc,10,4000,57.49999999999999,80
EFE/SFE,fbc,11,4000,53.75,80
EFE/SFE,fbc,12,4000,43.75,80
EFE/SFE,fbc,13,4000,58.75,80
EFE/SFE,fbc,14,4000,53.75,80
EFE/SFE,fbc,15,4000,43.75,80
EFE/SFE,fbc,16,4000,55.00000000000001,80
EFE/SFE,fbc,17,4000,42.5,80
EFE/SFE,fbc,18,4000,68.75,80
