pair,mode,subject,window_ms,accuracy,n_test
EFE/SPS,fbc,1,4000,42.22222222222222,90
EFE/SPS,fbc,2,4000,48.75,80
EFE/SPS,fbc,3,4000,60.0,80
EFE/SPS,fbc,4,4000,61.25000000000001,80
EFE/SPS,fbc,5,4000,42.5,80
EFE/SPS,fbc,6,4000,56.25,80
EFE/SPS,fbc,7,4000,52.5,80
EFE/SPS,fbc,8,4000,56.25,80
EFE/SPS,fbc,9,4000,71.25,80
EFE/SPS,fbc,10,4000,65.0,80
EFE/SPS,fbc,11,4000,61.25000000000001,80
EFE/SPS,fbc,12,4000,52.5,80
EFE/SPS,fbc,13,4000,65.0,80
EFE/SPS,fbc,14,4000,53.75,80
EFE/SPS,fbc,15,4000,57.49999999999999,80
EFE/SPS,fbc,16,4000,50.0,80
EFE/SPS,fbc,17,4000,52.5,80
EFE/SPS,fbc,18,4000,66.25,80
