pair,mode,subject,window_ms,fold,accuracy,val_accuracy,n_test
EPS/EFE,fbc,1,4000,1,83.33333333333333,72.22222222222223,18
EPS/EFE,fbc,1,4000,2,72.22222222222223,55.55555555555556,18
EPS/EFE,fbc,1,4000,3,55.55555555555556,55.55555555555556,18
EPS/EFE,fbc,1,4000,4,55.55555555555556,77.77777777777777,18
EPS/EFE,fbc,1,4000,5,61.111111111111114,61.111111111111114,18
EPS/EFE,fbc,2,4000,1,56.25,75.0,16
EPS/EFE,fbc,2,4000,2,43.75,56.25,16
EPS/EFE,fbc,2,4000,3,68.75,56.25,16
EPS/EFE,fbc,2,4000,4,62.5,75.0,16
EPS/EFE,fbc,2,4000,5,37.5,62.5,16
EPS/EFE,fbc,3,4000,1,62.5,56.25,16
EPS/EFE,fbc,3,4000,2,50.0,56.25,16
EPS/EFE,fbc,3,4000,3,50.0,56.25,16
EPS/EFE,fbc,3,4000,4,56.25,68.75,16
EPS/EFE,fbc,3,4000,5,43.75,56.25,16
EPS/EFE,fbc,4,4000,1,62.5,68.75,16
EPS/EFE,fbc,4,4000,2,56.25,62.5,16
EPS/EFE,fbc,4,4000,3,62.5,62.5,16
EPS/EFE,fbc,4,4000,4,62.5,62.5,16
EPS/EFE,fbc,4,4000,5,62.5,75.0,16
EPS/EFE,fbc,5,4000,1,62.5,62.5,16
EPS/EFE,fbc,5,4000,2,50.0,81.25,16
EPS/EFE,fbc,5,4000,3,43.75,62.5,16
EPS/EFE,fbc,5,4000,4,18.75,68.75,16
EPS/EFE,fbc,5,4000,5,37.5,75.0,16
EPS/EFE,fbc,6,4000,1,62.5,62.5,16
EPS/EFE,fbc,6,4000,2,62.5,50.0,16
EPS/EFE,fbc,6,4000,3,43.75,68.75,16
EPS/EFE,fbc,6,4000,4,37.5,56.25,16
EPS/EFE,fbc,6,4000,5,56.25,50.0,16
EPS/EFE,fbc,7,4000,1,68.75,56.25,16
EPS/EFE,fbc,7,4000,2,62.5,56.25,16
EPS/EFE,fbc,7,4000,3,62.5,56.25,16
EPS/EFE,fbc,7,4000,4,43.75,50.0,16
EPS/EFE,fbc,7,4000,5,56.25,68.75,16
EPS/EFE,fbc,8,4000,1,56.25,50.0,16
EPS/EFE,fbc,8,4000,2,56.25,62.5,16
EPS/EFE,fbc,8,4000,3,37.5,62.5,16
EPS/EFE,fbc,8,4000,4,62.5,50.0,16
EPS/EFE,fbc,8,4000,5,43.75,56.25,16
EPS/EFE,fbc,9,4000,1,50.0,62.5,16
EPS/EFE,fbc,9,4000,2,68.75,68.75,16
EPS/EFE,fbc,9,4000,3,75.0,81.25,16
EPS/EFE,fbc,9,4000,4,56.25,62.5,16
EPS/EFE,fbc,9,4000,5,68.75,68.75,16
EPS/EFE,fbc,10,4000,1,56.25,68.75,16
EPS/EFE,fbc,10,4000,2,56.25,62.5,16
EPS/EFE,fbc,10,4000,3,43.75,62.5,16
EPS/EFE,fbc,10,4000,4,62.5,56.25,16
EPS/EFE,fbc,10,4000,5,56.25,56.25,16
EPS/EFE,fbc,11,4000,1,37.5,62.5,16
EPS/EFE,fbc,11,4000,2,68.75,68.75,16
EPS/EFE,fbc,11,4000,3,43.75,62.5,16
EPS/EFE,fbc,11,4000,4,50.0,50.0,16
EPS/EFE,fbc,11,4000,5,43.75,56.25,16
EPS/EFE,fbc,12,4000,1,37.5,68.75,16
EPS/EFE,fbc,12,4000,2,68.75,50.0,16
EPS/EFE,fbc,12,4000,3,31.25,62.5,16
EPS/EFE,fbc,12,4000,4,50.0,56.25,16
EPS/EFE,fbc,12,4000,5,43.75,50.0,16
EPS/EFE,fbc,13,4000,1,62.5,56.25,16
EPS/EFE,fbc,13,4000,2,81.25,75.0,16
EPS/EFE,fbc,13,4000,3,50.0,68.75,16
EPS/EFE,fbc,13,4000,4,68.75,56.25,16
EPS/EFE,fbc,13,4000,5,62.5,62.5,16
EPS/EFE,fbc,14,4000,1,75.0,62.5,16
EPS/EFE,fbc,14,4000,2,43.75,62.5,16
EPS/EFE,fbc,14,4000,3,56.25,56.25,16
EPS/EFE,fbc,14,4000,4,43.75,50.0,16
EPS/EFE,fbc,14,4000,5,37.5,56.25,16
EPS/EFE,fbc,15,4000,1,43.75,56.25,16
EPS/EFE,fbc,15,4000,2,43.75,68.75,16
EPS/EFE,fbc,15,4000,3,50.0,50.0,16
EPS/EFE,fbc,15,4000,4,50.0,68.75,16
EPS/EFE,fbc,15,4000,5,56.25,56.25,16
EPS/EFE,fbc,16,4000,1,62.5,75.0,16
EPS/EFE,fbc,16,4000,2,62.5,68.75,16
EPS/EFE,fbc,16,4000,3,62.5,81.25,16
EPS/EFE,fbc,16,4000,4,81.25,68.75,16
EPS/EFE,fbc,16,4000,5,56.25,62.5,16
EPS/EFE,fbc,17,4000,1,75.0,56.25,16
EPS/EFE,fbc,17,4000,2,43.75,68.75,16
EPS/EFE,fbc,17,4000,3,37.5,56.25,16
EPS/EFE,fbc,17,4000,4,56.25,62.5,16
EPS/EFE,fbc,17,4000,5,37.5,62.5,16
EPS/EFE,fbc,18,4000,1,50.0,56.25,16
EPS/EFE,fbc,18,4000,2,56.25,56.25,16
EPS/EFE,fbc,18,4000,3,62.5,56.25,16
EPS/EFE,fbc,18,4000,4,56.25,62.5,16
EPS/EFE,fbc,18,4000,5,56.25,56.25,16
