pair,mode,subject,window_ms,accuracy,n_test
EPS/EFE,fbc,1,4000,65.55555555555556,90
EPS/EFE,fbc,2,4000,53.75,80
EPS/EFE,fbc,3,4000,52.5,80
EPS/EFE,fbc,4,4000,61.25000000000001,80
EPS/EFE,fbc,5,4000,42.5,80
EPS/EFE,fbc,6,4000,52.5,80
EPS/EFE,fbc,7,4000,58.75,80
EPS/EFE,fbc,8,4000,51.24999999999999,80
EPS/EFE,fbc,9,4000,63.74999999999999,80
EPS/EFE,fbc,10,4000,55.00000000000001,80
EPS/EFE,fbc,11,4000,48.75,80
EPS/EFE,fbc,12,4000,46.25,80
EPS/EFE,fbc,13,4000,65.0,80
EPS/EFE,fbc,14,4000,51.24999999999999,80
EPS/EFE,fbc,15,4000,48.75,80
EPS/EFE,fbc,16,4000,65.0,80
EPS/EFE,fbc,17,4000,50.0,80
EPS/EFE,fbc,18,4000,56.25,80
