pair,mode,subject,window_ms,fold,accuracy,val_accuracy,n_test
EPS/SFE,fbc,1,4000,1,50.0,50.0,18
EPS/SFE,fbc,1,4000,2,44.44444444444444,72.22222222222223,18
EPS/SFE,fbc,1,4000,3,61.111111111111114,66.66666666666667,18
EPS/SFE,fbc,1,4000,4,50.0,61.111111111111114,18
EPS/SFE,fbc,1,4000,5,44.44444444444444,61.111111111111114,18
EPS/SFE,fbc,2,4000,1,75.0,56.25,16
EPS/SFE,fbc,2,4000,2,37.5,56.25,16
EPS/SFE,fbc,2,4000,3,56.25,62.5,16
EPS/SFE,fbc,2,4000,4,50.0,62.5,16
EPS/SFE,fbc,2,4000,5,50.0,68.75,16
EPS/SFE,fbc,3,4000,1,75.0,81.25,16
EPS/SFE,fbc,3,4000,2,68.75,93.75,16
EPS/SFE,fbc,3,4000,3,81.25,75.0,16
EPS/SFE,fbc,3,4000,4,75.0,81.25,16
EPS/SFE,fbc,3,4000,5,62.5,75.0,16
EPS/SFE,fbc,4,4000,1,75.0,75.0,16
EPS/SFE,fbc,4,4000,2,68.75,100.0,16
EPS/SFE,fbc,4,4000,3,56.25,87.5,16
EPS/SFE,fbc,4,4000,4,75.0,93.75,16
EPS/SFE,fbc,4,4000,5,81.25,62.5,16
EPS/SFE,fbc,5,4000,1,64.70588235294117,81.25,17
EPS/SFE,fbc,5,4000,2,81.25,82.3529411764706,16
EPS/SFE,fbc,5,4000,3,50.0,70.58823529411765,16
EPS/SFE,fbc,5,4000,4,50.0,64.70588235294117,16
EPS/SFE,fbc,5,4000,5,56.25,70.58823529411765,16
EPS/SFE,fbc,6,4000,1,62.5,56.25,16
EPS/SFE,fbc,6,4000,2,68.75,56.25,16
EPS/SFE,fbc,6,4000,3,68.75,56.25,16
EPS/SFE,fbc,6,4000,4,50.0,56.25,16
EPS/SFE,fbc,6,4000,5,75.0,62.5,16
EPS/SFE,fbc,7,4000,1,68.75,68.75,16
EPS/SFE,fbc,7,4000,2,68.75,75.0,16
EPS/SFE,fbc,7,4000,3,62.5,68.75,16
EPS/SFE,fbc,7,4000,4,37.5,56.25,16
EPS/SFE,fbc,7,4000,5,81.25,87.5,16
EPS/SFE,fbc,8,4000,1,56.25,75.0,16
EPS/SFE,fbc,8,4000,2,50.0,56.25,16
EPS/SFE,fbc,8,4000,3,37.5,62.5,16
EPS/SFE,fbc,8,4000,4,56.25,68.75,16
EPS/SFE,fbc,8,4000,5,62.5,56.25,16
EPS/SFE,fbc,9,4000,1,43.75,56.25,16
EPS/SFE,fbc,9,4000,2,62.5,56.25,16
EPS/SFE,fbc,9,4000,3,43.75,62.5,16
EPS/SFE,fbc,9,4000,4,56.25,75.0,16
EPS/SFE,fbc,9,4000,5,56.25,56.25,16
EPS/SFE,fbc,10,4000,1,81.25,62.5,16
EPS/SFE,fbc,10,4000,2,50.0,56.25,16
EPS/SFE,fbc,10,4000,3,62.5,62.5,16
EPS/SFE,fbc,10,4000,4,43.75,56.25,16
EPS/SFE,fbc,10,4000,5,75.0,50.0,16
EPS/SFE,fbc,11,4000,1,56.25,50.0,16
EPS/SFE,fbc,11,4000,2,50.0,68.75,16
EPS/SFE,fbc,11,4000,3,50.0,62.5,16
EPS/SFE,fbc,11,4000,4,56.25,50.0,16
EPS/SFE,fbc,11,4000,5,50.0,68.75,16
EPS/SFE,fbc,12,4000,1,50.0,62.5,16
EPS/SFE,fbc,12,4000,2,37.5,56.25,16
EPS/SFE,fbc,12,4000,3,43.75,62.5,16
EPS/SFE,fbc,12,4000,4,37.5,62.5,16
EPS/SFE,fbc,12,4000,5,37.5,50.0,16
EPS/SFE,fbc,13,4000,1,68.75,56.25,16
EPS/SFE,fbc,13,4000,2,68.75,75.0,16
EPS/SFE,fbc,13,4000,3,37.5,75.0,16
EPS/SFE,fbc,13,4000,4,56.25,68.75,16
EPS/SFE,fbc,13,4000,5,75.0,62.5,16
EPS/SFE,fbc,14,4000,1,50.0,50.0,16
EPS/SFE,fbc,14,4000,2,31.25,68.75,16
EPS/SFE,fbc,14,4000,3,43.75,62.5,16
EPS/SFE,fbc,14,4000,4,62.5,56.25,16
EPS/SFE,fbc,14,4000,5,50.0,62.5,16
EPS/SFE,fbc,15,4000,1,37.5,56.25,16
EPS/SFE,fbc,15,4000,2,43.75,62.5,16
EPS/SFE,fbc,15,4000,3,37.5,62.5,16
EPS/SFE,fbc,15,4000,4,43.75,56.25,16
EPS/SFE,fbc,15,4000,5,31.25,68.75,16
EPS/SFE,fbc,16,4000,1,62.5,62.5,16
EPS/SFE,fbc,16,4000,2,75.0,56.25,16
EPS/SFE,fbc,16,4000,3,75.0,56.25,16
EPS/SFE,fbc,16,4000,4,62.5,68.75,16
EPS/SFE,fbc,16,4000,5,43.75,75.0,16
EPS/SFE,fbc,17,4000,1,50.0,81.25,16
EPS/SFE,fbc,17,4000,2,50.0,56.25,16
EPS/SFE,fbc,17,4000,3,62.5,75.0,16
EPS/SFE,fbc,17,4000,4,68.75,56.25,16
EPS/SFE,fbc,17,4000,5,62.5,68.75,16
EPS/SFE,fbc,18,4000,1,75.0,62.5,16
EPS/SFE,fbc,18,4000,2,68.75,68.75,16
EPS/SFE,fbc,18,4000,3,75.0,75.0,16
EPS/SFE,fbc,18,4000,4,75.0,75.0,16
EPS/SFE,fbc,18,4000,5,81.25,75.0,16
